Player,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Jeroen Zoet,Spezia,29,1991,6.7,327,283,323,4,0,0,273,0,0,,0,0,191,951,546,0,0,0,0,0,188,188,100.0,0
Guglielmo Vicario,Cagliari,23,1996,4.0,120,109,120,0,0,0,81,0,0,,0,0,49,232,133,0,0,0,0,0,42,42,100.0,0
Samir Ujkani,Torino,32,1988,1.0,30,29,30,0,0,0,23,0,0,,0,0,15,41,24,0,0,0,0,0,15,15,100.0,0
Pietro Terracciano,Fiorentina,30,1990,3.0,95,85,94,1,0,0,48,0,0,,0,0,29,208,112,0,0,0,0,0,22,21,95.5,0
Ciprian TÄƒtÄƒruÈ™anu,Milan,34,1986,1.0,30,26,30,0,0,0,26,0,0,,0,0,15,63,29,0,0,0,0,0,14,14,100.0,0
Wojciech SzczÄ™sny,Juventus,30,1990,29.7,1076,935,1066,10,0,0,866,2,2,100.0,2,0,589,2633,1439,0,0,0,0,0,607,606,99.8,0
Thomas Strakosha,Lazio,25,1995,9.0,366,330,363,4,0,0,300,0,0,,0,0,230,1356,804,0,0,0,0,0,212,208,98.1,0
Marco Sportiello,Atalanta,28,1992,14.0,408,338,408,0,0,0,327,0,0,,0,0,230,862,413,0,0,0,0,0,192,190,99.0,0
Åukasz Skorupski,Bologna,29,1991,28.0,1054,979,1051,3,0,0,774,0,0,,0,0,487,2341,1270,0,0,0,0,0,452,452,100.0,0
Salvatore Sirigu,Torino,33,1987,32.0,1073,916,1068,5,0,0,687,0,0,,0,0,464,1851,1090,0,0,0,0,0,430,429,99.8,0
Marco Silvestri,Hellas Verona,29,1991,34.0,1097,1009,1096,1,0,0,748,0,0,,0,0,442,2897,2093,0,0,0,0,0,427,425,99.5,0
Luigi Sepe,Parma,29,1991,36.0,1507,1362,1501,9,0,0,1131,2,2,100.0,2,0,726,3201,2361,0,0,0,0,0,779,777,99.7,0
Simone Scuffet,Udinese,24,1996,1.0,31,29,31,0,0,0,18,0,0,,0,0,11,44,19,0,0,0,0,0,9,9,100.0,0
Pepe Reina,Lazio,37,1982,29.0,1174,1059,1165,12,0,0,969,1,1,100.0,1,0,699,4542,2758,0,0,0,1,0,731,730,99.9,0
Federico Ravaglia,Bologna,20,1999,4.0,146,128,146,0,0,0,117,0,0,,0,0,79,444,296,0,0,0,0,0,81,81,100.0,0
Rafael,Spezia,38,1982,2.3,113,92,113,1,0,0,88,0,0,,0,0,44,225,138,0,0,0,0,0,61,61,100.0,0
IonuÈ› Radu,Inter,23,1997,1.5,59,54,59,0,0,0,48,0,0,,0,0,27,106,37,0,0,0,0,0,28,28,100.0,0
Ivan Provedel,Spezia,26,1994,29.0,1488,1233,1477,14,0,0,1236,0,0,,0,0,811,3951,1773,0,0,0,1,1,941,937,99.6,0
Carlo Pinsoglio,Juventus,30,1990,0.3,12,10,12,0,0,0,10,0,0,,0,0,6,19,4,0,0,0,0,0,8,8,100.0,0
Mattia Perin,Genoa,27,1992,32.0,1226,1100,1223,5,0,0,835,0,0,,0,0,542,2821,1558,0,0,0,1,1,502,501,99.8,0
Gianluca Pegolo,Sassuolo,39,1981,1.0,24,23,24,0,0,0,14,0,0,,0,0,8,37,24,0,0,0,0,0,6,6,100.0,0
Ivor Pandur,Hellas Verona,20,2000,3.7,110,95,109,1,0,0,80,0,0,,0,0,54,263,134,0,0,0,0,0,51,51,100.0,0
Alberto Paleari,Genoa,27,1992,2.3,85,76,83,3,0,0,61,0,0,,0,0,38,150,84,0,0,0,0,0,35,35,100.0,0
Daniele Padelli,Inter,34,1985,0.5,14,14,14,0,0,0,10,0,0,,0,0,5,8,0,0,0,0,0,0,9,9,100.0,0
David Ospina,Napoli,31,1988,16.0,567,500,566,5,0,0,481,1,1,100.0,1,0,342,1580,902,0,0,0,0,0,341,340,99.7,0
Juan Musso,Udinese,26,1994,35.0,1083,966,1077,7,0,0,746,1,1,100.0,1,0,496,2758,1338,0,0,0,0,1,419,413,98.6,0
Lorenzo MontipÃ²,Benevento,24,1996,37.0,1346,1141,1342,4,0,0,915,0,0,,0,0,569,2824,1369,0,0,0,0,1,539,538,99.8,0
Antonio Mirante,Roma,37,1983,12.8,464,419,459,5,0,0,336,0,0,,0,0,209,861,519,0,0,0,0,0,197,197,100.0,0
Vanja MilinkoviÄ‡-SaviÄ‡,Torino,23,1997,5.0,189,156,189,1,0,0,138,0,0,,0,0,101,530,301,0,0,0,0,0,87,87,100.0,0
Alex Meret,Napoli,23,1997,22.0,649,596,646,3,0,0,525,0,0,,0,0,322,1186,593,0,0,0,0,0,354,350,98.9,0
Federico Marchetti,Genoa,37,1983,3.7,145,132,144,1,0,0,105,0,0,,0,0,70,193,74,0,0,0,0,0,76,76,100.0,0
NiccolÃ² Manfredini,Benevento,32,1988,1.0,33,30,33,0,0,0,26,0,0,,0,0,15,58,26,0,0,0,0,0,12,12,100.0,0
Pau LÃ³pez,Roma,25,1994,20.2,715,630,709,7,0,0,579,0,0,,0,0,410,1535,681,0,0,0,1,0,386,385,99.7,0
Karlo Letica,Sampdoria,23,1997,1.0,36,35,36,0,0,0,28,0,0,,0,0,23,66,35,0,0,0,0,0,18,18,100.0,0
Samir HandanoviÄ‡,Inter,36,1984,36.0,1140,1074,1137,4,0,0,915,0,0,,0,0,622,2569,1484,0,0,0,0,0,686,684,99.7,0
Pierluigi Gollini,Atalanta,25,1995,24.0,714,608,711,4,0,0,558,1,1,100.0,1,0,415,2104,1060,1,0,0,1,0,374,373,99.7,0
Manuel Gasparini,Udinese,18,2002,0.0,2,2,2,0,0,0,1,0,0,,0,0,1,12,5,0,0,0,0,0,1,1,100.0,0
Daniel Fuzato,Roma,23,1997,5.0,166,154,166,0,0,0,120,0,0,,0,0,72,320,160,0,0,0,0,0,72,72,100.0,0
Marco Festa,Crotone,28,1992,1.0,41,37,41,1,0,0,28,0,0,,0,0,15,82,64,0,0,0,0,0,11,11,100.0,0
BartÅ‚omiej DrÄ…gowski,Fiorentina,22,1997,35.0,1148,1027,1145,3,0,0,774,0,0,,0,0,507,3037,1765,0,0,0,0,0,423,421,99.5,0
Gianluigi Donnarumma,Milan,21,1999,37.0,1338,1161,1329,9,0,0,1057,2,2,100.0,2,0,714,3836,2260,0,0,0,0,0,718,715,99.6,0
Gian Crespi,Crotone,19,2001,1.0,42,38,42,0,0,0,28,0,0,,0,0,20,62,31,0,0,0,0,0,22,21,95.5,0
Alessio Cragno,Cagliari,26,1994,34.0,1054,965,1049,8,0,0,689,0,0,,0,0,421,2319,1614,0,0,0,0,0,357,355,99.4,0
Angelo da Costa JÃºnior,Bologna,36,1983,6.0,301,270,301,1,0,0,240,0,0,,0,0,177,1035,685,0,0,0,0,0,183,183,100.0,0
Alex Cordaz,Crotone,37,1983,36.0,1527,1340,1517,12,0,0,1106,1,1,100.0,1,0,774,3664,1922,0,0,0,0,0,732,732,100.0,0
Andrea Consigli,Sassuolo,33,1987,37.0,1462,1196,1456,16,1,0,1132,0,0,,0,0,766,4104,2706,1,0,0,2,0,766,760,99.2,0
Simone Colombi,Parma,29,1991,2.0,54,47,53,1,0,0,39,0,0,,0,0,25,93,48,0,0,0,0,0,25,25,100.0,0
Gianluigi Buffon,Juventus,42,1978,8.0,318,293,317,1,0,0,249,0,0,,0,0,184,625,332,0,0,0,0,0,186,184,98.9,0
Alessandro Berardi,Hellas Verona,29,1991,0.3,12,11,12,0,0,0,7,0,0,,0,0,4,48,15,0,0,0,0,0,4,4,100.0,0
Emil Audero,Sampdoria,23,1997,37.0,1340,1208,1337,3,0,0,966,0,0,,0,0,623,3144,1609,0,0,0,0,0,588,587,99.8,0
NÃ­colas Andrade,Udinese,32,1988,2.0,40,37,40,0,0,0,28,0,0,,0,0,24,107,54,0,0,0,0,0,19,19,100.0,0
Marvin Zeegelaar,Udinese,29,1990,19.3,983,63,287,453,299,32,892,21,37,56.8,25,1,599,2804,1444,53,20,2,24,25,698,604,86.5,37
Davide Zappacosta,Genoa,28,1992,22.7,1369,60,346,578,563,75,1155,30,73,41.1,31,4,911,5575,3252,153,40,28,33,36,1021,865,84.7,80
Gabriele Zappa,Cagliari,20,1999,26.6,1565,85,453,679,545,46,1313,25,45,55.6,30,5,890,4485,2727,136,59,5,16,23,1066,913,85.6,57
CristiÃ¡n Zapata,Genoa,33,1986,10.8,617,142,394,235,14,5,591,1,2,50.0,1,0,357,1828,918,12,3,0,4,0,394,391,99.2,1
Vasilios Zagaritis,Parma,19,2001,0.7,57,1,8,27,28,1,52,2,3,66.7,3,1,45,269,161,10,3,0,1,0,46,42,91.3,4
Ashley Young,Inter,35,1985,15.8,801,38,228,284,319,35,683,7,15,46.7,7,0,480,1974,1139,58,12,6,9,5,582,507,87.1,48
Maya Yoshida,Sampdoria,31,1988,25.3,1460,289,870,621,46,21,1409,3,4,75.0,3,0,790,3939,1770,23,3,0,3,5,883,859,97.3,2
Sebastian Walukiewicz,Cagliari,20,2000,18.0,1001,178,581,448,37,6,967,7,8,87.5,8,0,592,3580,2130,45,10,0,4,6,667,656,98.4,1
Stefan de Vrij,Inter,28,1992,30.4,2168,266,1153,1129,45,16,2128,6,6,100.0,6,0,1437,9362,5287,122,7,0,1,3,1633,1616,99.0,2
MÃ«rgim Vojvoda,Torino,25,1995,15.1,917,59,306,393,269,20,799,12,21,57.1,13,1,567,2340,1111,51,18,1,12,19,629,573,91.1,27
Luca Vignali,Spezia,24,1996,17.7,1315,53,475,631,297,16,1143,4,11,36.4,5,0,734,3839,1904,74,18,1,18,8,877,820,93.5,28
Lorenzo Venuti,Fiorentina,25,1995,19.5,949,38,226,421,351,23,810,4,14,28.6,4,0,585,2606,1521,66,19,4,14,24,655,576,87.9,43
Denis Vavro,Lazio,24,1996,0.4,22,5,12,11,0,0,22,0,0,,0,0,13,93,49,2,0,0,0,0,13,13,100.0,0
Lautaro Valenti,Parma,21,1999,5.5,403,75,235,175,17,3,392,2,2,100.0,2,0,252,1534,816,29,4,1,2,0,292,287,98.3,0
Alessandro Tuia,Benevento,30,1990,19.6,1011,172,605,418,43,12,941,4,7,57.1,4,0,533,2934,1609,29,2,0,6,3,603,594,98.5,0
Alessandro Tripaldelli,Cagliari,21,1999,3.3,172,12,59,72,47,3,139,2,6,33.3,2,0,83,427,226,14,5,1,3,6,95,81,85.3,11
Lorenzo Tonelli,Sampdoria,30,1990,19.8,1134,203,619,524,37,17,1075,0,1,0.0,0,0,591,2715,1415,25,1,0,5,5,674,652,96.7,2
Fikayo Tomori,Milan,22,1997,16.3,1071,155,645,464,28,8,1037,5,6,83.3,6,0,658,3450,1605,26,7,0,4,2,717,705,98.3,3
Takehiro Tomiyasu,Bologna,21,1998,30.2,1989,179,771,1083,293,25,1802,18,29,62.1,19,1,1120,7348,4108,125,39,2,22,15,1252,1184,94.6,18
Rafael TolÃ³i,Atalanta,29,1990,28.2,1925,118,627,1018,413,54,1852,12,24,50.0,13,0,1294,6385,3513,149,47,4,15,15,1381,1314,95.1,35
Jeremy Toljan,Sassuolo,25,1994,16.6,1040,71,308,513,290,37,927,6,14,42.9,8,0,662,3129,1582,57,26,5,16,12,766,693,90.5,55
Claudio Terzi,Spezia,36,1984,20.8,1513,153,769,806,64,10,1441,4,7,57.1,5,0,927,7005,3805,95,19,0,2,3,1067,1046,98.0,0
Hidde ter Avest,Udinese,23,1997,3.9,234,7,63,96,85,6,206,3,4,75.0,3,0,153,567,288,15,6,1,4,0,169,152,89.9,12
Bosko Sutalo,Atalanta,20,2000,2.6,187,8,71,92,39,3,180,1,2,50.0,1,0,130,630,351,9,5,0,3,4,127,121,95.3,2
Jens Stryger Larsen,Udinese,29,1991,29.3,1571,110,487,690,486,36,1370,15,23,65.2,17,0,995,4747,2590,113,40,7,20,24,1154,1001,86.7,60
Leonardo Spinazzola,Roma,27,1993,23.6,1527,56,349,688,646,91,1375,59,112,52.7,66,8,1130,8051,5377,230,57,49,28,30,1172,1048,89.4,85
Adama Soumaoro,Bologna,28,1992,19.5,1110,166,583,553,32,10,1045,3,3,100.0,3,0,602,3253,1580,31,4,0,4,2,644,627,97.4,2
Chris Smalling,Roma,30,1989,12.3,792,111,433,375,25,14,770,4,4,100.0,4,0,476,2318,961,15,2,0,5,2,534,527,98.7,1
Milan Å kriniar,Inter,25,1995,30.9,2455,273,1152,1226,238,26,2387,6,9,66.7,6,1,1711,8150,4223,136,43,0,16,10,1912,1874,98.0,13
Wilfried Singo,Torino,19,2000,20.6,1201,68,317,566,420,36,1027,55,90,61.1,58,0,805,4600,3055,133,39,12,33,25,830,706,85.1,46
Samir Santos,Udinese,25,1994,24.6,1571,152,686,820,166,25,1459,6,7,85.7,6,0,1004,4466,2648,77,20,0,7,18,1081,1037,95.9,14
Davide Santon,Roma,29,1991,6.5,357,14,102,163,119,14,309,6,8,75.0,7,0,226,1551,822,43,11,4,5,2,239,224,93.7,9
Alex Sandro,Juventus,29,1991,20.6,1639,121,508,880,370,41,1519,16,21,76.2,16,1,1125,6454,3714,142,49,8,16,19,1230,1169,95.0,31
Jacopo Sala,Spezia,28,1991,4.2,311,20,102,149,69,2,266,3,6,50.0,5,0,196,1013,583,24,2,1,1,2,209,197,94.3,4
MÃ¡rio Rui,Napoli,29,1991,18.5,1555,68,453,725,448,26,1374,15,23,65.2,15,1,1000,3960,2377,89,30,3,18,10,1117,1066,95.4,47
Matteo Ruggeri,Atalanta,18,2002,2.3,138,4,37,61,49,2,127,1,2,50.0,1,1,90,410,265,11,2,0,3,0,109,101,92.7,3
Daniele Rugani,Cagliari,26,1994,11.1,615,76,286,316,46,10,596,3,3,100.0,3,0,352,1580,757,21,7,0,2,6,360,353,98.1,4
Amir Rrahmani,Napoli,26,1994,12.2,678,115,391,304,16,8,636,3,3,100.0,3,0,388,1598,638,8,1,0,1,0,455,437,96.0,2
Cristian Romero,Atalanta,22,1998,28.3,1623,171,776,851,97,30,1569,10,15,66.7,11,1,926,5983,2499,81,18,0,7,12,859,815,94.9,13
Alessio Romagnoli,Milan,25,1995,21.2,1200,177,626,600,39,20,1164,0,0,,0,0,711,3903,2000,25,5,0,4,0,838,814,97.1,1
RogÃ©rio,Sassuolo,22,1998,20.9,1525,86,445,723,459,39,1372,24,44,54.5,27,3,1035,5119,2833,126,37,11,18,20,1108,1035,93.4,41
Ricardo RodrÃ­guez,Torino,27,1992,13.8,866,60,294,460,177,5,785,8,13,61.5,8,0,576,2802,1516,53,17,0,5,5,597,566,94.8,9
Andrea Rispoli,Crotone,31,1988,7.2,389,27,123,150,147,12,335,4,8,50.0,4,0,216,1358,700,28,8,2,8,7,266,229,86.1,26
Giacomo Ricci,Parma,23,1996,0.7,40,6,11,23,9,1,36,0,3,0.0,0,0,22,89,65,3,0,1,0,2,28,23,82.1,0
Bryan Reynolds,Roma,19,2001,3.1,177,1,45,87,56,3,147,3,6,50.0,4,0,115,567,337,15,2,0,5,5,127,115,90.6,4
Vasco Regini,Sampdoria,29,1990,1.0,49,6,19,18,12,0,42,0,0,,0,0,24,52,20,0,0,0,0,0,34,28,82.4,0
Arkadiusz Reca,Crotone,25,1995,25.7,1361,107,423,588,456,78,1188,35,60,58.3,36,2,798,5599,3489,166,50,23,36,21,919,751,81.7,93
Andrea Ranocchia,Inter,32,1988,7.8,547,68,267,306,16,12,537,0,0,,0,0,384,2666,1683,34,1,0,1,3,415,412,99.3,0
È˜tefan Radu,Lazio,33,1986,27.3,1862,151,729,945,320,9,1799,14,18,77.8,14,0,1193,6715,3707,136,43,1,8,9,1318,1287,97.6,10
