Player,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Fabio Pisacane,Cagliari,34,1986,2.5,114,20,65,48,11,0,108,0,0,,0,0,66,320,162,6,4,0,0,1,77,74,96.1,0
Cristiano Piccini,Atalanta,27,1992,0.7,23,0,2,13,9,1,17,1,2,50.0,1,0,11,31,0,0,0,0,0,2,16,13,81.3,0
Giuseppe Pezzella,Parma,22,1997,20.3,1186,89,392,553,337,29,1052,32,43,74.4,34,2,775,4720,2700,108,35,8,10,29,800,731,91.4,55
GermÃ¡n Pezzella,Fiorentina,29,1991,30.5,1426,178,778,668,53,31,1392,1,1,100.0,1,0,805,4375,1848,34,2,0,9,2,908,863,95.0,4
Bruno Peres,Roma,30,1990,15.9,903,31,230,406,343,41,793,14,25,56.0,15,0,613,3977,2425,114,29,14,17,16,653,577,88.4,58
Pedro Pereira,Crotone,22,1998,28.3,1213,93,319,524,430,36,1045,18,46,39.1,21,3,702,3139,1631,69,18,5,32,41,863,668,77.4,83
Federico Peluso,Sassuolo,36,1984,2.3,182,28,95,95,2,0,167,0,0,,0,0,121,658,358,9,2,0,0,1,134,134,100.0,0
NehuÃ©n Paz,Bologna,27,1993,4.0,285,29,141,142,10,3,277,1,2,50.0,1,0,146,646,272,3,0,0,0,0,168,166,98.8,0
Patric,Lazio,27,1993,17.7,1345,123,534,714,181,12,1290,1,3,33.3,2,0,946,5310,2614,71,20,1,7,6,1003,971,96.8,17
Christian Pastina,Benevento,19,2001,1.3,76,8,30,45,5,0,72,0,0,,0,0,44,232,169,2,1,0,0,0,60,54,90.0,0
Thomas Ouwejan,Udinese,23,1996,4.6,292,8,55,125,136,14,245,3,6,50.0,3,1,187,1029,506,31,10,2,6,2,210,187,89.0,19
Yordan Osorio,Parma,26,1994,20.1,1377,208,825,606,43,11,1319,16,20,80.0,16,0,886,4918,2560,53,5,0,9,11,906,889,98.1,1
Jerome Onguene,Genoa,22,1997,2.0,128,15,75,55,4,0,121,0,0,,0,0,67,238,80,0,0,0,1,0,76,73,96.1,0
Maximiliano Olivera,Fiorentina,28,1992,1.0,42,6,15,26,2,0,42,0,0,,0,0,23,91,12,1,0,0,0,0,24,24,100.0,0
Bram Nuytinck,Udinese,30,1990,18.2,1027,164,590,475,32,12,994,3,5,60.0,3,1,620,3482,2073,43,3,0,0,3,682,664,97.4,0
Nicolas Nkoulou,Torino,30,1990,15.1,880,185,526,382,11,4,852,3,3,100.0,3,0,517,2458,1070,10,2,0,3,1,538,528,98.1,0
Joakim MÃ¦hle,Atalanta,23,1997,13.5,889,16,187,374,395,48,760,19,38,50.0,23,3,579,2691,1625,68,25,10,15,22,646,573,88.7,47
Mateo Musacchio,Milan,29,1990,0.4,28,3,14,14,0,0,27,0,0,,0,0,14,78,42,0,0,0,0,0,17,17,100.0,0
Mateo Musacchio,Lazio,29,1990,2.5,137,8,60,75,16,0,131,1,1,100.0,1,0,92,545,229,5,5,0,2,1,99,98,99.0,0
Nicola Murru,Torino,25,1994,6.3,436,24,118,202,132,12,361,3,10,30.0,4,0,239,1004,620,29,9,3,4,6,266,240,90.2,18
Mert MÃ¼ldÃ¼r,Sassuolo,21,1999,18.6,1227,67,375,536,373,46,1075,23,41,56.1,24,2,775,3241,2064,83,26,7,11,17,879,775,88.2,57
Nahuel Molina,Udinese,22,1997,20.3,1216,72,342,464,473,40,1025,20,25,80.0,21,0,675,3297,1972,91,29,6,23,19,835,711,85.1,70
Nikola MilenkoviÄ‡,Fiorentina,22,1997,33.7,1987,246,894,1041,171,29,1850,9,12,75.0,9,0,1100,6073,3443,109,20,1,9,4,1226,1172,95.6,18
YÄ±ldÄ±rÄ±m Mert Ã‡etin,Hellas Verona,23,1997,4.6,238,27,99,123,24,2,228,3,7,42.9,3,0,130,627,246,10,2,0,1,1,124,121,97.6,3
Ibrahima Mbaye,Bologna,25,1994,4.8,241,22,83,134,40,3,201,3,7,42.9,3,0,143,593,247,9,5,0,1,2,149,137,91.9,3
Antonio Mazzotta,Crotone,30,1989,0.6,16,1,4,9,5,1,14,1,1,100.0,1,0,9,62,48,1,1,0,3,0,14,11,78.6,1
Federico Mattiello,Spezia,25,1995,0.4,44,0,12,24,11,0,37,0,0,,0,0,29,196,111,2,0,0,0,0,30,28,93.3,0
Andrea Masiello,Genoa,34,1986,28.5,1654,222,841,788,98,11,1598,2,3,66.7,2,0,950,4071,2164,62,16,1,2,3,1071,1044,97.5,3
Adam MaruÅ¡iÄ‡,Lazio,27,1992,33.0,1912,111,605,911,550,66,1721,27,54,50.0,28,1,1216,7369,3968,160,49,10,18,23,1411,1241,88.0,107
Lucas MartÃ­nez Quarta,Fiorentina,24,1996,16.5,1000,124,489,493,103,19,954,13,20,65.0,14,1,622,4573,2460,55,27,0,12,8,652,628,96.3,6
Luca Marrone,Crotone,30,1990,17.6,1164,264,744,461,8,4,1109,1,2,50.0,1,1,701,3740,1858,28,0,0,1,2,783,776,99.1,1
Marlon,Sassuolo,24,1995,19.4,1753,186,738,1105,42,8,1721,5,7,71.4,5,0,1305,7691,4628,120,5,0,1,1,1402,1387,98.9,0
Gian Marco Ferrari,Sassuolo,28,1992,33.5,3063,487,1432,1719,157,41,2964,5,11,45.5,5,1,2139,12745,8161,208,33,2,9,13,2395,2347,98.0,15
Riccardo Marchizza,Spezia,22,1998,17.3,1111,49,388,500,302,29,932,11,19,57.9,11,1,691,3841,1867,73,27,4,18,17,746,683,91.6,33
Juan Manuel Ramos,Spezia,23,1996,3.3,196,8,55,91,66,2,160,3,4,75.0,3,1,110,650,405,12,7,1,9,4,130,114,87.7,5
Kostas Manolas,Napoli,29,1991,25.5,1718,252,902,875,29,11,1655,2,2,100.0,2,0,1132,5140,2543,38,4,0,1,0,1300,1274,98.0,1
Gianluca Mancini,Roma,24,1996,31.7,2292,241,945,1277,215,37,2224,12,15,80.0,13,0,1567,7865,4470,154,38,2,8,7,1722,1667,96.8,11
KÃ©vin Malcuit,Fiorentina,29,1991,2.3,124,6,32,50,53,5,109,5,11,45.5,5,0,79,457,331,15,4,2,4,4,90,72,80.0,3
Nikola MaksimoviÄ‡,Napoli,28,1991,13.4,1080,169,603,515,27,12,1045,4,4,100.0,4,0,681,4220,2009,42,4,1,3,3,791,777,98.2,3
Giangiacomo Magnani,Hellas Verona,24,1995,16.8,837,116,438,389,43,12,817,3,4,75.0,3,0,368,1601,715,23,5,1,8,0,387,370,95.6,3
Christian Maggio,Benevento,38,1982,3.3,179,6,66,87,36,5,150,1,4,25.0,1,0,91,405,281,5,3,0,2,5,120,103,85.8,4
Lisandro MagallÃ¡n,Crotone,26,1993,24.2,1350,168,709,624,81,14,1281,4,6,66.7,6,1,790,3689,1923,43,7,0,11,7,814,791,97.2,4
Charalambos Lykogiannis,Cagliari,26,1993,26.9,1502,126,515,673,412,28,1219,14,25,56.0,15,1,797,3926,2503,85,31,4,24,21,926,791,85.4,40
Lyanco,Torino,23,1997,21.8,1468,257,832,676,59,16,1421,18,21,85.7,18,0,970,5379,2878,63,20,1,6,5,964,947,98.2,0
Sebastiano Luperto,Crotone,23,1996,20.9,1154,184,661,524,44,11,1104,5,6,83.3,5,0,699,3642,1992,41,8,0,7,2,770,753,97.8,2
JosÃ© Luis Palomino,Atalanta,30,1990,27.0,1796,175,822,949,100,18,1721,1,1,100.0,1,0,1029,6066,2508,72,10,3,5,4,1051,1022,97.2,10
Matteo Lovato,Hellas Verona,20,2000,15.4,792,91,400,411,34,5,757,3,5,60.0,3,0,427,2269,1349,33,9,0,6,3,411,398,96.8,6
Matthijs de Ligt,Juventus,20,1999,24.7,1923,264,860,1069,103,30,1875,5,7,71.4,6,0,1342,7151,3297,80,15,0,6,4,1463,1432,97.9,3
Gaetano Letizia,Benevento,30,1990,17.4,1049,78,384,468,259,17,901,10,19,52.6,12,0,649,3576,2180,82,31,2,9,7,647,601,92.9,27
Manuel Lazzari,Lazio,26,1993,29.0,1448,47,325,609,646,70,1239,28,54,51.9,32,1,970,7336,5123,220,74,24,31,29,1124,928,82.6,94
Darko LazoviÄ‡,Hellas Verona,29,1990,27.8,1614,60,300,721,683,79,1369,18,36,50.0,20,5,911,4486,2873,148,47,18,29,29,1176,1001,85.1,92
Vincent Laurini,Parma,31,1989,9.7,584,38,210,310,108,1,500,2,4,50.0,2,0,306,1740,1148,45,12,0,5,3,368,347,94.3,5
Danilo Larangeira,Bologna,36,1984,34.8,2085,464,1158,992,43,22,1976,2,3,66.7,2,0,1124,6492,3741,52,6,0,1,2,1288,1263,98.1,5
Marash Kumbulla,Roma,20,2000,15.1,915,83,398,524,45,9,886,2,2,100.0,2,0,629,2911,1572,54,11,0,5,2,689,669,97.1,2
Kalidou Koulibaly,Napoli,29,1991,24.5,1964,254,921,1103,73,16,1871,12,15,80.0,12,1,1337,7188,3877,103,20,0,6,5,1428,1408,98.6,3
Aleksandar Kolarov,Inter,34,1985,4.3,407,40,136,239,81,1,371,0,3,0.0,0,0,278,2251,1666,60,19,0,3,0,292,285,97.6,6
Ragnar Klavan,Cagliari,34,1985,8.6,482,76,271,218,25,7,463,0,0,,0,0,265,1758,880,23,8,0,1,1,304,301,99.0,0
Simon KjÃ¦r,Milan,31,1989,26.6,1765,297,1001,808,41,19,1685,0,0,,0,0,1026,4866,2614,34,1,0,7,1,1175,1155,98.3,1
Giorgos Kiriakopoulos,Sassuolo,24,1996,16.2,1221,64,387,549,381,24,1102,28,45,62.2,31,1,839,4314,2460,116,43,6,20,21,894,834,93.3,47
Omar Khailoti,Bologna,18,2001,0.3,23,3,7,11,6,0,23,0,0,,0,0,17,98,56,4,1,0,0,0,22,18,81.8,0
Rick Karsdorp,Roma,25,1995,28.3,1530,66,409,730,468,43,1334,15,21,71.4,16,2,958,4526,2012,93,26,7,18,13,1117,977,87.5,72
Isaac Karamoko,Sassuolo,18,2002,0.0,3,0,0,1,2,1,3,0,0,,0,0,2,0,0,0,0,0,0,1,2,2,100.0,0
Pierre Kalulu,Milan,20,2000,8.1,576,66,272,270,76,7,538,3,3,100.0,3,0,343,2361,1264,46,15,2,2,3,389,373,95.9,5
Musa Juwara,Bologna,18,2001,0.5,43,1,8,19,22,3,40,2,3,66.7,2,0,35,292,182,7,2,1,0,4,34,31,91.2,4
Juan Jesus,Roma,29,1991,1.7,143,17,76,74,0,0,139,1,1,100.0,1,0,115,534,270,3,0,0,0,0,115,114,99.1,0
Armando Izzo,Torino,28,1992,22.3,1413,115,612,738,162,35,1350,7,13,53.8,7,0,894,5245,2707,73,20,0,11,7,931,901,96.8,12
Ardian Ismajli,Spezia,23,1996,14.4,856,81,462,450,12,5,830,0,0,,0,0,498,3283,1803,43,4,0,1,2,557,548,98.4,1
Igor,Fiorentina,22,1998,13.0,916,74,343,570,77,5,866,5,5,100.0,5,1,642,4153,2748,71,16,0,6,5,661,646,97.7,2
Roger Ibanez,Roma,21,1998,26.6,1991,214,904,1150,94,25,1929,20,35,57.1,27,1,1341,8486,4522,127,24,1,10,13,1349,1323,98.1,5
Simone Iacoponi,Parma,33,1987,13.3,838,104,403,416,81,5,765,3,5,60.0,4,1,511,2985,1768,44,8,0,6,0,572,548,95.8,7
Elseid Hysaj,Napoli,26,1994,19.6,1417,82,461,794,264,16,1251,17,27,63.0,19,1,898,4793,2806,100,35,5,14,12,973,922,94.8,17
Wesley Hoedt,Lazio,26,1994,10.6,799,133,415,406,22,5,780,2,3,66.7,2,0,507,3014,1456,27,2,0,2,3,538,535,99.4,0
Aaron Hickey,Bologna,18,2002,8.4,505,30,160,247,139,10,427,8,15,53.3,10,0,322,1931,952,34,18,2,10,13,301,280,93.0,16
Theo HernÃ¡ndez,Milan,22,1997,32.6,2301,117,653,1179,718,100,2050,65,105,61.9,70,5,1564,11234,7674,283,105,29,43,34,1643,1519,92.5,98
