Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Erick Pulgar,MF,Fiorentina,26,1994,22.2,928,1139,81.5,18310,5190,358,399,89.7,413,455,90.8,142,241,58.9,3,1.9,+1.1,22,78,10,5,75
Adrien Rabiot,MF,Juventus,25,1995,25.7,1339,1482,90.4,23599,5617,594,653,91.0,590,632,93.4,132,147,89.8,2,1.1,+0.9,10,117,23,3,103
Aaron Ramsey,MF,Juventus,29,1990,12.1,626,732,85.5,10686,2564,305,340,89.7,245,282,86.9,63,85,74.1,4,3.6,+0.4,30,59,22,4,59
Matteo Ricci,MF,Spezia,26,1994,24.8,1418,1665,85.2,32319,8862,380,430,88.4,684,745,91.8,342,459,74.5,2,1.4,+0.6,22,169,24,0,173
TomÃ¡s RincÃ³n,MF,Torino,32,1988,31.6,1156,1375,84.1,21399,5922,562,628,89.5,427,482,88.6,153,225,68.0,1,1.8,-0.8,14,118,16,4,98
Marko Rog,MF,Cagliari,25,1995,12.9,540,617,87.5,9371,2332,249,275,90.5,226,249,90.8,56,72,77.8,0,0.6,-0.6,9,48,7,1,44
Marten de Roon,MF,Atalanta,29,1991,33.6,1869,2148,87.0,37115,11168,696,764,91.1,900,988,91.1,257,355,72.4,1,2.1,-1.1,25,247,23,4,199
NicolÃ² Rovella,MF,Genoa,18,2001,13.2,700,824,85.0,14405,3269,260,287,90.6,303,331,91.5,127,186,68.3,2,1.5,+0.5,18,49,12,4,47
FabiÃ¡n Ruiz PeÃ±a,MF,Napoli,24,1996,28.5,1887,2124,88.8,37107,9406,783,857,91.4,733,795,92.2,334,398,83.9,1,2.8,-1.8,42,208,39,4,166
Siriki Sanogo,MF,Benevento,18,2001,0.1,8,8,100.0,115,4,4,4,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
NicolÃ¡s Schiappacasse,MF,Sassuolo,21,1999,0.2,1,1,100.0,4,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
Pasquale Schiattarella,MF,Benevento,33,1987,25.0,1116,1374,81.2,21798,6622,431,483,89.2,483,563,85.8,172,272,63.2,1,2.8,-1.8,24,132,28,2,136
Jerdy Schouten,MF,Bologna,23,1997,27.9,1204,1388,86.7,23631,6125,462,536,86.2,529,589,89.8,191,227,84.1,1,2.7,-1.7,24,135,12,0,118
Matteo Scozzarella,MF,Parma,32,1988,1.7,85,109,78.0,1925,414,24,25,96.0,37,39,94.9,24,44,54.5,0,0.3,-0.3,5,8,0,0,5
Jacopo Segre,MF,Torino,23,1997,2.1,94,107,87.9,1994,304,36,40,90.0,30,36,83.3,26,27,96.3,0,0.0,0.0,1,8,0,0,2
LÃ©o Sena,MF,Spezia,24,1995,9.8,532,602,88.4,12672,3163,124,139,89.2,248,272,91.2,149,171,87.1,0,0.1,-0.1,2,112,5,1,63
Stefano Sensi,MF,Inter,24,1995,6.7,351,426,82.4,6422,1748,164,182,90.1,140,166,84.3,43,68,63.2,0,1.0,-1.0,12,37,12,2,45
Luca Siligardi,MF,Crotone,32,1988,0.5,17,22,77.3,325,98,4,5,80.0,11,14,78.6,2,3,66.7,0,0.0,0.0,2,4,1,0,3
Adrien Silva,MF,Sampdoria,31,1989,17.8,839,959,87.5,17222,4144,310,342,90.6,346,387,89.4,164,197,83.2,1,0.9,+0.1,10,80,8,0,66
Simon Sohm,MF,Parma,19,2001,10.0,370,432,85.6,6782,1417,157,179,87.7,166,183,90.7,42,62,67.7,0,0.3,-0.3,5,26,3,0,34
Roberto Soriano,MF,Bologna,29,1991,36.1,1232,1518,81.2,19954,6232,635,739,85.9,456,540,84.4,100,146,68.5,6,6.4,-0.4,48,108,51,5,172
Kevin Strootman,MF,Genoa,30,1990,14.6,691,854,80.9,12443,3313,315,362,87.0,294,335,87.8,74,126,58.7,4,2.4,+1.6,22,73,17,4,61
Stefano Sturaro,MF,Hellas Verona,27,1993,4.7,137,183,74.9,2675,551,52,66,78.8,59,75,78.7,22,31,71.0,0,0.0,0.0,0,8,3,1,9
Stefano Sturaro,MF,Genoa,27,1993,4.9,173,245,70.6,3407,694,67,86,77.9,78,95,82.1,25,52,48.1,0,0.2,-0.2,4,7,2,1,17
Mattias Svanberg,MF,Bologna,21,1999,20.6,526,655,80.3,9689,2794,229,270,84.8,218,256,85.2,67,95,70.5,2,2.5,-0.5,16,51,18,0,70
Adrien Tameze,MF,Hellas Verona,26,1994,25.6,821,1024,80.2,15283,3281,343,410,83.7,354,412,85.9,107,162,66.0,0,1.9,-1.9,15,70,25,2,87
Morten Thorsby,MF,Sampdoria,24,1996,29.4,761,1002,75.9,11484,3797,435,521,83.5,255,340,75.0,43,76,56.6,1,0.9,+0.1,14,66,6,1,68
Sandro Tonali,MF,Milan,20,2000,14.8,633,769,82.3,12016,3077,258,301,85.7,270,309,87.4,93,131,71.0,0,1.3,-1.3,16,64,11,1,55
Ä½ubomÃ­r Tupta,MF,Hellas Verona,22,1998,0.6,8,10,80.0,147,19,4,6,66.7,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
