Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Fernando Llorente,es ESP,FW,Udinese,35,1985,7.9,2,0,0,21,11,3,1,4,2,0,0,0,37,47,33,58.8,Matches
Hirving Lozano,mx MEX,FW,Napoli,25,1995,21.8,6,0,0,34,69,11,70,18,20,1,0,0,114,15,22,40.5,Matches
Romelu Lukaku,be BEL,FW,Inter,27,1993,32.0,4,0,0,34,49,19,23,3,5,0,0,0,87,37,62,37.4,Matches
Mario MandÅ¾ukiÄ‡,hr CRO,FW,Milan,34,1986,2.4,1,0,0,9,2,2,2,1,5,0,0,0,8,13,12,52.0,Matches
Lautaro MartÃ­nez,ar ARG,FW,Inter,22,1997,28.5,5,0,0,65,61,11,16,28,18,3,0,0,133,32,61,34.4,Matches
Giuseppe Mastinu,it ITA,FW,Spezia,28,1991,0.4,0,0,0,1,1,0,0,1,1,0,0,0,4,0,0,,Matches
Borja Mayoral,es ESP,FW,Roma,23,1997,17.2,1,0,0,10,27,13,8,3,5,1,0,0,38,16,62,20.5,Matches
Gabriele Moncini,it ITA,FW,Benevento,24,1996,4.0,0,0,0,9,10,2,0,2,1,0,0,0,12,15,16,48.4,Matches
Ãlvaro Morata,es ESP,FW,Juventus,27,1992,22.4,3,1,0,37,44,20,29,9,12,1,0,0,88,32,32,50.0,Matches
Luis Muriel,co COL,FW,Atalanta,29,1991,16.0,0,0,0,18,20,4,40,7,12,1,0,0,95,27,49,35.5,Matches
Vedat Muriqi,xk KVX,FW,Lazio,26,1994,9.2,1,0,0,14,19,15,4,2,3,0,0,0,43,49,40,55.1,Matches
Ilija Nestorovski,mk MKD,FW,Udinese,30,1990,7.8,1,0,0,16,16,5,4,4,3,0,0,0,40,17,20,45.9,Matches
Simeon Nwankwo,ng NGA,FW,Crotone,28,1992,32.7,1,0,0,50,44,23,5,7,8,0,0,0,127,58,115,33.5,Matches
