Player,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Marco Bertini,Lazio,17,2002,0.1,4,1,2,2,0,0,4,0,0,,0,0,2,20,10,0,0,0,0,0,1,1,100.0,0
Giacomo Bonaventura,Fiorentina,30,1989,25.1,1243,36,214,661,465,47,1208,35,53,66.0,36,2,909,4764,2433,130,45,5,32,37,1068,860,80.5,94
Mehdi Bourabia,Sassuolo,28,1991,5.9,452,29,114,284,73,5,434,9,13,69.2,9,0,282,968,521,22,6,1,4,10,334,313,93.7,7
Edoardo Bove,Roma,18,2002,0.1,13,1,6,7,0,0,13,0,0,,0,0,9,59,41,1,0,0,0,0,9,9,100.0,0
Marcelo BrozoviÄ‡,Inter,27,1992,28.7,2518,131,658,1470,563,12,2378,11,17,64.7,12,1,1735,9060,4029,151,44,2,20,20,1956,1893,96.8,42
GastÃ³n Brugman,Parma,27,1992,18.0,1276,65,376,754,224,7,1165,16,20,80.0,18,1,760,4179,2212,72,18,2,8,10,862,825,95.7,20
Fabrizio Caligara,Cagliari,20,2000,2.0,98,8,29,44,30,1,91,1,4,25.0,1,0,46,174,84,4,2,0,1,5,68,55,80.9,2
Drissa Camara,Parma,18,2002,0.2,10,1,3,6,2,0,10,1,1,100.0,1,0,10,29,6,1,0,0,0,1,10,8,80.0,0
Antonio Candreva,Sampdoria,33,1987,27.8,1902,49,333,894,854,66,1685,31,57,54.4,34,5,1317,9010,5008,228,85,15,43,22,1617,1347,83.3,125
Giuseppe Caso,Genoa,21,1998,0.6,29,1,6,16,8,1,29,1,2,50.0,1,0,22,162,106,5,1,1,3,2,28,17,60.7,2
Gaetano Castrovilli,Fiorentina,23,1997,25.9,1134,36,181,534,520,65,1109,29,61,47.5,32,5,856,5118,3036,146,58,14,49,68,928,760,81.9,126
