Player,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Antonino La Gumina,Sampdoria,24,1996,3.8,0,11,1,9.1,2.90,0.26,0.00,0.00,15.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Gianluca Lapadula,Benevento,30,1990,28.5,8,75,28,37.3,2.63,0.98,0.11,0.29,15.5,5,0,1,10.2,9.3,0.12,-2.2,-1.3
Kevin Lasagna,Udinese,27,1992,12.3,2,43,14,32.6,3.51,1.14,0.05,0.14,14.6,1,0,0,7.3,7.3,0.17,-5.3,-5.3
Kevin Lasagna,Hellas Verona,27,1992,14.1,2,30,7,23.3,2.13,0.50,0.07,0.29,14.1,0,0,0,3.4,3.4,0.11,-1.4,-1.4
Rafael LeÃ£o,Milan,21,1999,21.4,6,43,20,46.5,2.01,0.94,0.14,0.30,15.8,0,0,0,5.7,5.7,0.13,+0.3,+0.3
Fernando Llorente,Udinese,35,1985,7.9,1,11,5,45.5,1.39,0.63,0.09,0.20,9.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4
Hirving Lozano,Napoli,25,1995,21.8,11,59,27,45.8,2.70,1.24,0.19,0.41,15.2,0,0,0,7.9,7.9,0.13,+3.1,+3.1
Romelu Lukaku,Inter,27,1993,32.0,24,89,42,47.2,2.78,1.31,0.20,0.43,13.7,1,6,6,22.7,18.1,0.21,+1.3,-0.1
Mario MandÅ¾ukiÄ‡,Milan,34,1986,2.4,0,5,3,60.0,2.12,1.27,0.00,0.00,9.2,0,0,0,0.8,0.8,0.17,-0.8,-0.8
Lautaro MartÃ­nez,Inter,22,1997,28.5,17,108,36,33.3,3.80,1.27,0.14,0.42,14.3,0,2,2,15.5,14.0,0.13,+1.5,+1.0
Giuseppe Mastinu,Spezia,28,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Borja Mayoral,Roma,23,1997,17.2,10,41,16,39.0,2.38,0.93,0.24,0.63,13.9,0,0,0,8.3,8.3,0.20,+1.7,+1.7
Gabriele Moncini,Benevento,24,1996,4.0,0,8,1,12.5,2.02,0.25,0.00,0.00,13.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0
Ãlvaro Morata,Juventus,27,1992,22.4,11,54,23,42.6,2.41,1.03,0.19,0.43,11.4,0,1,1,10.9,10.2,0.19,+0.1,-0.2
Luis Muriel,Atalanta,29,1991,16.0,22,83,36,43.4,5.20,2.26,0.24,0.56,17.6,8,2,3,16.1,13.8,0.17,+5.9,+6.2
Vedat Muriqi,Lazio,26,1994,9.2,1,32,7,21.9,3.46,0.76,0.03,0.14,13.0,0,0,0,4.6,4.6,0.14,-3.6,-3.6
Ilija Nestorovski,Udinese,30,1990,7.8,2,24,9,37.5,3.08,1.16,0.08,0.22,11.0,0,0,0,3.9,3.9,0.16,-1.9,-1.9
Simeon Nwankwo,Crotone,28,1992,32.7,20,54,24,44.4,1.65,0.73,0.22,0.50,11.7,0,8,8,16.3,10.2,0.19,+3.7,+1.8
M'Bala Nzola,Spezia,23,1996,21.1,11,39,14,35.9,1.85,0.66,0.18,0.50,13.7,0,4,4,9.1,6.0,0.15,+1.9,+1.0
Stefano Okaka,Udinese,30,1989,16.5,4,22,9,40.9,1.33,0.54,0.18,0.44,12.4,0,0,0,2.9,2.9,0.13,+1.1,+1.1
Victor Osimhen,Napoli,21,1998,17.5,10,64,26,40.6,3.66,1.49,0.16,0.38,13.6,0,0,0,10.3,10.3,0.16,-0.3,-0.3
Rodrigo Palacio,Bologna,38,1982,27.8,5,54,24,44.4,1.94,0.86,0.09,0.21,13.5,0,0,0,8.3,8.3,0.15,-3.3,-3.3
Leonardo Pavoletti,Cagliari,31,1988,17.6,4,44,11,25.0,2.50,0.62,0.09,0.36,10.1,0,0,0,6.1,6.1,0.14,-2.1,-2.1
