Player,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Adrien Tameze,Hellas Verona,26,1994,25.6,53,41,26,24,3,12,34,35.3,22,449,143,31.8,132,232,85,50,9,0,41,35,88,55,2
Mattias Svanberg,Bologna,21,1999,20.6,40,17,18,14,8,10,42,23.8,32,307,79,25.7,116,134,57,33,3,0,30,36,76,27,0
Stefano Sturaro,Genoa,27,1993,4.9,12,7,3,7,2,3,11,27.3,8,110,27,24.5,31,58,21,10,0,0,10,2,14,2,0
Stefano Sturaro,Hellas Verona,27,1993,4.7,9,5,3,5,1,3,9,33.3,6,101,23,22.8,22,58,21,8,0,0,8,2,11,10,0
Kevin Strootman,Genoa,30,1990,14.6,43,27,21,21,1,22,38,57.9,16,334,96,28.7,122,158,54,36,3,0,33,28,71,16,0
Roberto Soriano,Bologna,29,1991,36.1,47,32,19,19,9,11,61,18.0,50,606,157,25.9,147,270,189,37,7,0,30,25,72,47,0
Simon Sohm,Parma,19,2001,10.0,18,11,11,6,1,7,14,50.0,7,153,31,20.3,52,77,24,10,1,0,9,3,21,10,0
Adrien Silva,Sampdoria,31,1989,17.8,49,26,25,22,2,13,45,28.9,32,497,142,28.6,166,254,77,39,3,0,36,34,83,14,0
Luca Siligardi,Crotone,32,1988,0.5,2,2,0,1,1,1,5,20.0,4,15,5,33.3,3,8,4,1,0,0,1,0,2,0,0
Stefano Sensi,Inter,24,1995,6.7,13,10,6,5,2,3,9,33.3,6,121,30,24.8,42,49,30,5,1,0,4,10,23,2,1
LÃ©o Sena,Spezia,24,1995,9.8,24,15,10,9,5,9,24,37.5,15,159,54,34.0,50,80,29,24,4,0,20,13,37,8,0
Jacopo Segre,Torino,23,1997,2.1,6,5,3,2,1,2,5,40.0,3,27,11,40.7,10,14,3,1,0,0,1,0,6,1,0
Matteo Scozzarella,Parma,32,1988,1.7,3,1,2,1,0,2,3,66.7,1,18,5,27.8,5,12,1,5,1,0,4,6,9,1,0
Jerdy Schouten,Bologna,23,1997,27.9,50,40,19,30,1,10,31,32.3,21,431,131,30.4,167,207,57,51,14,1,37,79,129,45,2
Pasquale Schiattarella,Benevento,33,1987,25.0,46,35,29,16,1,20,46,43.5,26,281,106,37.7,131,132,18,29,6,0,23,23,69,39,1
NicolÃ¡s Schiappacasse,Sassuolo,21,1999,0.2,0,0,0,0,0,0,0,,0,4,2,50.0,0,0,4,0,0,0,0,0,0,0,0
Siriki Sanogo,Benevento,18,2001,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0
FabiÃ¡n Ruiz PeÃ±a,Napoli,24,1996,28.5,49,40,20,20,9,20,69,29.0,49,471,141,29.9,132,214,125,44,3,0,41,40,89,40,0
NicolÃ² Rovella,Genoa,18,2001,13.2,28,16,15,10,3,6,22,27.3,16,308,68,22.1,130,143,35,26,1,0,25,18,46,26,0
Marten de Roon,Atalanta,29,1991,33.6,95,67,33,47,15,26,87,29.9,61,673,231,34.3,172,376,125,45,7,0,38,69,164,78,0
Marko Rog,Cagliari,25,1995,12.9,39,25,16,20,3,6,25,24.0,19,318,90,28.3,103,158,57,22,7,0,15,12,51,11,0
TomÃ¡s RincÃ³n,Torino,32,1988,31.6,78,47,33,34,11,27,70,38.6,43,510,174,34.1,171,255,84,37,7,0,30,30,108,54,0
Matteo Ricci,Spezia,26,1994,24.8,44,32,14,27,3,14,51,27.5,37,325,102,31.4,103,177,45,38,4,0,34,30,74,19,0
Aaron Ramsey,Juventus,29,1990,12.1,24,16,8,14,2,5,24,20.8,19,225,73,32.4,54,108,63,14,2,0,12,6,30,9,1
Adrien Rabiot,Juventus,25,1995,25.7,72,45,28,33,11,25,57,43.9,32,485,144,29.7,160,240,85,46,11,0,35,31,103,37,1
Erick Pulgar,Fiorentina,26,1994,22.2,46,32,24,21,1,19,50,38.0,31,325,106,32.6,127,157,41,45,12,0,33,35,81,49,0
Andrea Poli,Bologna,30,1989,4.3,7,7,1,3,3,3,16,18.8,13,72,24,33.3,25,37,10,17,1,0,16,7,14,6,0
Tommaso Pobega,Spezia,21,1999,13.7,31,21,9,15,7,5,25,20.0,20,264,73,27.7,60,150,54,19,2,0,17,14,45,23,1
