Player,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Marvin Zeegelaar,Udinese,29,1990,19.3,1,9,1,11.1,0.47,0.05,0.11,1.00,14.0,0,0,0,1.5,1.5,0.16,-0.5,-0.5
Davide Zappacosta,Genoa,28,1992,22.7,4,43,13,30.2,1.89,0.57,0.09,0.31,20.0,0,0,0,2.5,2.5,0.06,+1.5,+1.5
Gabriele Zappa,Cagliari,20,1999,26.6,0,12,1,8.3,0.45,0.04,0.00,0.00,15.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7
CristiÃ¡n Zapata,Genoa,33,1986,10.8,0,4,2,50.0,0.37,0.19,0.00,0.00,14.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Vasilios Zagaritis,Parma,19,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ashley Young,Inter,35,1985,15.8,1,15,5,33.3,0.95,0.32,0.07,0.20,16.5,1,0,0,1.4,1.2,0.08,-0.4,-0.2
Maya Yoshida,Sampdoria,31,1988,25.3,1,12,2,16.7,0.47,0.08,0.08,0.50,8.4,0,0,0,1.9,1.9,0.16,-0.9,-0.9
Sebastian Walukiewicz,Cagliari,20,2000,18.0,0,3,1,33.3,0.17,0.06,0.00,0.00,6.9,0,0,0,0.5,0.5,0.16,-0.5,-0.5
Stefan de Vrij,Inter,28,1992,30.4,1,11,4,36.4,0.36,0.13,0.09,0.25,8.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4
MÃ«rgim Vojvoda,Torino,25,1995,15.1,2,6,3,50.0,0.40,0.20,0.33,0.67,11.5,0,0,0,1.3,1.3,0.22,+0.7,+0.7
Luca Vignali,Spezia,24,1996,17.7,0,4,1,25.0,0.23,0.06,0.00,0.00,20.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Lorenzo Venuti,Fiorentina,25,1995,19.5,0,4,0,0.0,0.20,0.00,0.00,,18.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Denis Vavro,Lazio,24,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lautaro Valenti,Parma,21,1999,5.5,0,4,0,0.0,0.72,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Alessandro Tuia,Benevento,30,1990,19.6,1,7,1,14.3,0.36,0.05,0.14,1.00,12.2,0,0,0,0.4,0.4,0.06,+0.6,+0.6
Alessandro Tripaldelli,Cagliari,21,1999,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lorenzo Tonelli,Sampdoria,30,1990,19.8,1,12,2,16.7,0.61,0.10,0.08,0.50,9.3,0,0,0,1.3,1.3,0.11,-0.3,-0.3
Fikayo Tomori,Milan,22,1997,16.3,1,5,4,80.0,0.31,0.25,0.20,0.25,8.9,0,0,0,0.4,0.4,0.08,+0.6,+0.6
Takehiro Tomiyasu,Bologna,21,1998,30.2,2,16,4,25.0,0.53,0.13,0.13,0.50,15.2,0,0,0,1.2,1.2,0.08,+0.8,+0.8
Rafael TolÃ³i,Atalanta,29,1990,28.2,2,27,8,29.6,0.96,0.28,0.07,0.25,12.8,0,0,0,3.5,3.5,0.13,-1.5,-1.5
Jeremy Toljan,Sassuolo,25,1994,16.6,0,6,1,16.7,0.36,0.06,0.00,0.00,18.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Claudio Terzi,Spezia,36,1984,20.8,1,5,2,40.0,0.24,0.10,0.20,0.50,8.9,0,0,0,0.3,0.3,0.06,+0.7,+0.7
Hidde ter Avest,Udinese,23,1997,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bosko Sutalo,Atalanta,20,2000,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jens Stryger Larsen,Udinese,29,1991,29.3,2,24,11,45.8,0.82,0.38,0.08,0.18,17.5,0,0,0,2.9,2.9,0.12,-0.9,-0.9
Leonardo Spinazzola,Roma,27,1993,23.6,2,22,6,27.3,0.93,0.25,0.09,0.33,17.4,0,0,0,2.0,2.0,0.09,0.0,0.0
Adama Soumaoro,Bologna,28,1992,19.5,1,7,2,28.6,0.36,0.10,0.14,0.50,7.4,0,0,0,1.2,1.2,0.17,-0.2,-0.2
Chris Smalling,Roma,30,1989,12.3,0,7,1,14.3,0.57,0.08,0.00,0.00,8.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Milan Å kriniar,Inter,25,1995,30.9,3,15,6,40.0,0.49,0.19,0.20,0.50,8.6,0,0,0,1.8,1.8,0.12,+1.2,+1.2
Wilfried Singo,Torino,19,2000,20.6,1,10,1,10.0,0.49,0.05,0.10,1.00,14.2,0,0,0,1.1,1.1,0.11,-0.1,-0.1
Samir Santos,Udinese,25,1994,24.6,1,11,3,27.3,0.45,0.12,0.09,0.33,9.6,0,0,0,1.2,1.2,0.11,-0.2,-0.2
Davide Santon,Roma,29,1991,6.5,0,5,0,0.0,0.77,0.00,0.00,,14.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Alex Sandro,Juventus,29,1991,20.6,2,14,3,21.4,0.68,0.15,0.14,0.67,13.6,0,0,0,1.2,1.2,0.08,+0.8,+0.8
Jacopo Sala,Spezia,28,1991,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
MÃ¡rio Rui,Napoli,29,1991,18.5,0,19,2,10.5,1.02,0.11,0.00,0.00,22.7,2,0,0,0.7,0.7,0.04,-0.7,-0.7
Matteo Ruggeri,Atalanta,18,2002,2.3,0,1,0,0.0,0.43,0.00,0.00,,16.0,0,0,0,0.0,0.0,0.03,0.0,0.0
Daniele Rugani,Cagliari,26,1994,11.1,1,3,1,33.3,0.27,0.09,0.33,1.00,6.0,0,0,0,0.4,0.4,0.13,+0.6,+0.6
Amir Rrahmani,Napoli,26,1994,12.2,1,5,2,40.0,0.41,0.16,0.20,0.50,8.7,0,0,0,0.6,0.6,0.12,+0.4,+0.4
Cristian Romero,Atalanta,22,1998,28.3,2,14,7,50.0,0.50,0.25,0.14,0.29,9.4,0,0,0,1.8,1.8,0.13,+0.2,+0.2
Alessio Romagnoli,Milan,25,1995,21.2,1,15,3,20.0,0.71,0.14,0.07,0.33,6.6,0,0,0,2.3,2.3,0.15,-1.3,-1.3
RogÃ©rio,Sassuolo,22,1998,20.9,0,16,3,18.8,0.77,0.14,0.00,0.00,21.7,0,0,0,0.6,0.6,0.03,-0.6,-0.6
Ricardo RodrÃ­guez,Torino,27,1992,13.8,0,13,2,15.4,0.95,0.15,0.00,0.00,25.8,8,0,0,0.5,0.5,0.04,-0.5,-0.5
Andrea Rispoli,Crotone,31,1988,7.2,0,4,1,25.0,0.55,0.14,0.00,0.00,22.5,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Giacomo Ricci,Parma,23,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bryan Reynolds,Roma,19,2001,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Vasco Regini,Sampdoria,29,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Arkadiusz Reca,Crotone,25,1995,25.7,2,30,7,23.3,1.17,0.27,0.07,0.29,18.3,0,0,0,1.6,1.6,0.05,+0.4,+0.4
Andrea Ranocchia,Inter,32,1988,7.8,0,9,2,22.2,1.15,0.26,0.00,0.00,6.4,0,0,0,1.1,1.1,0.12,-1.1,-1.1
È˜tefan Radu,Lazio,33,1986,27.3,0,6,0,0.0,0.22,0.00,0.00,,11.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Fabio Pisacane,Cagliari,34,1986,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cristiano Piccini,Atalanta,27,1992,0.7,0,1,0,0.0,1.53,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Giuseppe Pezzella,Parma,22,1997,20.3,1,7,2,28.6,0.34,0.10,0.14,0.50,23.9,0,0,0,0.3,0.3,0.04,+0.7,+0.7
GermÃ¡n Pezzella,Fiorentina,29,1991,30.5,1,18,2,11.1,0.59,0.07,0.06,0.50,9.7,0,0,0,1.3,1.3,0.07,-0.3,-0.3
Bruno Peres,Roma,30,1990,15.9,1,12,6,50.0,0.76,0.38,0.08,0.17,17.1,0,0,0,1.2,1.2,0.10,-0.2,-0.2
Pedro Pereira,Crotone,22,1998,28.3,0,13,5,38.5,0.46,0.18,0.00,0.00,23.3,2,0,0,0.7,0.7,0.05,-0.7,-0.7
Federico Peluso,Sassuolo,36,1984,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
NehuÃ©n Paz,Bologna,27,1993,4.0,1,2,1,50.0,0.50,0.25,0.50,1.00,5.0,0,0,0,0.5,0.5,0.24,+0.5,+0.5
Patric,Lazio,27,1993,17.7,0,7,0,0.0,0.39,0.00,0.00,,21.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Christian Pastina,Benevento,19,2001,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Thomas Ouwejan,Udinese,23,1996,4.6,0,6,2,33.3,1.31,0.44,0.00,0.00,24.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Yordan Osorio,Parma,26,1994,20.1,0,8,1,12.5,0.40,0.05,0.00,0.00,9.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Jerome Onguene,Genoa,22,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Maximiliano Olivera,Fiorentina,28,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bram Nuytinck,Udinese,30,1990,18.2,1,4,2,50.0,0.22,0.11,0.25,0.50,14.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7
Nicolas Nkoulou,Torino,30,1990,15.1,1,3,1,33.3,0.20,0.07,0.33,1.00,8.3,0,0,0,0.4,0.4,0.12,+0.6,+0.6
Joakim MÃ¦hle,Atalanta,23,1997,13.5,0,21,6,28.6,1.55,0.44,0.00,0.00,18.7,0,0,0,1.4,1.4,0.07,-1.4,-1.4
Mateo Musacchio,Milan,29,1990,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mateo Musacchio,Lazio,29,1990,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicola Murru,Torino,25,1994,6.3,0,5,1,20.0,0.79,0.16,0.00,0.00,16.2,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Mert MÃ¼ldÃ¼r,Sassuolo,21,1999,18.6,0,15,1,6.7,0.81,0.05,0.00,0.00,16.5,0,0,0,1.0,1.0,0.07,-1.0,-1.0
Nahuel Molina,Udinese,22,1997,20.3,2,16,6,37.5,0.79,0.30,0.13,0.33,18.0,0,0,0,1.6,1.6,0.10,+0.4,+0.4
Nikola MilenkoviÄ‡,Fiorentina,22,1997,33.7,3,20,9,45.0,0.59,0.27,0.15,0.33,12.1,0,0,0,2.6,2.6,0.14,+0.4,+0.4
YÄ±ldÄ±rÄ±m Mert Ã‡etin,Hellas Verona,23,1997,4.6,0,2,0,0.0,0.43,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ibrahima Mbaye,Bologna,25,1994,4.8,1,1,1,100.0,0.21,0.21,1.00,1.00,2.0,0,0,0,0.5,0.5,0.55,+0.5,+0.5
Antonio Mazzotta,Crotone,30,1989,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Federico Mattiello,Spezia,25,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Andrea Masiello,Genoa,34,1986,28.5,0,5,0,0.0,0.18,0.00,0.00,,16.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Adam MaruÅ¡iÄ‡,Lazio,27,1992,33.0,2,27,12,44.4,0.82,0.36,0.07,0.17,14.5,0,0,0,2.0,2.0,0.08,0.0,0.0
Lucas MartÃ­nez Quarta,Fiorentina,24,1996,16.5,1,13,5,38.5,0.79,0.30,0.08,0.20,16.9,0,0,0,1.4,1.4,0.11,-0.4,-0.4
Luca Marrone,Crotone,30,1990,17.6,0,4,2,50.0,0.23,0.11,0.00,0.00,7.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Marlon,Sassuolo,24,1995,19.4,0,5,2,40.0,0.26,0.10,0.00,0.00,8.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Gian Marco Ferrari,Sassuolo,28,1992,33.5,0,24,5,20.8,0.72,0.15,0.00,0.00,12.1,0,0,0,1.6,1.6,0.07,-1.6,-1.6
Riccardo Marchizza,Spezia,22,1998,17.3,0,7,0,0.0,0.40,0.00,0.00,,17.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Juan Manuel Ramos,Spezia,23,1996,3.3,0,1,0,0.0,0.31,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.03,0.0,0.0
Kostas Manolas,Napoli,29,1991,25.5,0,8,3,37.5,0.31,0.12,0.00,0.00,11.1,0,0,0,0.8,0.8,0.10,-0.8,-0.8
Gianluca Mancini,Roma,24,1996,31.7,4,29,12,41.4,0.92,0.38,0.14,0.33,12.1,0,0,0,2.5,2.5,0.09,+1.5,+1.5
KÃ©vin Malcuit,Fiorentina,29,1991,2.3,0,2,0,0.0,0.87,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Nikola MaksimoviÄ‡,Napoli,28,1991,13.4,0,5,1,20.0,0.37,0.07,0.00,0.00,7.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Giangiacomo Magnani,Hellas Verona,24,1995,16.8,0,13,2,15.4,0.77,0.12,0.00,0.00,17.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7
Christian Maggio,Benevento,38,1982,3.3,0,2,0,0.0,0.61,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Lisandro MagallÃ¡n,Crotone,26,1993,24.2,1,9,2,22.2,0.37,0.08,0.11,0.50,7.2,0,0,0,1.1,1.1,0.13,-0.1,-0.1
Charalambos Lykogiannis,Cagliari,26,1993,26.9,4,28,7,25.0,1.04,0.26,0.14,0.57,20.3,9,0,0,1.9,1.9,0.07,+2.1,+2.1
Lyanco,Torino,23,1997,21.8,0,12,3,25.0,0.55,0.14,0.00,0.00,19.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8
Sebastiano Luperto,Crotone,23,1996,20.9,0,5,1,20.0,0.24,0.05,0.00,0.00,18.5,0,0,0,0.7,0.7,0.13,-0.7,-0.7
JosÃ© Luis Palomino,Atalanta,30,1990,27.0,1,4,1,25.0,0.15,0.04,0.25,1.00,26.8,0,0,0,0.4,0.4,0.10,+0.6,+0.6
Matteo Lovato,Hellas Verona,20,2000,15.4,0,1,0,0.0,0.06,0.00,0.00,,7.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Matthijs de Ligt,Juventus,20,1999,24.7,1,19,6,31.6,0.77,0.24,0.05,0.17,11.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1
Gaetano Letizia,Benevento,30,1990,17.4,3,13,7,53.8,0.75,0.40,0.23,0.43,22.4,0,0,0,0.4,0.4,0.03,+2.6,+2.6
Manuel Lazzari,Lazio,26,1993,29.0,2,24,6,25.0,0.83,0.21,0.08,0.33,19.1,0,0,0,2.2,2.2,0.09,-0.2,-0.2
Darko LazoviÄ‡,Hellas Verona,29,1990,27.8,3,32,11,34.4,1.15,0.40,0.09,0.27,17.3,2,0,0,2.9,2.9,0.09,+0.1,+0.1
Vincent Laurini,Parma,31,1989,9.7,0,1,0,0.0,0.10,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0
Danilo Larangeira,Bologna,36,1984,34.8,0,14,2,14.3,0.40,0.06,0.00,0.00,13.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Marash Kumbulla,Roma,20,2000,15.1,1,6,2,33.3,0.40,0.13,0.17,0.50,6.9,0,0,0,0.9,0.9,0.15,+0.1,+0.1
Kalidou Koulibaly,Napoli,29,1991,24.5,0,10,1,10.0,0.41,0.04,0.00,0.00,11.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Aleksandar Kolarov,Inter,34,1985,4.3,0,6,2,33.3,1.38,0.46,0.00,0.00,29.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Ragnar Klavan,Cagliari,34,1985,8.6,0,6,1,16.7,0.70,0.12,0.00,0.00,16.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Simon KjÃ¦r,Milan,31,1989,26.6,0,15,2,13.3,0.56,0.08,0.00,0.00,11.2,1,0,0,1.3,1.3,0.09,-1.3,-1.3
Giorgos Kiriakopoulos,Sassuolo,24,1996,16.2,1,24,14,58.3,1.48,0.87,0.04,0.07,21.9,1,0,0,1.4,1.4,0.06,-0.4,-0.4
Omar Khailoti,Bologna,18,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rick Karsdorp,Roma,25,1995,28.3,1,13,4,30.8,0.46,0.14,0.08,0.25,16.5,0,0,0,0.9,0.9,0.07,+0.1,+0.1
Isaac Karamoko,Sassuolo,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Pierre Kalulu,Milan,20,2000,8.1,1,3,1,33.3,0.37,0.12,0.33,1.00,6.7,0,0,0,0.6,0.6,0.20,+0.4,+0.4
Musa Juwara,Bologna,18,2001,0.5,0,1,1,100.0,1.96,1.96,0.00,0.00,22.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Juan Jesus,Roma,29,1991,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Armando Izzo,Torino,28,1992,22.3,2,15,3,20.0,0.67,0.13,0.13,0.67,8.1,0,0,0,1.4,1.4,0.09,+0.6,+0.6
Ardian Ismajli,Spezia,23,1996,14.4,1,6,1,16.7,0.42,0.07,0.17,1.00,11.3,0,0,0,0.5,0.5,0.08,+0.5,+0.5
Igor,Fiorentina,22,1998,13.0,0,1,1,100.0,0.08,0.08,0.00,0.00,6.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1
Roger Ibanez,Roma,21,1998,26.6,0,16,4,25.0,0.60,0.15,0.00,0.00,15.1,0,0,0,0.9,0.9,0.05,-0.9,-0.9
Simone Iacoponi,Parma,33,1987,13.3,0,4,2,50.0,0.30,0.15,0.00,0.00,36.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Elseid Hysaj,Napoli,26,1994,19.6,0,8,0,0.0,0.41,0.00,0.00,,25.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Wesley Hoedt,Lazio,26,1994,10.6,0,3,0,0.0,0.28,0.00,0.00,,11.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Aaron Hickey,Bologna,18,2002,8.4,0,3,1,33.3,0.36,0.12,0.00,0.00,28.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1
Theo HernÃ¡ndez,Milan,22,1997,32.6,7,47,13,27.7,1.44,0.40,0.15,0.54,19.2,2,0,0,3.6,3.6,0.08,+3.4,+3.4
Hans Hateboer,Atalanta,26,1994,19.6,2,27,13,48.1,1.38,0.66,0.07,0.15,11.9,0,0,0,3.1,3.1,0.12,-1.1,-1.1
Achraf Hakimi,Inter,21,1998,29.6,7,38,15,39.5,1.28,0.51,0.18,0.47,16.3,2,0,0,4.6,4.6,0.12,+2.4,+2.4
Koray GÃ¼nter,Hellas Verona,25,1994,19.6,0,6,2,33.3,0.31,0.10,0.00,0.00,16.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Robin Gosens,Atalanta,26,1994,28.0,10,50,20,40.0,1.78,0.71,0.20,0.50,11.5,0,0,0,6.8,6.8,0.14,+3.2,+3.2
Vladimir GolemiÄ‡,Crotone,29,1991,26.0,2,6,2,33.3,0.23,0.08,0.17,0.50,9.6,0,1,1,1.2,0.5,0.08,+0.8,+0.5
Edoardo Goldaniga,Genoa,26,1993,20.6,0,7,0,0.0,0.34,0.00,0.00,,12.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Diego GodÃ­n,Cagliari,34,1986,27.9,1,11,4,36.4,0.39,0.14,0.09,0.25,9.2,0,0,0,0.7,0.7,0.07,+0.3,+0.3
Kamil Glik,Benevento,32,1988,35.6,2,29,11,37.9,0.81,0.31,0.07,0.18,10.0,0,0,0,3.3,3.3,0.11,-1.3,-1.3
