Player,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Luca Caldirola,Benevento,29,1991,17.5,18,12,13,5,0,4,16,25.0,12,142,46,32.4,77,58,7,29,15,1,14,17,35,69,0
Mattia Caldara,Atalanta,26,1994,1.2,2,2,0,2,0,1,1,100.0,0,18,6,33.3,7,8,3,5,1,0,4,3,5,5,0
Riccardo Calafiori,Roma,18,2002,0.7,3,2,3,0,0,1,4,25.0,3,21,7,33.3,11,6,4,3,0,0,3,1,4,1,0
Davide Calabria,Milan,23,1996,29.4,93,50,59,26,8,43,91,47.3,48,524,173,33.0,249,216,59,65,7,0,58,27,120,83,1
Arturo Calabresi,Cagliari,24,1996,0.2,0,0,0,0,0,0,1,0.0,1,10,4,40.0,2,3,5,0,0,0,0,0,0,2,0
MartÃ­n CÃ¡ceres,Fiorentina,33,1987,24.9,29,13,20,9,0,11,31,35.5,20,270,83,30.7,155,92,23,28,11,0,17,17,46,76,1
Maxime Busi,Parma,20,1999,13.3,28,12,23,5,0,12,29,41.4,17,220,52,23.6,114,82,24,30,1,0,29,18,46,34,1
Alessandro Buongiorno,Torino,21,1999,9.5,8,6,5,3,0,4,7,57.1,3,101,28,27.7,54,41,6,21,9,0,12,19,27,44,1
Gleison Bremer,Torino,23,1997,32.6,65,41,51,12,2,21,40,52.5,19,360,133,36.9,224,114,22,60,20,0,40,88,153,200,0
Leonardo Bonucci,Juventus,33,1987,22.5,24,15,12,11,1,7,17,41.2,10,147,53,36.1,73,66,8,37,17,0,20,18,42,84,0
Kevin Bonifazi,Udinese,24,1996,27.4,43,26,32,9,2,14,25,56.0,11,266,87,32.7,169,81,16,46,21,0,25,49,92,110,2
Davide Biraschi,Genoa,26,1994,10.2,17,9,12,4,1,3,11,27.3,8,169,45,26.6,98,58,13,18,6,0,12,16,33,28,0
Cristiano Biraghi,Fiorentina,27,1992,31.1,42,20,22,11,9,21,41,51.2,20,241,63,26.1,90,99,52,45,9,0,36,19,61,71,0
Bartosz BereszyÅ„ski,Sampdoria,28,1992,29.0,72,46,42,23,7,22,59,37.3,37,427,141,33.0,205,163,59,78,21,1,57,34,106,80,3
Rodrigo BecÃ£o,Udinese,24,1996,30.9,68,37,39,25,4,20,47,42.6,27,413,142,34.4,248,133,32,56,31,0,25,47,115,123,2
Bastos,Lazio,29,1991,0.7,4,2,2,1,1,0,1,0.0,1,23,9,39.1,15,7,1,3,0,0,3,0,4,1,0
Simone Bastoni,Spezia,23,1996,16.9,55,29,31,19,5,26,47,55.3,21,264,76,28.8,99,122,43,21,1,0,20,22,77,39,0
Alessandro Bastoni,Inter,21,1999,32.5,44,26,18,23,3,17,30,56.7,13,296,87,29.4,141,124,31,48,20,0,28,37,81,87,1
Antonio Barreca,Fiorentina,25,1995,0.9,0,0,0,0,0,0,1,0.0,1,6,1,16.7,3,1,2,2,0,0,2,0,0,0,0
Federico Barba,Benevento,26,1993,29.5,34,20,24,8,2,10,24,41.7,14,300,91,30.3,173,104,23,52,18,0,34,57,91,117,4
Mattia Bani,Genoa,26,1993,10.2,13,8,7,6,0,4,10,40.0,6,143,41,28.7,86,49,8,31,14,0,17,18,31,55,1
Mattia Bani,Parma,26,1993,12.7,20,11,15,4,1,6,10,60.0,4,166,66,39.8,106,52,8,16,7,0,9,24,44,75,0
Botond Balogh,Parma,18,2002,1.8,6,3,6,0,0,2,3,66.7,1,33,8,24.2,25,7,1,7,3,0,4,1,7,7,0
Kaan Ayhan,Sassuolo,25,1994,8.8,15,11,7,6,2,7,13,53.8,6,79,34,43.0,41,32,6,16,4,0,12,8,23,42,0
Tommaso Augello,Sampdoria,25,1994,35.7,50,25,35,12,3,20,40,50.0,20,341,119,34.9,162,107,72,51,2,0,49,39,89,89,1
NicolÃ² Armini,Lazio,19,2001,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,2,0,0,0,0,0,0,0,1,0
Valentin Antov,Bologna,19,2000,2.6,6,3,5,1,0,3,10,30.0,7,34,8,23.5,19,14,1,11,5,0,6,5,11,11,0
Cristian Ansaldi,Torino,33,1986,21.6,48,26,24,16,8,25,40,62.5,15,262,81,30.9,115,85,62,32,7,0,25,27,75,27,1
Davide Angelo Ghislandi,Atalanta,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Djavan Anderson,Lazio,25,1995,0.8,0,0,0,0,0,0,1,0.0,1,10,1,10.0,1,7,2,2,0,0,2,0,0,0,0
Wisdom Amey,Bologna,14,2005,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
Bruno Alves,Parma,38,1981,18.1,16,6,10,6,0,8,13,61.5,5,139,37,26.6,92,42,5,28,14,0,14,15,31,87,0
Francesco Acerbi,Lazio,32,1988,31.3,54,38,35,16,3,11,37,29.7,26,349,146,41.8,200,119,30,51,19,0,32,62,116,157,1
Iyenoma Udogie,Hellas Verona,17,2002,1.9,6,4,4,1,1,2,3,66.7,1,37,13,35.1,16,16,5,4,1,0,3,3,9,7,0
AndrÃ©s Tello,Benevento,23,1996,4.6,11,8,8,3,0,4,20,20.0,16,93,31,33.3,43,33,17,11,1,0,10,7,18,9,0
Kevin RÃ¼egg,Hellas Verona,21,1998,2.3,4,3,2,1,1,0,1,0.0,1,30,12,40.0,14,11,5,7,1,0,6,1,5,4,0
Ivan RadovanoviÄ‡,Genoa,31,1988,24.8,32,22,19,12,1,9,26,34.6,17,215,65,30.2,128,82,5,49,23,0,26,33,65,144,2
Manolo Portanova,Genoa,20,2000,0.7,3,1,1,1,1,0,2,0.0,2,32,11,34.4,12,11,9,2,1,0,1,2,5,2,1
Luca Pellegrini,Genoa,21,1999,7.1,15,9,9,3,3,2,12,16.7,10,90,31,34.4,42,27,21,12,1,0,11,5,20,10,0
Marco Parolo,Lazio,35,1985,7.3,20,7,5,11,4,8,25,32.0,17,179,58,32.4,54,86,39,21,5,0,16,12,32,28,0
Gary Medel,Bologna,32,1987,5.7,13,7,10,2,1,4,13,30.8,9,69,20,29.0,34,30,5,12,6,0,6,9,22,12,0
Senad LuliÄ‡,Lazio,34,1986,8.0,19,10,9,6,4,6,12,50.0,6,112,30,26.8,36,48,28,13,3,0,10,8,27,14,0
Mehdi LÃ©ris,Sampdoria,22,1998,4.3,14,9,6,5,3,6,15,40.0,9,130,29,22.3,47,52,31,19,4,0,15,12,26,10,0
Paolo Ghiglione,Genoa,23,1997,15.1,30,15,19,10,1,12,30,40.0,18,190,56,29.5,73,79,38,25,2,0,23,16,46,31,0
Paolo FaragÃ²,Cagliari,27,1993,4.1,11,3,5,6,0,6,18,33.3,12,73,15,20.5,34,25,14,6,2,0,4,9,20,18,0
Simone Edera,Torino,23,1997,0.6,3,0,2,1,0,3,4,75.0,1,10,3,30.0,6,4,0,0,0,0,0,0,3,1,0
Juan Cuadrado,Juventus,32,1988,24.2,42,21,24,13,5,14,40,35.0,26,287,84,29.3,134,93,60,35,2,0,33,31,73,22,1
Giovanni Crociata,Crotone,22,1997,0.3,2,1,1,1,0,1,1,100.0,0,12,1,8.3,3,7,2,1,0,0,1,0,2,0,0
Bryan Cristante,Roma,25,1995,23.9,38,31,17,18,3,8,26,30.8,18,375,108,28.8,133,172,70,29,9,0,20,34,72,76,2
Federico Bernardeschi,Juventus,26,1994,10.8,11,5,6,4,1,4,22,18.2,18,120,31,25.8,34,50,36,12,3,0,9,13,24,13,0
Kwadwo Asamoah,Cagliari,31,1988,2.5,5,4,2,3,0,1,1,100.0,0,17,4,23.5,6,6,5,4,1,0,3,5,10,4,1
Nahitan NÃ¡ndez,Cagliari,24,1995,30.4,59,39,28,21,10,15,59,25.4,44,625,161,25.8,229,278,118,35,4,0,31,29,88,49,0
Salvatore Molina,Crotone,28,1992,25.7,46,27,27,10,9,22,46,47.8,24,358,113,31.6,150,131,77,50,7,0,43,20,66,35,0
Filippo Melegoni,Genoa,21,1999,4.3,7,3,2,5,0,3,5,60.0,2,102,21,20.6,35,48,19,5,0,0,5,9,16,6,0
Riccardo Improta,Benevento,26,1993,25.9,39,23,23,11,5,14,38,36.8,24,377,97,25.7,169,150,58,35,5,0,30,32,71,47,0
Alberto Grassi,Parma,25,1995,13.1,24,13,16,5,3,10,29,34.5,19,223,54,24.2,95,89,39,38,9,0,29,22,46,32,0
Alessandro Di Pardo,Juventus,21,1999,0.2,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,1,1,0,0,0,0,0,0
Andrea Danzi,Hellas Verona,21,1999,1.2,0,0,0,0,0,0,1,0.0,1,5,2,40.0,2,3,0,1,1,0,0,1,1,2,0
Federico Chiesa,Juventus,22,1997,24.6,58,40,24,20,14,22,50,44.0,28,397,131,33.0,137,147,113,27,1,0,26,11,69,21,0
Chaka TraorÃ¨,Parma,15,2004,0.2,0,0,0,0,0,0,0,,0,7,0,0.0,2,4,1,1,0,0,1,0,0,1,0
Ivan PeriÅ¡iÄ‡,Inter,31,1989,19.9,19,11,10,6,3,13,32,40.6,19,222,68,30.6,68,77,77,46,4,0,42,21,40,37,0
CristÃ³bal Montiel RodrÃ­guez,Fiorentina,20,2000,0.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,2,1,2,0,0,0,0,0,0,0,0
Johan Mojica,Atalanta,27,1992,3.3,9,5,7,1,1,3,5,60.0,2,41,19,46.3,19,12,10,6,1,0,5,2,11,3,0
Pol Lirola,Fiorentina,22,1997,5.5,9,5,5,3,1,2,5,40.0,3,44,19,43.2,17,18,9,14,3,0,11,5,14,12,0
Faouzi Ghoulam,Napoli,29,1991,3.2,4,1,3,1,0,0,1,0.0,1,32,7,21.9,9,16,7,5,3,0,2,2,6,3,0
Arturo Calabresi,Bologna,24,1996,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0
Piotr ZieliÅ„ski,Napoli,26,1994,28.0,24,15,10,10,4,5,17,29.4,12,279,83,29.7,54,127,98,22,4,0,18,20,44,11,0
NiccolÃ² Zanellato,Crotone,22,1998,18.2,29,21,17,11,1,9,31,29.0,22,258,77,29.8,87,137,34,20,5,0,15,12,41,17,1
Nicola Zalewski,Roma,18,2002,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,1,2,0,1,0,0,1,0,0,0,0
