Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Jeroen Zoet,GK,Spezia,29,1991,6.7,228,306,74.5,7187,3990,31,31,100.0,90,92,97.8,106,182,58.2,0,0.0,0.0,0,4,0,0,0
Guglielmo Vicario,GK,Cagliari,23,1996,4.0,71,107,66.4,2540,1796,12,12,100.0,22,22,100.0,36,72,50.0,0,0.0,0.0,0,1,0,0,0
Samir Ujkani,GK,Torino,32,1988,1.0,23,28,82.1,627,415,3,3,100.0,12,12,100.0,8,13,61.5,0,0.0,0.0,0,0,0,0,0
Pietro Terracciano,GK,Fiorentina,30,1990,3.0,48,87,55.2,2190,1758,2,2,100.0,12,12,100.0,34,73,46.6,0,0.0,0.0,0,2,0,0,0
Ciprian TÄƒtÄƒruÈ™anu,GK,Milan,34,1986,1.0,24,27,88.9,483,297,9,9,100.0,13,13,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0
Wojciech SzczÄ™sny,GK,Juventus,30,1990,29.7,910,1015,89.7,23295,12081,186,186,100.0,445,450,98.9,278,375,74.1,1,0.1,+0.9,1,4,0,0,1
Thomas Strakosha,GK,Lazio,25,1995,9.0,287,344,83.4,7308,4744,79,79,100.0,104,105,99.0,97,153,63.4,0,0.0,0.0,0,3,0,0,1
Marco Sportiello,GK,Atalanta,28,1992,14.0,314,375,83.7,8559,4632,52,52,100.0,160,161,99.4,99,159,62.3,0,0.0,0.0,0,0,0,0,0
Åukasz Skorupski,GK,Bologna,29,1991,28.0,749,966,77.5,18548,10340,186,187,99.5,295,300,98.3,224,433,51.7,0,0.0,0.0,0,3,0,0,1
Salvatore Sirigu,GK,Torino,33,1987,32.0,708,1012,70.0,20967,13380,167,169,98.8,242,248,97.6,285,579,49.2,0,0.0,0.0,0,14,0,0,0
Marco Silvestri,GK,Hellas Verona,29,1991,34.0,447,1002,44.6,17198,14237,62,63,98.4,143,147,97.3,242,791,30.6,0,0.0,0.0,0,13,1,0,0
Luigi Sepe,GK,Parma,29,1991,36.0,1133,1445,78.4,36744,24416,176,178,98.9,450,458,98.3,501,803,62.4,0,0.0,0.0,0,28,0,0,1
