Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Simone Scuffet,GK,Udinese,24,1996,1.0,20,28,71.4,883,646,1,1,100.0,6,6,100.0,13,21,61.9,0,0.0,0.0,0,0,0,0,0
Pepe Reina,GK,Lazio,37,1982,29.0,914,1120,81.6,26272,17009,159,159,100.0,393,398,98.7,357,558,64.0,0,0.0,0.0,1,12,1,0,1
Federico Ravaglia,GK,Bologna,20,1999,4.0,116,138,84.1,2448,1532,41,42,97.6,52,53,98.1,21,41,51.2,0,0.0,0.0,0,0,0,0,0
Rafael,GK,Spezia,38,1982,2.3,75,106,70.8,2057,1225,18,18,100.0,30,31,96.8,27,57,47.4,1,0.4,+0.6,1,0,0,0,0
IonuÈ› Radu,GK,Inter,23,1997,1.5,53,55,96.4,1201,586,16,16,100.0,28,28,100.0,9,11,81.8,0,0.0,0.0,0,1,0,0,0
Ivan Provedel,GK,Spezia,26,1994,29.0,1045,1411,74.1,33622,17851,111,114,97.4,406,412,98.5,524,881,59.5,0,0.0,0.0,0,17,0,0,0
Carlo Pinsoglio,GK,Juventus,30,1990,0.3,10,11,90.9,178,113,6,6,100.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0
Mattia Perin,GK,Genoa,27,1992,32.0,758,1166,65.0,23705,14461,162,163,99.4,265,271,97.8,321,721,44.5,0,0.0,0.0,1,17,0,0,1
Gianluca Pegolo,GK,Sassuolo,39,1981,1.0,20,21,95.2,301,145,10,10,100.0,7,7,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0
Ivor Pandur,GK,Hellas Verona,20,2000,3.7,51,101,50.5,1547,1071,9,11,81.8,23,23,100.0,17,65,26.2,0,0.0,0.0,0,2,0,0,0
Alberto Paleari,GK,Genoa,27,1992,2.3,50,78,64.1,1141,757,19,19,100.0,18,18,100.0,11,39,28.2,0,0.0,0.0,0,1,0,0,0
Daniele Padelli,GK,Inter,34,1985,0.5,13,13,100.0,306,174,5,5,100.0,5,5,100.0,3,3,100.0,0,0.0,0.0,0,0,0,0,0
David Ospina,GK,Napoli,31,1988,16.0,442,539,82.0,11739,6962,109,109,100.0,179,183,97.8,154,245,62.9,1,0.1,+0.9,2,4,0,0,0
Juan Musso,GK,Udinese,26,1994,35.0,769,1024,75.1,22348,13378,158,159,99.4,322,327,98.5,274,523,52.4,0,0.0,0.0,0,6,0,0,0
Lorenzo MontipÃ²,GK,Benevento,24,1996,37.0,786,1236,63.6,25590,14961,122,122,100.0,290,296,98.0,368,810,45.4,0,0.0,0.0,0,5,0,0,2
Antonio Mirante,GK,Roma,37,1983,12.8,341,436,78.2,9348,5673,66,66,100.0,160,165,97.0,113,202,55.9,0,0.0,0.0,0,2,0,0,1
Vanja MilinkoviÄ‡-SaviÄ‡,GK,Torino,23,1997,5.0,121,179,67.6,3520,2150,21,21,100.0,68,69,98.6,31,88,35.2,0,0.0,0.0,0,6,0,0,0
Alex Meret,GK,Napoli,23,1997,22.0,539,607,88.8,12992,6217,138,138,100.0,255,260,98.1,145,207,70.0,0,0.1,-0.1,2,1,0,0,0
Federico Marchetti,GK,Genoa,37,1983,3.7,112,136,82.4,2689,1437,39,39,100.0,44,46,95.7,29,51,56.9,0,0.0,0.0,0,0,0,0,0
NiccolÃ² Manfredini,GK,Benevento,32,1988,1.0,25,31,80.6,629,296,5,5,100.0,11,12,91.7,9,14,64.3,0,0.0,0.0,0,0,0,0,0
Pau LÃ³pez,GK,Roma,25,1994,20.2,531,663,80.1,14088,8082,103,105,98.1,264,266,99.2,161,289,55.7,0,0.0,0.0,0,0,0,0,1
Karlo Letica,GK,Sampdoria,23,1997,1.0,31,34,91.2,771,337,3,3,100.0,20,20,100.0,8,11,72.7,0,0.0,0.0,0,0,0,0,0
Samir HandanoviÄ‡,GK,Inter,36,1984,36.0,938,1090,86.1,23550,12404,200,201,99.5,494,498,99.2,241,386,62.4,0,0.0,0.0,0,2,0,0,0
Pierluigi Gollini,GK,Atalanta,25,1995,24.0,504,668,75.4,15956,8869,55,56,98.2,222,226,98.2,223,381,58.5,0,0.0,0.0,1,7,1,0,1
Manuel Gasparini,GK,Udinese,18,2002,0.0,2,2,100.0,69,52,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
Daniel Fuzato,GK,Roma,23,1997,5.0,113,153,73.9,3235,1850,18,19,94.7,56,57,98.2,39,77,50.6,0,0.0,0.0,0,0,0,0,0
Marco Festa,GK,Crotone,28,1992,1.0,31,38,81.6,950,600,10,10,100.0,8,8,100.0,13,20,65.0,0,0.0,0.0,0,0,0,0,0
BartÅ‚omiej DrÄ…gowski,GK,Fiorentina,22,1997,35.0,696,1062,65.5,23008,15272,130,130,100.0,248,256,96.9,314,672,46.7,1,0.1,+0.9,1,20,1,0,0
Gianluigi Donnarumma,GK,Milan,21,1999,37.0,977,1245,78.5,26019,15413,220,222,99.1,439,441,99.5,317,580,54.7,0,0.0,0.0,0,7,0,0,1
Gian Crespi,GK,Crotone,19,2001,1.0,36,42,85.7,874,633,14,14,100.0,13,14,92.9,8,13,61.5,0,0.0,0.0,0,0,0,0,0
Alessio Cragno,GK,Cagliari,26,1994,34.0,664,962,69.0,20152,14219,175,175,100.0,205,206,99.5,276,570,48.4,0,0.2,-0.2,1,4,0,0,0
Angelo da Costa JÃºnior,GK,Bologna,36,1983,6.0,249,287,86.8,6303,3350,59,59,100.0,113,114,99.1,71,108,65.7,0,0.0,0.0,0,1,0,0,0
Alex Cordaz,GK,Crotone,37,1983,36.0,1042,1446,72.1,29331,18966,240,241,99.6,415,428,97.0,381,770,49.5,0,0.0,0.0,1,10,0,0,1
Andrea Consigli,GK,Sassuolo,33,1987,37.0,1104,1358,81.3,26799,14945,321,323,99.4,432,438,98.6,324,569,56.9,0,0.0,0.0,0,11,0,0,2
Simone Colombi,GK,Parma,29,1991,2.0,35,50,70.0,1223,1027,7,7,100.0,8,9,88.9,18,32,56.3,0,0.0,0.0,0,0,0,0,0
Gianluigi Buffon,GK,Juventus,42,1978,8.0,258,304,84.9,6266,3393,65,65,100.0,122,122,100.0,67,113,59.3,0,0.0,0.0,0,1,0,0,0
Alessandro Berardi,GK,Hellas Verona,29,1991,0.3,4,11,36.4,184,149,0,0,,1,1,100.0,3,10,30.0,0,0.0,0.0,0,0,0,0,0
Emil Audero,GK,Sampdoria,23,1997,37.0,874,1256,69.6,28376,16755,98,100,98.0,369,372,99.2,403,780,51.7,1,0.4,+0.6,1,10,0,0,0
NÃ­colas Andrade,GK,Udinese,32,1988,2.0,33,40,82.5,990,578,6,6,100.0,17,17,100.0,10,17,58.8,0,0.0,0.0,0,0,0,0,0
Marvin Zeegelaar,DF,Udinese,29,1990,19.3,604,777,77.7,10454,3676,272,325,83.7,269,324,83.0,54,101,53.5,0,1.1,-1.1,10,37,12,9,65
Davide Zappacosta,DF,Genoa,28,1992,22.7,876,1093,80.1,14391,4499,459,507,90.5,341,415,82.2,63,119,52.9,2,1.3,+0.7,12,23,20,10,52
Gabriele Zappa,DF,Cagliari,20,1999,26.6,1029,1313,78.4,16978,7245,520,584,89.0,412,516,79.8,82,165,49.7,4,2.6,+1.4,31,56,43,19,121
CristiÃ¡n Zapata,DF,Genoa,33,1986,10.8,440,493,89.2,9739,2445,111,122,91.0,233,248,94.0,93,117,79.5,0,0.0,0.0,0,9,1,0,12
Vasilios Zagaritis,DF,Parma,19,2001,0.7,42,52,80.8,633,249,20,21,95.2,20,21,95.2,1,5,20.0,0,0.0,0.0,1,4,1,0,7
Ashley Young,DF,Inter,35,1985,15.8,551,676,81.5,9420,3131,265,279,95.0,234,289,81.0,47,78,60.3,4,2.7,+1.3,29,25,27,10,49
Maya Yoshida,DF,Sampdoria,31,1988,25.3,1012,1187,85.3,23530,6386,226,255,88.6,560,593,94.4,216,318,67.9,2,0.7,+1.3,5,52,1,0,52
Sebastian Walukiewicz,DF,Cagliari,20,2000,18.0,715,835,85.6,14724,5405,231,257,89.9,369,410,90.0,111,159,69.8,1,0.0,+1.0,1,27,2,0,37
Stefan de Vrij,DF,Inter,28,1992,30.4,1823,1928,94.6,40935,9042,377,400,94.3,1118,1151,97.1,322,364,88.5,0,0.4,-0.4,7,82,4,1,71
MÃ«rgim Vojvoda,DF,Torino,25,1995,15.1,598,772,77.5,10051,4217,310,359,86.4,229,290,79.0,51,100,51.0,2,0.9,+1.1,8,35,14,10,52
Luca Vignali,DF,Spezia,24,1996,17.7,936,1161,80.6,18841,5443,350,396,88.4,423,489,86.5,153,239,64.0,0,1.0,-1.0,11,51,13,3,73
Lorenzo Venuti,DF,Fiorentina,25,1995,19.5,578,790,73.2,9949,4464,294,340,86.5,225,303,74.3,53,116,45.7,1,1.5,-0.5,16,45,19,11,68
Denis Vavro,DF,Lazio,24,1996,0.4,17,17,100.0,320,84,5,5,100.0,12,12,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
Lautaro Valenti,DF,Parma,21,1999,5.5,273,334,81.7,6382,2077,81,88,92.0,119,135,88.1,70,102,68.6,0,0.0,0.0,1,16,1,0,12
Alessandro Tuia,DF,Benevento,30,1990,19.6,621,786,79.0,14181,4873,153,168,91.1,325,380,85.5,130,214,60.7,0,0.2,-0.2,3,37,5,1,34
Alessandro Tripaldelli,DF,Cagliari,21,1999,3.3,80,124,64.5,1489,796,26,41,63.4,45,64,70.3,6,11,54.5,0,0.2,-0.2,1,7,1,1,14
Lorenzo Tonelli,DF,Sampdoria,30,1990,19.8,756,917,82.4,17235,4510,191,219,87.2,387,430,90.0,163,245,66.5,0,0.0,0.0,0,26,0,0,34
Fikayo Tomori,DF,Milan,22,1997,16.3,801,884,90.6,16890,5467,208,221,94.1,461,485,95.1,123,165,74.5,0,0.0,0.0,0,33,0,0,37
Takehiro Tomiyasu,DF,Bologna,21,1998,30.2,1380,1646,83.8,27177,9938,508,559,90.9,655,753,87.0,202,296,68.2,0,0.5,-0.5,8,128,10,3,127
Rafael TolÃ³i,DF,Atalanta,29,1990,28.2,1378,1647,83.7,26244,9111,576,615,93.7,611,702,87.0,176,286,61.5,0,0.9,-0.9,14,139,19,3,142
Jeremy Toljan,DF,Sassuolo,25,1994,16.6,788,888,88.7,12796,3343,403,432,93.3,317,352,90.1,56,79,70.9,2,1.0,+1.0,13,48,14,4,43
Claudio Terzi,DF,Spezia,36,1984,20.8,1107,1323,83.7,27578,9207,265,292,90.8,498,545,91.4,340,469,72.5,1,0.1,+0.9,3,103,8,0,73
Hidde ter Avest,DF,Udinese,23,1997,3.9,155,210,73.8,2792,1344,75,93,80.6,63,80,78.8,15,30,50.0,0,0.0,0.0,0,13,1,0,14
Bosko Sutalo,DF,Atalanta,20,2000,2.6,130,155,83.9,2079,787,69,80,86.3,53,61,86.9,8,9,88.9,0,0.2,-0.2,2,7,0,0,8
Jens Stryger Larsen,DF,Udinese,29,1991,29.3,1056,1343,78.6,17714,7712,538,596,90.3,401,498,80.5,91,192,47.4,0,1.0,-1.0,11,69,24,8,110
Leonardo Spinazzola,DF,Roma,27,1993,23.6,1014,1284,79.0,18574,5769,440,507,86.8,455,539,84.4,108,181,59.7,4,5.0,-1.0,36,68,42,21,114
Adama Soumaoro,DF,Bologna,28,1992,19.5,821,897,91.5,16065,4656,278,301,92.4,425,443,95.9,109,136,80.1,0,0.1,-0.1,2,23,0,0,36
Chris Smalling,DF,Roma,30,1989,12.3,613,664,92.3,13148,3270,148,157,94.3,364,376,96.8,95,122,77.9,1,0.5,+0.5,2,19,0,0,12
Milan Å kriniar,DF,Inter,25,1995,30.9,2027,2193,92.4,39131,11303,742,777,95.5,1062,1118,95.0,211,270,78.1,0,0.4,-0.4,4,131,12,2,122
Wilfried Singo,DF,Torino,19,2000,20.6,736,959,76.7,12478,4526,358,398,89.9,308,398,77.4,60,122,49.2,2,2.9,-0.9,23,34,21,9,66
Samir Santos,DF,Udinese,25,1994,24.6,1136,1307,86.9,21019,7426,426,454,93.8,597,649,92.0,102,178,57.3,0,0.4,-0.4,7,62,5,2,77
Davide Santon,DF,Roma,29,1991,6.5,256,295,86.8,4739,1231,89,94,94.7,144,156,92.3,19,37,51.4,1,0.8,+0.2,5,7,7,3,15
Alex Sandro,DF,Juventus,29,1991,20.6,1223,1426,85.8,23554,7611,479,529,90.5,563,608,92.6,165,245,67.3,1,1.7,-0.7,17,100,25,8,130
Jacopo Sala,DF,Spezia,28,1991,4.2,235,275,85.5,4130,1576,115,124,92.7,96,114,84.2,22,34,64.7,0,0.5,-0.5,4,12,5,2,22
MÃ¡rio Rui,DF,Napoli,29,1991,18.5,1126,1381,81.5,19700,6988,560,608,92.1,433,501,86.4,118,225,52.4,2,2.0,0.0,30,64,25,12,86
Matteo Ruggeri,DF,Atalanta,18,2002,2.3,96,118,81.4,1536,550,49,51,96.1,40,55,72.7,5,9,55.6,0,0.0,0.0,1,4,0,0,9
Daniele Rugani,DF,Cagliari,26,1994,11.1,395,495,79.8,7364,2442,142,167,85.0,211,237,89.0,39,80,48.8,1,0.4,+0.6,1,20,2,0,26
Amir Rrahmani,DF,Napoli,26,1994,12.2,532,578,92.0,11326,3160,156,165,94.5,265,279,95.0,99,119,83.2,0,0.0,0.0,0,16,0,0,17
Cristian Romero,DF,Atalanta,22,1998,28.3,1128,1247,90.5,24001,6356,305,339,90.0,610,641,95.2,197,232,84.9,2,1.0,+1.0,8,50,7,0,68
Alessio Romagnoli,DF,Milan,25,1995,21.2,914,1010,90.5,18659,5267,267,282,94.7,517,548,94.3,124,167,74.3,1,0.5,+0.5,3,41,3,1,49
RogÃ©rio,DF,Sassuolo,22,1998,20.9,1097,1294,84.8,18439,5300,539,578,93.3,463,532,87.0,80,147,54.4,1,1.5,-0.5,12,60,18,7,61
Ricardo RodrÃ­guez,DF,Torino,27,1992,13.8,612,726,84.3,11271,3643,285,302,94.4,252,287,87.8,68,117,58.1,0,0.3,-0.3,6,43,7,1,43
Andrea Rispoli,DF,Crotone,31,1988,7.2,224,318,70.4,4155,1703,90,109,82.6,101,126,80.2,27,58,46.6,0,0.6,-0.6,10,9,7,6,27
Giacomo Ricci,DF,Parma,23,1996,0.7,19,26,73.1,389,163,5,6,83.3,12,15,80.0,2,4,50.0,0,0.0,0.0,0,3,1,1,4
Bryan Reynolds,DF,Roma,19,2001,3.1,124,147,84.4,2171,641,65,71,91.5,47,55,85.5,11,18,61.1,0,0.0,0.0,1,8,2,0,5
Vasco Regini,DF,Sampdoria,29,1990,1.0,33,37,89.2,603,284,13,14,92.9,15,17,88.2,3,4,75.0,0,0.0,0.0,1,2,1,1,2
Arkadiusz Reca,DF,Crotone,25,1995,25.7,735,1047,70.2,13426,4548,311,390,79.7,331,447,74.0,83,152,54.6,3,3.0,0.0,25,27,28,13,82
Andrea Ranocchia,DF,Inter,32,1988,7.8,462,483,95.7,10246,2698,104,109,95.4,272,279,97.5,80,89,89.9,1,0.1,+0.9,2,18,0,0,18
È˜tefan Radu,DF,Lazio,33,1986,27.3,1361,1623,83.9,26824,10436,490,550,89.1,666,746,89.3,189,294,64.3,3,1.4,+1.6,18,147,28,11,148
Fabio Pisacane,DF,Cagliari,34,1986,2.5,76,92,82.6,1376,520,26,31,83.9,45,52,86.5,5,8,62.5,0,0.0,0.0,0,3,0,0,4
Cristiano Piccini,DF,Atalanta,27,1992,0.7,14,18,77.8,221,102,6,7,85.7,6,7,85.7,1,3,33.3,0,0.0,0.0,0,1,0,0,1
Giuseppe Pezzella,DF,Parma,22,1997,20.3,768,980,78.4,15016,4602,306,343,89.2,344,408,84.3,109,185,58.9,4,2.8,+1.2,19,56,26,12,74
GermÃ¡n Pezzella,DF,Fiorentina,29,1991,30.5,993,1135,87.5,22185,5726,199,222,89.6,619,667,92.8,172,236,72.9,0,0.2,-0.2,2,49,2,0,32
Bruno Peres,DF,Roma,30,1990,15.9,633,763,83.0,11604,2965,279,305,91.5,273,319,85.6,77,113,68.1,2,4.1,-2.1,28,27,18,7,41
Pedro Pereira,DF,Crotone,22,1998,28.3,700,921,76.0,12072,4115,329,383,85.9,279,359,77.7,72,125,57.6,4,2.4,+1.6,18,32,26,11,66
Federico Peluso,DF,Sassuolo,36,1984,2.3,154,166,92.8,3002,1041,41,42,97.6,93,98,94.9,14,20,70.0,0,0.0,0.0,0,10,1,0,9
NehuÃ©n Paz,DF,Bologna,27,1993,4.0,204,238,85.7,4412,1464,52,62,83.9,116,129,89.9,33,41,80.5,0,0.0,0.0,1,15,0,0,15
Patric,DF,Lazio,27,1993,17.7,1044,1201,86.9,23756,6278,254,281,90.4,550,591,93.1,234,314,74.5,1,1.1,-0.1,11,92,20,5,62
Christian Pastina,DF,Benevento,19,2001,1.3,53,66,80.3,1066,253,26,29,89.7,17,21,81.0,9,14,64.3,1,0.4,+0.6,1,2,1,1,2
Thomas Ouwejan,DF,Udinese,23,1996,4.6,161,256,62.9,3047,1125,67,90,74.4,64,88,72.7,26,59,44.1,2,0.9,+1.1,9,12,5,2,15
Yordan Osorio,DF,Parma,26,1994,20.1,1028,1144,89.9,23763,6263,231,248,93.1,558,582,95.9,228,297,76.8,0,0.1,-0.1,3,46,2,1,38
Jerome Onguene,DF,Genoa,22,1997,2.0,84,100,84.0,1562,563,31,34,91.2,43,50,86.0,9,13,69.2,0,0.0,0.0,0,2,0,0,3
Maximiliano Olivera,DF,Fiorentina,28,1992,1.0,27,29,93.1,695,215,6,7,85.7,10,11,90.9,11,11,100.0,0,0.0,0.0,0,5,0,0,0
Bram Nuytinck,DF,Udinese,30,1990,18.2,699,815,85.8,15180,4388,188,205,91.7,370,392,94.4,130,199,65.3,0,0.1,-0.1,2,38,1,1,35
Nicolas Nkoulou,DF,Torino,30,1990,15.1,610,701,87.0,13250,3584,173,186,93.0,327,348,94.0,106,159,66.7,0,0.1,-0.1,2,23,1,0,20
Joakim MÃ¦hle,DF,Atalanta,23,1997,13.5,592,730,81.1,9199,4101,327,369,88.6,233,288,80.9,24,50,48.0,2,1.5,+0.5,15,31,20,10,78
Mateo Musacchio,DF,Milan,29,1990,0.4,21,22,95.5,420,203,10,10,100.0,7,7,100.0,4,5,80.0,0,0.0,0.0,0,3,0,0,3
Mateo Musacchio,DF,Lazio,29,1990,2.5,103,116,88.8,2082,448,35,36,97.2,46,50,92.0,20,26,76.9,0,0.0,0.0,0,9,0,0,4
Nicola Murru,DF,Torino,25,1994,6.3,237,351,67.5,4268,1700,107,122,87.7,102,136,75.0,25,77,32.5,0,0.1,-0.1,2,18,7,4,21
Mert MÃ¼ldÃ¼r,DF,Sassuolo,21,1999,18.6,817,1024,79.8,13896,4404,397,459,86.5,347,421,82.4,62,105,59.0,0,0.5,-0.5,7,47,17,6,69
Nahuel Molina,DF,Udinese,22,1997,20.3,782,1009,77.5,12500,4811,437,488,89.5,259,335,77.3,69,142,48.6,5,2.5,+2.5,22,35,21,14,81
Nikola MilenkoviÄ‡,DF,Fiorentina,22,1997,33.7,1443,1657,87.1,29961,9601,440,495,88.9,760,833,91.2,232,297,78.1,1,0.3,+0.7,6,112,3,0,97
YÄ±ldÄ±rÄ±m Mert Ã‡etin,DF,Hellas Verona,23,1997,4.6,149,187,79.7,3391,846,39,55,70.9,72,82,87.8,35,46,76.1,0,0.0,0.0,0,10,0,0,17
Ibrahima Mbaye,DF,Bologna,25,1994,4.8,168,208,80.8,2716,1119,88,102,86.3,64,78,82.1,12,17,70.6,0,0.0,0.0,1,9,0,0,8
Antonio Mazzotta,DF,Crotone,30,1989,0.6,7,11,63.6,90,5,3,3,100.0,4,6,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,0
Federico Mattiello,DF,Spezia,25,1995,0.4,29,42,69.0,617,345,12,13,92.3,10,15,66.7,7,12,58.3,0,0.0,0.0,0,5,0,0,6
Andrea Masiello,DF,Genoa,34,1986,28.5,1175,1377,85.3,24453,9648,421,448,94.0,539,591,91.2,204,316,64.6,0,0.3,-0.3,7,73,11,2,79
Adam MaruÅ¡iÄ‡,DF,Lazio,27,1992,33.0,1352,1619,83.5,24779,7562,593,667,88.9,560,634,88.3,172,256,67.2,3,2.2,+0.8,32,68,28,17,90
Lucas MartÃ­nez Quarta,DF,Fiorentina,24,1996,16.5,671,814,82.4,14528,5745,204,229,89.1,333,371,89.8,128,198,64.6,0,0.4,-0.4,6,66,5,1,63
Luca Marrone,DF,Crotone,30,1990,17.6,895,1019,87.8,19591,5769,230,246,93.5,511,550,92.9,151,213,70.9,0,0.0,0.0,0,20,1,0,24
Marlon,DF,Sassuolo,24,1995,19.4,1537,1598,96.2,28940,8124,559,580,96.4,781,800,97.6,180,196,91.8,0,0.1,-0.1,1,109,1,0,74
Gian Marco Ferrari,DF,Sassuolo,28,1992,33.5,2514,2713,92.7,48024,16336,865,911,95.0,1338,1391,96.2,269,351,76.6,4,1.0,+3.0,13,221,14,1,134
Riccardo Marchizza,DF,Spezia,22,1998,17.3,769,966,79.6,15973,4040,257,287,89.5,371,421,88.1,136,221,61.5,2,1.1,+0.9,14,35,12,9,36
Juan Manuel Ramos,DF,Spezia,23,1996,3.3,126,161,78.3,2302,855,57,65,87.7,50,57,87.7,17,28,60.7,0,0.2,-0.2,4,3,3,1,5
Kostas Manolas,DF,Napoli,29,1991,25.5,1424,1523,93.5,31255,7747,378,400,94.5,744,765,97.3,284,335,84.8,0,0.4,-0.4,5,42,4,1,52
Gianluca Mancini,DF,Roma,24,1996,31.7,1752,1989,88.1,36546,10980,529,572,92.5,924,992,93.1,284,391,72.6,2,0.9,+1.1,7,146,13,4,129
KÃ©vin Malcuit,DF,Fiorentina,29,1991,2.3,64,91,70.3,972,263,38,40,95.0,23,34,67.6,3,10,30.0,0,0.1,-0.1,1,5,1,0,6
Nikola MaksimoviÄ‡,DF,Napoli,28,1991,13.4,888,947,93.8,20265,5784,195,208,93.8,513,529,97.0,177,200,88.5,0,0.1,-0.1,3,37,0,0,42
Giangiacomo Magnani,DF,Hellas Verona,24,1995,16.8,471,590,79.8,10163,2538,140,164,85.4,231,271,85.2,94,139,67.6,0,0.0,0.0,1,25,3,1,30
Christian Maggio,DF,Benevento,38,1982,3.3,110,144,76.4,1808,907,56,66,84.8,46,56,82.1,7,16,43.8,0,0.0,0.0,0,4,0,0,8
Lisandro MagallÃ¡n,DF,Crotone,26,1993,24.2,916,1098,83.4,18141,7715,301,335,89.9,484,556,87.1,116,174,66.7,2,0.5,+1.5,10,67,4,0,69
Charalambos Lykogiannis,DF,Cagliari,26,1993,26.9,822,1194,68.8,15474,7258,312,363,86.0,414,549,75.4,84,217,38.7,2,1.6,+0.4,13,65,16,8,81
Lyanco,DF,Torino,23,1997,21.8,1078,1247,86.4,24749,7448,264,282,93.6,571,609,93.8,231,336,68.8,0,0.3,-0.3,4,64,5,1,64
Sebastiano Luperto,DF,Crotone,23,1996,20.9,809,979,82.6,16249,6162,252,276,91.3,462,502,92.0,92,184,50.0,0,0.4,-0.4,7,55,1,0,65
JosÃ© Luis Palomino,DF,Atalanta,30,1990,27.0,1251,1489,84.0,25302,8055,391,425,92.0,663,731,90.7,180,297,60.6,2,0.9,+1.1,9,88,3,0,87
Matteo Lovato,DF,Hellas Verona,20,2000,15.4,513,632,81.2,10584,3002,160,190,84.2,256,294,87.1,87,129,67.4,0,0.1,-0.1,5,34,2,0,28
Matthijs de Ligt,DF,Juventus,20,1999,24.7,1587,1702,93.2,33977,9336,419,446,93.9,887,919,96.5,268,319,84.0,1,0.6,+0.4,9,98,7,2,69
Gaetano Letizia,DF,Benevento,30,1990,17.4,670,887,75.5,13135,4942,264,299,88.3,282,351,80.3,107,198,54.0,1,1.4,-0.4,14,40,32,17,53
Manuel Lazzari,DF,Lazio,26,1993,29.0,950,1180,80.5,15952,3731,451,515,87.6,393,476,82.6,74,131,56.5,5,3.9,+1.1,31,28,33,20,38
Darko LazoviÄ‡,DF,Hellas Verona,29,1990,27.8,1015,1393,72.9,17275,7042,502,579,86.7,400,562,71.2,93,188,49.5,6,4.1,+1.9,36,66,57,16,152
Vincent Laurini,DF,Parma,31,1989,9.7,400,507,78.9,7495,3135,178,196,90.8,168,210,80.0,51,90,56.7,0,0.1,-0.1,2,38,11,5,44
Danilo Larangeira,DF,Bologna,36,1984,34.8,1404,1730,81.2,34375,12380,287,320,89.7,754,836,90.2,354,552,64.1,1,1.1,-0.1,6,92,5,0,106
Marash Kumbulla,DF,Roma,20,2000,15.1,720,801,89.9,14131,3948,253,268,94.4,368,389,94.6,89,121,73.6,0,0.4,-0.4,3,39,0,0,38
Kalidou Koulibaly,DF,Napoli,29,1991,24.5,1555,1736,89.6,31838,11795,539,570,94.6,722,766,94.3,258,351,73.5,0,0.2,-0.2,5,110,7,2,85
Aleksandar Kolarov,DF,Inter,34,1985,4.3,318,371,85.7,6518,2162,117,127,92.1,147,162,90.7,49,72,68.1,1,0.9,+0.1,6,37,7,1,36
Ragnar Klavan,DF,Cagliari,34,1985,8.6,338,395,85.6,7234,2213,99,116,85.3,176,189,93.1,59,82,72.0,0,0.0,0.0,0,21,1,0,17
Simon KjÃ¦r,DF,Milan,31,1989,26.6,1289,1459,88.3,29456,8779,316,342,92.4,683,716,95.4,276,374,73.8,2,1.0,+1.0,4,69,1,0,72
