Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Vanja MilinkoviÄ‡-SaviÄ‡,rs SRB,GK,Torino,23,1997,5.0,0,1,0,0,2,0,0,0,1,0,0,0,28,0,0,,Matches
Alex Meret,it ITA,GK,Napoli,23,1997,22.0,0,0,0,0,1,0,0,0,0,0,0,0,85,0,0,,Matches
Federico Marchetti,it ITA,GK,Genoa,37,1983,3.7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,Matches
NiccolÃ² Manfredini,it ITA,GK,Benevento,32,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
Pau LÃ³pez,es ESP,GK,Roma,25,1994,20.2,0,0,0,0,1,0,0,0,0,0,0,0,97,0,0,,Matches
Karlo Letica,hr CRO,GK,Sampdoria,23,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
Samir HandanoviÄ‡,si SVN,GK,Inter,36,1984,36.0,1,0,0,0,4,0,0,0,0,0,0,1,106,0,0,,Matches
Pierluigi Gollini,it ITA,GK,Atalanta,25,1995,24.0,0,1,0,1,4,0,0,1,0,0,0,0,105,0,0,,Matches
Manuel Gasparini,it ITA,GK,Udinese,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Daniel Fuzato,br BRA,GK,Roma,23,1997,5.0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,,Matches
Marco Festa,it ITA,GK,Crotone,28,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches
BartÅ‚omiej DrÄ…gowski,pl POL,GK,Fiorentina,22,1997,35.0,0,1,0,1,5,0,0,0,0,0,1,0,172,0,0,,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,21,1999,37.0,1,0,0,1,4,0,0,0,0,0,0,0,147,0,0,,Matches
Gian Crespi,it ITA,GK,Crotone,19,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
Alessio Cragno,it ITA,GK,Cagliari,26,1994,34.0,1,0,0,3,6,0,0,0,0,0,2,0,128,0,0,,Matches
Angelo da Costa JÃºnior,br BRA,GK,Bologna,36,1983,6.0,2,0,0,0,0,1,0,0,0,0,0,0,24,0,0,,Matches
Alex Cordaz,it ITA,GK,Crotone,37,1983,36.0,1,0,0,0,7,0,0,0,0,0,0,0,181,1,0,100.0,Matches
Andrea Consigli,it ITA,GK,Sassuolo,33,1987,37.0,1,0,0,2,5,0,0,0,0,0,0,0,152,0,0,,Matches
Simone Colombi,it ITA,GK,Parma,29,1991,2.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
Gianluigi Buffon,it ITA,GK,Juventus,42,1978,8.0,0,0,0,0,1,0,0,0,0,0,0,0,34,0,0,,Matches
Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Emil Audero,it ITA,GK,Sampdoria,23,1997,37.0,0,0,0,0,6,0,0,0,0,0,0,0,182,0,0,,Matches
NÃ­colas Andrade,br BRA,GK,Udinese,32,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
Marvin Zeegelaar,nl NED,DF,Udinese,29,1990,19.3,6,0,0,39,7,4,34,14,26,0,1,0,134,32,26,55.2,Matches
Davide Zappacosta,it ITA,DF,Genoa,28,1992,22.7,3,0,0,23,19,8,67,16,19,0,0,0,153,12,17,41.4,Matches
Gabriele Zappa,it ITA,DF,Cagliari,20,1999,26.6,3,0,0,25,11,1,69,26,23,0,0,0,199,12,35,25.5,Matches
CristiÃ¡n Zapata,co COL,DF,Genoa,33,1986,10.8,2,0,0,6,6,0,0,16,16,0,1,0,67,30,10,75.0,Matches
Vasilios Zagaritis,gr GRE,DF,Parma,19,2001,0.7,0,0,0,0,1,1,5,1,1,0,0,0,7,0,0,,Matches
Ashley Young,eng ENG,DF,Inter,35,1985,15.8,4,0,0,13,15,3,36,9,9,0,1,0,83,5,8,38.5,Matches
Maya Yoshida,jp JPN,DF,Sampdoria,31,1988,25.3,5,0,0,16,21,0,0,42,15,0,0,0,259,60,27,69.0,Matches
Sebastian Walukiewicz,pl POL,DF,Cagliari,20,2000,18.0,1,0,0,16,5,0,1,22,14,0,0,0,144,23,21,52.3,Matches
Stefan de Vrij,nl NED,DF,Inter,28,1992,30.4,2,0,0,20,10,0,2,40,16,0,0,0,252,89,39,69.5,Matches
MÃ«rgim Vojvoda,xk KVX,DF,Torino,25,1995,15.1,4,0,0,11,6,0,56,18,13,0,1,0,101,10,9,52.6,Matches
Luca Vignali,it ITA,DF,Spezia,24,1996,17.7,4,1,0,17,20,1,23,44,10,0,0,0,164,33,16,67.3,Matches
Lorenzo Venuti,it ITA,DF,Fiorentina,25,1995,19.5,3,0,0,10,26,1,48,16,18,0,0,1,116,9,13,40.9,Matches
Denis Vavro,sk SVK,DF,Lazio,24,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches
Lautaro Valenti,ar ARG,DF,Parma,21,1999,5.5,0,0,0,5,8,0,2,15,5,0,0,0,35,6,0,100.0,Matches
Alessandro Tuia,it ITA,DF,Benevento,30,1990,19.6,6,0,0,27,12,0,7,30,30,0,2,0,120,28,15,65.1,Matches
Alessandro Tripaldelli,it ITA,DF,Cagliari,21,1999,3.3,1,0,0,9,4,0,8,4,4,0,0,0,22,7,8,46.7,Matches
Lorenzo Tonelli,it ITA,DF,Sampdoria,30,1990,19.8,11,0,0,30,26,1,0,18,22,0,1,0,202,50,34,59.5,Matches
Fikayo Tomori,eng ENG,DF,Milan,22,1997,16.3,0,0,0,14,1,0,0,21,15,0,0,0,132,30,24,55.6,Matches
Takehiro Tomiyasu,jp JPN,DF,Bologna,21,1998,30.2,4,0,0,31,16,3,23,51,29,0,0,1,278,106,58,64.6,Matches
Rafael TolÃ³i,it ITA,DF,Atalanta,29,1990,28.2,9,0,0,38,14,1,20,38,33,0,2,0,296,57,21,73.1,Matches
Jeremy Toljan,de GER,DF,Sassuolo,25,1994,16.6,2,0,0,23,14,4,36,17,16,0,0,0,111,4,15,21.1,Matches
Claudio Terzi,it ITA,DF,Spezia,36,1984,20.8,9,1,1,24,18,2,5,35,14,0,2,0,193,45,28,61.6,Matches
Hidde ter Avest,nl NED,DF,Udinese,23,1997,3.9,0,0,0,3,2,1,13,0,3,0,0,0,33,1,4,20.0,Matches
Bosko Sutalo,hr CRO,DF,Atalanta,20,2000,2.6,0,0,0,2,4,0,2,2,5,0,0,0,29,14,8,63.6,Matches
Jens Stryger Larsen,dk DEN,DF,Udinese,29,1991,29.3,0,0,0,12,13,4,53,29,15,0,1,0,186,22,38,36.7,Matches
Leonardo Spinazzola,it ITA,DF,Roma,27,1993,23.6,0,0,0,9,11,2,92,31,5,0,0,1,197,10,5,66.7,Matches
Adama Soumaoro,fr FRA,DF,Bologna,28,1992,19.5,4,0,0,33,19,0,0,32,16,0,3,0,184,70,18,79.5,Matches
Chris Smalling,eng ENG,DF,Roma,30,1989,12.3,3,0,0,14,8,1,0,22,7,0,0,0,113,32,14,69.6,Matches
Milan Å kriniar,sk SVK,DF,Inter,25,1995,30.9,1,0,0,34,28,0,3,27,28,0,0,0,260,38,35,52.1,Matches
Wilfried Singo,ci CIV,DF,Torino,19,2000,20.6,4,1,1,27,50,2,60,34,17,1,0,0,178,43,31,58.1,Matches
Samir Santos,br BRA,DF,Udinese,25,1994,24.6,6,0,0,40,36,3,17,40,34,0,0,0,175,54,33,62.1,Matches
Davide Santon,it ITA,DF,Roma,29,1991,6.5,3,0,0,11,3,1,16,6,4,0,0,0,36,4,3,57.1,Matches
Alex Sandro,br BRA,DF,Juventus,29,1991,20.6,2,0,0,26,28,0,45,23,28,0,0,1,172,38,27,58.5,Matches
Jacopo Sala,it ITA,DF,Spezia,28,1991,4.2,1,0,0,7,4,0,9,3,5,0,0,0,31,3,5,37.5,Matches
MÃ¡rio Rui,pt POR,DF,Napoli,29,1991,18.5,4,0,0,17,41,3,56,29,19,0,0,0,165,11,13,45.8,Matches
Matteo Ruggeri,it ITA,DF,Atalanta,18,2002,2.3,0,0,0,3,0,0,8,4,2,0,0,0,8,4,2,66.7,Matches
Daniele Rugani,it ITA,DF,Cagliari,26,1994,11.1,2,0,0,15,4,0,4,15,13,0,0,0,116,42,19,68.9,Matches
Amir Rrahmani,xk KVX,DF,Napoli,26,1994,12.2,2,0,0,10,8,0,2,8,10,2,0,0,92,28,16,63.6,Matches
Cristian Romero,ar ARG,DF,Atalanta,22,1998,28.3,10,0,0,71,33,0,0,81,46,1,0,0,358,112,54,67.5,Matches
Alessio Romagnoli,it ITA,DF,Milan,25,1995,21.2,7,0,0,21,11,0,1,14,9,0,1,0,162,58,25,69.9,Matches
RogÃ©rio,br BRA,DF,Sassuolo,22,1998,20.9,4,0,0,28,25,1,55,25,16,0,0,0,159,19,14,57.6,Matches
Ricardo RodrÃ­guez,ch SUI,DF,Torino,27,1992,13.8,1,0,0,13,6,0,10,24,15,0,0,0,87,18,13,58.1,Matches
Andrea Rispoli,it ITA,DF,Crotone,31,1988,7.2,4,0,0,8,4,1,21,4,5,0,0,0,53,6,6,50.0,Matches
Giacomo Ricci,it ITA,DF,Parma,23,1996,0.7,0,0,0,0,0,0,1,1,1,0,0,0,4,1,2,33.3,Matches
Bryan Reynolds,us USA,DF,Roma,19,2001,3.1,0,0,0,5,3,0,5,5,3,0,0,0,13,3,4,42.9,Matches
Vasco Regini,it ITA,DF,Sampdoria,29,1990,1.0,0,0,0,1,1,0,1,0,0,0,0,1,3,1,0,100.0,Matches
Arkadiusz Reca,pl POL,DF,Crotone,25,1995,25.7,7,0,0,33,25,5,84,51,21,4,0,0,202,33,36,47.8,Matches
Andrea Ranocchia,it ITA,DF,Inter,32,1988,7.8,2,0,0,13,7,1,0,12,7,0,0,0,63,31,10,75.6,Matches
È˜tefan Radu,ro ROU,DF,Lazio,33,1986,27.3,2,0,0,20,21,1,43,45,23,0,0,0,255,47,28,62.7,Matches
Fabio Pisacane,it ITA,DF,Cagliari,34,1986,2.5,1,0,0,2,0,0,1,3,2,0,0,0,12,3,1,75.0,Matches
Cristiano Piccini,it ITA,DF,Atalanta,27,1992,0.7,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,,Matches
Giuseppe Pezzella,it ITA,DF,Parma,22,1997,20.3,7,0,0,24,25,0,61,24,25,0,0,0,149,20,14,58.8,Matches
GermÃ¡n Pezzella,ar ARG,DF,Fiorentina,29,1991,30.5,5,0,0,34,17,4,4,34,26,0,2,0,231,73,45,61.9,Matches
Bruno Peres,br BRA,DF,Roma,30,1990,15.9,6,0,0,23,16,1,47,27,14,0,0,0,112,5,15,25.0,Matches
Pedro Pereira,pt POR,DF,Crotone,22,1998,28.3,6,0,0,33,18,5,49,21,37,0,1,0,179,24,36,40.0,Matches
Federico Peluso,it ITA,DF,Sassuolo,36,1984,2.3,1,0,0,3,1,0,0,2,1,0,0,0,17,2,2,50.0,Matches
NehuÃ©n Paz,ar ARG,DF,Bologna,27,1993,4.0,0,0,0,3,2,0,0,11,6,0,0,0,60,25,2,92.6,Matches
Patric,es ESP,DF,Lazio,27,1993,17.7,8,0,0,22,6,2,20,13,13,0,1,0,179,16,17,48.5,Matches
Christian Pastina,it ITA,DF,Benevento,19,2001,1.3,1,0,0,2,0,0,1,1,2,0,0,0,6,0,1,0.0,Matches
Thomas Ouwejan,nl NED,DF,Udinese,23,1996,4.6,0,0,0,7,2,0,32,2,3,0,0,0,35,2,9,18.2,Matches
Yordan Osorio,ve VEN,DF,Parma,26,1994,20.1,2,0,0,16,17,1,2,50,16,0,1,0,182,44,22,66.7,Matches
Jerome Onguene,cm CMR,DF,Genoa,22,1997,2.0,0,0,0,3,1,0,0,5,1,0,0,0,19,4,5,44.4,Matches
Maximiliano Olivera,uy URU,DF,Fiorentina,28,1992,1.0,0,0,0,1,1,0,0,1,1,0,0,0,5,1,2,33.3,Matches
Bram Nuytinck,nl NED,DF,Udinese,30,1990,18.2,1,0,0,8,5,0,3,22,14,0,0,0,110,47,18,72.3,Matches
Nicolas Nkoulou,cm CMR,DF,Torino,30,1990,15.1,5,0,0,15,25,0,0,36,8,0,3,0,136,35,38,47.9,Matches
Joakim MÃ¦hle,dk DEN,DF,Atalanta,23,1997,13.5,0,0,0,10,11,0,36,13,11,0,1,0,95,7,15,31.8,Matches
Mateo Musacchio,ar ARG,DF,Milan,29,1990,0.4,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,,Matches
Mateo Musacchio,ar ARG,DF,Lazio,29,1990,2.5,2,0,0,3,4,0,0,4,0,0,0,0,14,1,7,12.5,Matches
Nicola Murru,it ITA,DF,Torino,25,1994,6.3,0,0,0,12,12,0,21,6,11,0,0,0,54,10,11,47.6,Matches
Mert MÃ¼ldÃ¼r,tr TUR,DF,Sassuolo,21,1999,18.6,2,0,0,20,15,0,40,23,18,0,0,0,139,17,23,42.5,Matches
Nahuel Molina,ar ARG,DF,Udinese,22,1997,20.3,1,0,0,17,11,4,72,32,20,0,2,0,140,11,14,44.0,Matches
Nikola MilenkoviÄ‡,rs SRB,DF,Fiorentina,22,1997,33.7,7,1,0,56,16,0,3,30,40,0,1,0,330,117,35,77.0,Matches
YÄ±ldÄ±rÄ±m Mert Ã‡etin,tr TUR,DF,Hellas Verona,23,1997,4.6,1,0,0,6,4,0,1,13,4,0,0,0,61,20,9,69.0,Matches
Ibrahima Mbaye,sn SEN,DF,Bologna,25,1994,4.8,2,0,0,3,5,1,2,2,3,0,0,0,36,14,9,60.9,Matches
Antonio Mazzotta,it ITA,DF,Crotone,30,1989,0.6,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,100.0,Matches
Federico Mattiello,it ITA,DF,Spezia,25,1995,0.4,0,0,0,0,1,0,1,1,0,0,0,0,7,1,2,33.3,Matches
Andrea Masiello,it ITA,DF,Genoa,34,1986,28.5,6,0,0,15,12,1,5,41,22,0,1,0,257,39,43,47.6,Matches
Adam MaruÅ¡iÄ‡,me MNE,DF,Lazio,27,1992,33.0,3,0,0,19,17,4,50,48,28,0,1,1,232,43,25,63.2,Matches
Lucas MartÃ­nez Quarta,ar ARG,DF,Fiorentina,24,1996,16.5,4,1,0,23,10,0,4,36,31,0,1,0,128,31,31,50.0,Matches
Luca Marrone,it ITA,DF,Crotone,30,1990,17.6,8,0,0,36,11,0,0,14,19,0,1,1,176,22,14,61.1,Matches
Marlon,br BRA,DF,Sassuolo,24,1995,19.4,6,1,1,26,8,0,0,28,19,0,1,0,162,39,27,59.1,Matches
Gian Marco Ferrari,it ITA,DF,Sassuolo,28,1992,33.5,7,0,0,41,35,0,3,37,26,1,0,0,298,81,46,63.8,Matches
Riccardo Marchizza,it ITA,DF,Spezia,22,1998,17.3,4,0,0,17,14,4,40,19,12,0,1,0,135,27,16,62.8,Matches
Juan Manuel Ramos,uy URU,DF,Spezia,23,1996,3.3,1,0,0,3,2,1,2,2,1,0,0,0,23,5,2,71.4,Matches
Kostas Manolas,gr GRE,DF,Napoli,29,1991,25.5,5,0,0,21,12,1,2,26,21,1,1,0,178,50,33,60.2,Matches
Gianluca Mancini,it ITA,DF,Roma,24,1996,31.7,10,0,0,67,27,2,10,71,40,0,1,0,241,62,34,64.6,Matches
KÃ©vin Malcuit,ma MAR,DF,Fiorentina,29,1991,2.3,0,0,0,4,1,0,6,2,2,0,0,0,17,2,1,66.7,Matches
Nikola MaksimoviÄ‡,rs SRB,DF,Napoli,28,1991,13.4,1,0,0,6,6,0,1,16,6,0,0,1,137,37,13,74.0,Matches
Giangiacomo Magnani,it ITA,DF,Hellas Verona,24,1995,16.8,8,0,0,44,29,0,1,48,12,0,0,1,187,87,37,70.2,Matches
Christian Maggio,it ITA,DF,Benevento,38,1982,3.3,2,0,0,6,7,0,3,2,5,0,0,0,26,5,7,41.7,Matches
Lisandro MagallÃ¡n,ar ARG,DF,Crotone,26,1993,24.2,10,0,0,66,14,0,1,36,41,0,1,0,213,46,32,59.0,Matches
Charalambos Lykogiannis,gr GRE,DF,Cagliari,26,1993,26.9,10,2,2,29,24,2,70,29,15,0,1,0,186,60,35,63.2,Matches
Lyanco,br BRA,DF,Torino,23,1997,21.8,8,0,0,24,13,0,5,50,11,0,1,0,237,43,29,59.7,Matches
Sebastiano Luperto,it ITA,DF,Crotone,23,1996,20.9,5,1,1,28,19,0,0,18,19,0,0,0,164,28,25,52.8,Matches
JosÃ© Luis Palomino,ar ARG,DF,Atalanta,30,1990,27.0,3,0,0,49,16,2,12,73,43,0,1,0,340,87,42,67.4,Matches
Matteo Lovato,it ITA,DF,Hellas Verona,20,2000,15.4,5,0,0,26,9,0,3,19,18,0,1,0,187,56,33,62.9,Matches
Matthijs de Ligt,nl NED,DF,Juventus,20,1999,24.7,4,0,0,40,23,1,5,28,19,0,0,0,218,65,30,68.4,Matches
Gaetano Letizia,it ITA,DF,Benevento,30,1990,17.4,2,0,0,15,21,0,61,22,27,0,0,0,155,12,7,63.2,Matches
Manuel Lazzari,it ITA,DF,Lazio,26,1993,29.0,2,1,0,26,54,2,91,24,15,0,0,1,167,17,21,44.7,Matches
Darko LazoviÄ‡,rs SRB,DF,Hellas Verona,29,1990,27.8,3,0,0,10,3,10,96,20,20,0,0,0,229,26,26,50.0,Matches
Vincent Laurini,fr FRA,DF,Parma,31,1989,9.7,1,0,0,12,18,0,21,15,13,0,0,0,64,7,12,36.8,Matches
Danilo Larangeira,br BRA,DF,Bologna,36,1984,34.8,8,0,0,39,15,1,3,42,21,0,2,0,335,94,66,58.8,Matches
Marash Kumbulla,al ALB,DF,Roma,20,2000,15.1,8,0,0,26,14,0,1,15,10,0,0,0,99,32,14,69.6,Matches
Kalidou Koulibaly,sn SEN,DF,Napoli,29,1991,24.5,10,1,1,29,9,0,6,30,29,0,0,0,218,45,34,57.0,Matches
Aleksandar Kolarov,rs SRB,DF,Inter,34,1985,4.3,0,0,0,3,4,0,8,2,5,0,1,0,63,13,5,72.2,Matches
Ragnar Klavan,ee EST,DF,Cagliari,34,1985,8.6,1,0,0,8,1,0,0,7,5,0,1,0,71,10,16,38.5,Matches
Simon KjÃ¦r,dk DEN,DF,Milan,31,1989,26.6,3,0,0,26,10,1,1,38,21,0,0,0,215,66,40,62.3,Matches
Giorgos Kiriakopoulos,gr GRE,DF,Sassuolo,24,1996,16.2,3,1,1,17,7,3,49,14,26,0,0,0,121,20,23,46.5,Matches
Omar Khailoti,it ITA,DF,Bologna,18,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Rick Karsdorp,nl NED,DF,Roma,25,1995,28.3,2,0,0,36,13,3,54,33,29,0,0,0,187,15,21,41.7,Matches
Isaac Karamoko,fr FRA,DF,Sassuolo,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Pierre Kalulu,fr FRA,DF,Milan,20,2000,8.1,1,0,0,9,2,0,12,15,13,0,1,0,79,10,18,35.7,Matches
Musa Juwara,gm GAM,DF,Bologna,18,2001,0.5,1,0,0,1,2,0,2,0,0,0,0,0,5,0,0,,Matches
Juan Jesus,br BRA,DF,Roma,29,1991,1.7,0,0,0,4,0,0,0,0,2,0,0,0,12,3,3,50.0,Matches
Armando Izzo,it ITA,DF,Torino,28,1992,22.3,3,0,0,42,37,2,13,53,24,0,1,0,195,69,37,65.1,Matches
Ardian Ismajli,al ALB,DF,Spezia,23,1996,14.4,3,1,1,19,13,0,1,24,12,0,0,0,125,48,29,62.3,Matches
Igor,br BRA,DF,Fiorentina,22,1998,13.0,5,0,0,21,6,1,2,28,11,0,1,0,100,17,16,51.5,Matches
Roger Ibanez,br BRA,DF,Roma,21,1998,26.6,7,1,1,53,32,0,3,60,50,0,1,1,274,63,32,66.3,Matches
Simone Iacoponi,it ITA,DF,Parma,33,1987,13.3,3,1,0,15,14,2,7,7,16,0,0,2,103,11,9,55.0,Matches
Elseid Hysaj,al ALB,DF,Napoli,26,1994,19.6,2,0,0,16,20,0,9,35,18,0,1,0,156,18,18,50.0,Matches
Wesley Hoedt,nl NED,DF,Lazio,26,1994,10.6,6,0,0,11,2,0,0,12,14,0,2,0,109,19,9,67.9,Matches
Aaron Hickey,sco SCO,DF,Bologna,18,2002,8.4,3,1,0,12,15,0,6,12,6,0,0,0,79,3,4,42.9,Matches
Theo HernÃ¡ndez,fr FRA,DF,Milan,22,1997,32.6,9,0,0,39,81,6,48,45,43,2,0,0,275,53,27,66.3,Matches
Hans Hateboer,nl NED,DF,Atalanta,26,1994,19.6,3,0,0,21,9,3,24,14,15,0,1,0,116,28,19,59.6,Matches
Achraf Hakimi,ma MAR,DF,Inter,21,1998,29.6,6,0,0,31,37,8,105,25,30,2,0,0,166,13,29,31.0,Matches
Koray GÃ¼nter,de GER,DF,Hellas Verona,25,1994,19.6,4,0,0,31,11,0,2,48,17,0,1,0,263,94,55,63.1,Matches
Robin Gosens,de GER,DF,Atalanta,26,1994,28.0,9,1,1,51,26,9,58,43,28,0,2,1,213,35,21,62.5,Matches
Vladimir GolemiÄ‡,si SVN,DF,Crotone,29,1991,26.0,4,1,0,32,9,0,4,27,18,0,2,0,212,56,43,56.6,Matches
Edoardo Goldaniga,it ITA,DF,Genoa,26,1993,20.6,8,0,0,30,24,1,25,29,21,0,0,0,137,32,33,49.2,Matches
Diego GodÃ­n,uy URU,DF,Cagliari,34,1986,27.9,3,0,0,31,28,2,6,44,33,0,0,0,265,83,40,67.5,Matches
Kamil Glik,pl POL,DF,Benevento,32,1988,35.6,10,1,1,31,21,0,1,39,34,0,0,1,248,91,49,65.0,Matches
Riccardo Gagliolo,se SWE,DF,Parma,30,1990,21.7,6,0,0,28,34,0,39,30,29,0,0,0,174,27,28,49.1,Matches
Matteo Gabbia,it ITA,DF,Milan,20,1999,6.2,2,0,0,5,5,0,0,5,4,0,0,0,66,22,8,73.3,Matches
Gianluca Frabotta,it ITA,DF,Juventus,21,1999,7.7,5,0,0,12,2,0,31,12,6,0,0,0,64,13,15,46.4,Matches
Daam Foulon,be BEL,DF,Benevento,21,1999,11.3,4,0,0,16,23,0,20,7,8,0,0,1,61,12,5,70.6,Matches
Salvador Ferrer,es ESP,DF,Spezia,22,1998,13.2,4,0,0,15,8,0,56,22,9,,,0,,,,,Matches
Alex Ferrari,it ITA,DF,Sampdoria,26,1994,9.8,3,0,0,9,10,0,4,17,23,0,0,0,84,17,8,68.0,Matches
Luiz Felipe,br BRA,DF,Lazio,23,1997,10.1,5,0,0,14,8,1,1,21,26,0,0,0,85,13,16,44.8,Matches
Federico Fazio,ar ARG,DF,Roma,33,1987,4.5,2,0,0,6,3,0,2,5,4,0,1,0,44,20,8,71.4,Matches
Mohamed Fares,dz ALG,DF,Lazio,24,1996,12.7,5,0,0,28,8,2,47,13,9,0,1,0,97,12,13,48.0,Matches
Davide Faraoni,it ITA,DF,Hellas Verona,28,1991,32.1,8,0,0,47,38,10,50,56,37,0,0,0,281,53,37,58.9,Matches
Paolo FaragÃ²,it ITA,DF,Bologna,27,1993,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
Martin Erlic,hr CRO,DF,Spezia,22,1998,20.0,6,0,0,37,13,0,1,30,18,0,0,0,216,50,36,58.1,Matches
Alan Empereur,br BRA,DF,Hellas Verona,26,1994,2.4,1,0,0,3,1,0,0,5,1,0,0,0,24,3,5,37.5,Matches
LÃ©o Duarte,br BRA,DF,Milan,24,1996,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
