Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Jeroen Zoet,nl NED,GK,Spezia,29,1991,6.7,1,0,0,2,1,0,0,0,0,0,1,0,47,0,0,,Matches
Guglielmo Vicario,it ITA,GK,Cagliari,23,1996,4.0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,,Matches
Samir Ujkani,xk KVX,GK,Torino,32,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
Pietro Terracciano,it ITA,GK,Fiorentina,30,1990,3.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,Matches
Ciprian TÄƒtÄƒruÈ™anu,ro ROU,GK,Milan,34,1986,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
Wojciech SzczÄ™sny,pl POL,GK,Juventus,30,1990,29.7,0,0,0,0,1,0,0,0,0,0,0,0,134,0,0,,Matches
Thomas Strakosha,al ALB,GK,Lazio,25,1995,9.0,1,0,0,0,2,0,0,0,1,0,0,0,47,0,0,,Matches
Marco Sportiello,it ITA,GK,Atalanta,28,1992,14.0,0,0,0,0,1,0,0,0,1,0,0,0,69,0,1,0.0,Matches
Åukasz Skorupski,pl POL,GK,Bologna,29,1991,28.0,1,0,0,0,1,1,0,0,0,0,0,0,128,0,0,,Matches
Salvatore Sirigu,it ITA,GK,Torino,33,1987,32.0,0,0,0,1,4,0,0,0,0,0,1,1,133,0,0,,Matches
Marco Silvestri,it ITA,GK,Hellas Verona,29,1991,34.0,1,0,0,2,3,0,0,0,0,0,2,1,176,0,0,,Matches
Luigi Sepe,it ITA,GK,Parma,29,1991,36.0,0,0,0,0,2,0,0,0,0,0,0,0,162,0,0,,Matches
Simone Scuffet,it ITA,GK,Udinese,24,1996,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
Pepe Reina,es ESP,GK,Lazio,37,1982,29.0,1,0,0,0,1,0,0,0,0,0,0,0,109,0,0,,Matches
Federico Ravaglia,it ITA,GK,Bologna,20,1999,4.0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,,Matches
Rafael,br BRA,GK,Spezia,38,1982,2.3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches
IonuÈ› Radu,ro ROU,GK,Inter,23,1997,1.5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,Matches
Ivan Provedel,it ITA,GK,Spezia,26,1994,29.0,1,0,0,0,7,0,0,0,0,0,0,0,147,0,0,,Matches
Carlo Pinsoglio,it ITA,GK,Juventus,30,1990,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Mattia Perin,it ITA,GK,Genoa,27,1992,32.0,1,1,0,2,6,0,0,0,0,0,1,0,158,0,0,,Matches
Gianluca Pegolo,it ITA,GK,Sassuolo,39,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Ivor Pandur,hr CRO,GK,Hellas Verona,20,2000,3.7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,,Matches
Alberto Paleari,it ITA,GK,Genoa,27,1992,2.3,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,,Matches
Daniele Padelli,it ITA,GK,Inter,34,1985,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
David Ospina,co COL,GK,Napoli,31,1988,16.0,2,0,0,1,4,0,0,0,0,0,1,0,73,0,0,,Matches
Juan Musso,ar ARG,GK,Udinese,26,1994,35.0,5,0,0,4,4,0,0,0,0,0,4,0,170,1,0,100.0,Matches
Lorenzo MontipÃ²,it ITA,GK,Benevento,24,1996,37.0,3,0,0,3,6,0,0,0,0,0,2,1,160,0,0,,Matches
Antonio Mirante,it ITA,GK,Roma,37,1983,12.8,2,0,0,0,2,0,0,0,0,0,0,0,83,0,0,,Matches
