"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches"
"Enrico Alfonso","it ITA","GK","Brescia",31,1988,4,4,279,"3.1",4,"1.29",11,7,"63.6",1,0,3,1,"25.0",0,0,0,0,,"Matches"
"Lorenzo Andrenacci","it ITA","GK","Brescia",24,1995,6,5,531,"5.9",16,"2.71",45,28,"64.4",0,1,4,0,"0.0",1,0,0,1,,"Matches"
"Emil Audero","it ITA","GK","Sampdoria",22,1997,36,36,"3,24","36.0",60,"1.67",160,110,"66.9",12,5,19,9,"25.0",8,7,0,1,"0.0","Matches"
"Asmir BegoviÄ‡","ba BIH","GK","Milan",32,1987,2,1,129,"1.4",3,"2.09",6,4,"66.7",0,0,1,0,"0.0",1,1,0,0,"0.0","Matches"
"Etrit Berisha","al ALB","GK","SPAL",30,1989,26,26,"2,34","26.0",41,"1.58",142,106,"75.4",5,3,18,3,"11.5",6,6,0,0,"0.0","Matches"
"Federico Brancolini","it ITA","GK","Fiorentina",18,2001,1,0,6,"0.1",0,"0.00",0,0,,0,0,0,1,,0,0,0,0,,"Matches"
"Gianluigi Buffon","it ITA","GK","Juventus",41,1978,9,9,810,"9.0",10,"1.11",32,23,"71.9",7,1,1,1,"11.1",2,1,0,1,"0.0","Matches"
"Simone Colombi","it ITA","GK","Parma",28,1991,4,4,360,"4.0",4,"1.00",17,14,"82.4",1,1,2,1,"25.0",2,1,0,1,"0.0","Matches"
"Andrea Consigli","it ITA","GK","Sassuolo",32,1987,31,31,"2,79","31.0",55,"1.77",140,93,"65.7",12,5,14,5,"16.1",8,7,1,0,"12.5","Matches"
"Angelo da Costa JÃºnior","br BRA","GK","Bologna",35,1983,1,1,90,"1.0",1,"1.00",2,1,"50.0",0,1,0,0,"0.0",0,0,0,0,,"Matches"
"Alessio Cragno","it ITA","GK","Cagliari",25,1994,16,16,"1,44","16.0",21,"1.31",86,66,"76.7",2,6,8,3,"18.8",2,1,1,0,"50.0","Matches"
"Gianluigi Donnarumma","it ITA","GK","Milan",20,1999,36,36,"3,201","35.6",42,"1.18",134,97,"71.6",18,9,9,12,"33.3",8,4,4,0,"50.0","Matches"
"BartÅ‚omiej DrÄ…gowski","pl POL","GK","Fiorentina",21,1997,31,31,"2,79","31.0",43,"1.39",131,94,"71.8",7,12,12,8,"25.8",8,6,2,0,"25.0","Matches"
"Wladimiro Falcone","it ITA","GK","Sampdoria",24,1995,2,2,180,"2.0",5,"2.50",13,8,"69.2",0,1,1,0,"0.0",1,1,0,0,"0.0","Matches"
"Daniel Fuzato","br BRA","GK","Roma",22,1997,1,1,90,"1.0",1,"1.00",2,1,"50.0",1,0,0,0,"0.0",0,0,0,0,,"Matches"
"Gabriel","br BRA","GK","Lecce",26,1992,34,34,"2,997","33.3",76,"2.28",217,153,"69.6",6,8,20,2,"5.9",12,10,2,0,"16.7","Matches"
"Pierluigi Gollini","it ITA","GK","Atalanta",24,1995,33,33,"2,884","32.0",42,"1.31",113,78,"68.1",19,9,5,8,"24.2",6,6,0,0,"0.0","Matches"
"Samir HandanoviÄ‡","si SVN","GK","Inter",35,1984,35,35,"3,15","35.0",32,"0.91",108,79,"72.2",22,10,3,13,"37.1",3,2,1,0,"33.3","Matches"
"Jesse Joronen","fi FIN","GK","Brescia",26,1993,29,29,"2,61","29.0",59,"2.03",172,123,"70.9",5,6,18,5,"17.2",10,9,1,0,"10.0","Matches"
"Karlo Letica","hr CRO","GK","SPAL",22,1997,10,10,900,"10.0",29,"2.90",66,38,"56.1",0,1,9,0,"0.0",1,0,1,0,"100.0","Matches"
"Pau LÃ³pez","es ESP","GK","Roma",24,1994,32,32,"2,88","32.0",45,"1.41",122,83,"69.7",18,6,8,5,"15.6",9,8,1,0,"11.1","Matches"
"Alex Meret","it ITA","GK","Napoli",22,1997,22,21,"1,951","21.7",33,"1.52",76,46,"63.2",9,5,7,3,"14.3",6,5,1,0,"16.7","Matches"
"Antonio Mirante","it ITA","GK","Roma",36,1983,5,5,450,"5.0",5,"1.00",22,17,"81.8",2,1,2,2,"40.0",1,1,0,0,"0.0","Matches"
"Juan Musso","ar ARG","GK","Udinese",25,1994,38,38,"3,42","38.0",51,"1.34",186,139,"76.9",12,9,17,14,"36.8",10,8,2,0,"20.0","Matches"
"Robin Olsen","se SWE","GK","Cagliari",29,1990,17,17,"1,524","16.9",24,"1.42",83,63,"75.9",8,5,4,4,"23.5",4,4,0,0,"0.0","Matches"
"David Ospina","co COL","GK","Napoli",30,1988,17,17,"1,469","16.3",17,"1.04",53,36,"71.7",9,3,5,4,"23.5",2,2,0,0,"0.0","Matches"
"Daniele Padelli","it ITA","GK","Inter",33,1985,4,4,270,"3.0",4,"1.33",6,3,"50.0",2,0,1,1,"25.0",1,1,0,0,"0.0","Matches"
"Gianluca Pegolo","it ITA","GK","Sassuolo",38,1981,5,5,450,"5.0",4,"0.80",26,23,"84.6",2,2,1,2,"40.0",0,0,0,0,,"Matches"
