"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches"
"Mattia Perin","it ITA","GK","Genoa",26,1992,21,21,"1,89","21.0",38,"1.81",99,63,"62.6",8,4,9,5,"23.8",2,1,0,1,"0.0","Matches"
"Carlo Pinsoglio","it ITA","GK","Juventus",29,1990,1,0,19,"0.2",0,"0.00",0,0,,0,0,0,0,,0,0,0,0,,"Matches"
"IonuÈ› Radu","ro ROU","GK","Genoa",22,1997,17,17,"1,53","17.0",35,"2.06",89,61,"67.4",2,5,10,2,"11.8",7,6,0,1,"0.0","Matches"
"Boris RadunoviÄ‡","rs SRB","GK","Hellas Verona",23,1996,3,3,270,"3.0",8,"2.67",13,7,"53.8",1,0,2,1,"33.3",2,2,0,0,"0.0","Matches"
"Rafael","br BRA","GK","Cagliari",37,1982,6,5,454,"5.0",11,"2.18",15,6,"40.0",1,1,3,0,"0.0",3,2,0,1,"0.0","Matches"
"Pepe Reina","es ESP","GK","Milan",36,1982,2,2,90,"1.0",1,"1.00",5,4,"80.0",1,0,0,0,"0.0",1,0,1,0,"100.0","Matches"
"Antonio Rosati","it ITA","GK","Torino",36,1983,1,1,90,"1.0",1,"1.00",5,4,"80.0",0,1,0,0,"0.0",0,0,0,0,,"Matches"
"Francesco Rossi","it ITA","GK","Atalanta",28,1991,1,0,11,"0.1",1,"8.18",1,0,"0.0",0,0,0,0,,0,0,0,0,,"Matches"
"Luigi Sepe","it ITA","GK","Parma",28,1991,34,34,"3,06","34.0",53,"1.56",184,134,"74.5",13,6,15,5,"14.7",9,6,3,0,"33.3","Matches"
"Marco Silvestri","it ITA","GK","Hellas Verona",28,1991,35,35,"3,15","35.0",43,"1.23",148,108,"75.7",11,13,11,9,"25.7",7,7,0,0,"0.0","Matches"
"Salvatore Sirigu","it ITA","GK","Torino",32,1987,36,36,"3,24","36.0",64,"1.78",189,135,"70.9",11,6,19,7,"19.4",10,9,1,0,"10.0","Matches"
"Åukasz Skorupski","pl POL","GK","Bologna",28,1991,37,37,"3,33","37.0",64,"1.73",180,122,"67.8",12,10,15,2,"5.4",8,6,1,1,"14.3","Matches"
"Marco Sportiello","it ITA","GK","Atalanta",27,1992,6,5,525,"5.8",5,"0.86",19,14,"73.7",4,0,1,2,"40.0",0,0,0,0,,"Matches"
"Thomas Strakosha","al ALB","GK","Lazio",24,1995,38,38,"3,42","38.0",42,"1.11",145,111,"75.9",24,6,8,11,"28.9",9,7,1,1,"12.5","Matches"
"Wojciech SzczÄ™sny","pl POL","GK","Juventus",29,1990,29,29,"2,591","28.8",33,"1.15",120,95,"79.2",19,4,6,11,"37.9",10,8,1,1,"11.1","Matches"
"Pietro Terracciano","it ITA","GK","Fiorentina",29,1990,7,7,624,"6.9",5,"0.72",19,16,"89.5",5,1,1,3,"42.9",3,3,0,0,"0.0","Matches"
"Demba Thiam","sn SEN","GK","SPAL",21,1998,2,2,180,"2.0",4,"2.00",14,11,"78.6",0,1,1,0,"0.0",1,1,0,0,"0.0","Matches"
"Stefano Turati","it ITA","GK","Sassuolo",17,2001,2,2,180,"2.0",4,"2.00",11,8,"72.7",0,2,0,0,"0.0",1,1,0,0,"0.0","Matches"
"Samir Ujkani","xk KVX","GK","Torino",31,1988,1,1,90,"1.0",3,"3.00",5,3,"60.0",0,0,1,0,"0.0",1,1,0,0,"0.0","Matches"
"Mauro Vigorito","it ITA","GK","Lecce",29,1990,5,4,423,"4.7",9,"1.91",27,19,"70.4",3,0,1,1,"25.0",1,1,0,0,"0.0","Matches"
