"Player","Cmp%"
"Mark Travers","71.9"
"Jed Steer","50.0"
"Kasper Schmeichel","76.7"
"Mathew Ryan","80.2"
"Roberto","48.7"
"Pepe Reina","68.9"
"Darren Randolph","55.0"
"Aaron Ramsdale","57.7"
"Nick Pope","45.4"
"Jordan Pickford","65.2"
"Rui PatrÃ­cio","63.8"
"Ã˜rjan Nyland","57.7"
"Simon Moore","39.6"
"Michael McGovern","60.8"
"Alex McCarthy","54.1"
"Emiliano MartÃ­nez","72.4"
"David Martin","44.4"
"Hugo Lloris","69.5"
"Bernd Leno","74.9"
"Tim Krul","67.5"
"Wayne Hennessey","42.7"
"Dean Henderson","41.0"
"Tom Heaton","57.0"
"Angus Gunn","43.4"
"Vicente Guaita","56.1"
"David de Gea","77.7"
"Paulo Gazzaniga","61.8"
"Ben Foster","44.4"
"Ralf FÃ¤hrmann","70.0"
"Åukasz FabiaÅ„ski","56.3"
"Ederson","87.2"
"Martin DÃºbravka","54.4"
"Willy Caballero","73.3"
"Claudio Bravo","76.5"
"Kepa Arrizabalaga","80.8"
"Alisson","85.8"
"AdriÃ¡n","72.3"
