"Player","Nation","Pos","Squad","Age","Born","90s","GA","PKA","FK","CK","OG","PSxG","PSxG/SoT","PSxG+/-","/90","Cmp","Att","Cmp%","Att","Thr","Launch%","AvgLen","Att","Launch%","AvgLen","Opp","Stp","Stp%","#OPA","#OPA/90","AvgDist","Matches"
"Steve Mandanda","fr FRA","GK","Marseille",34,1985,"26.3",27,4,0,2,3,"26.7","0.27","+2.7","+0.10",139,401,"34.7",706,134,"44.5","40.0",142,"61.3","48.3",192,15,"7.8",17,"0.65","14.4","Matches"
"Edouard Mendy","sn SEN","GK","Rennes",27,1992,"24.0",19,3,1,4,1,"19.8","0.23","+1.8","+0.07",208,405,"51.4",630,97,"47.1","39.4",162,"66.7","47.6",197,20,"10.2",16,"0.67","14.2","Matches"
"Jessy Moulin","fr FRA","GK","Saint-Ã‰tienne",33,1986,"5.0",4,2,0,0,0,"7.5","0.30","+3.5","+0.70",28,97,"28.9",134,30,"53.7","43.5",42,"59.5","47.0",39,3,"7.7",2,"0.40","14.4","Matches"
"Keylor Navas","cr CRC","GK","Paris S-G",32,1986,"21.0",18,0,0,0,1,"15.4","0.24","-1.6","-0.08",67,132,"50.8",406,76,"24.4","30.9",138,"23.9","29.7",112,7,"6.3",7,"0.33","14.0","Matches"
"Alexandre Oukidja","dz ALG","GK","Metz",31,1988,"26.5",31,3,0,6,0,"35.1","0.26","+4.1","+0.15",220,634,"34.7",678,113,"65.6","49.4",209,"90.4","64.9",286,35,"12.2",26,"0.98","15.7","Matches"
"Yohann PelÃ©","fr FRA","GK","Marseille",36,1982,"1.7",2,0,0,0,0,"2.6","0.31","+0.6","+0.34",2,13,"15.4",33,7,"15.2","28.8",14,"57.1","45.9",14,0,"0.0",2,"1.21","20.0","Matches"
"Danijel PetkoviÄ‡","me MNE","GK","Angers",26,1993,"2.0",1,0,0,0,0,"1.4","0.21","+0.4","+0.22",13,28,"46.4",35,10,"45.7","38.7",19,"63.2","51.1",30,2,"6.7",1,"0.50","13.4","Matches"
"Denis PetriÄ‡","rs SRB","GK","Nantes",31,1988,"1.0",2,0,0,1,0,"3.1","0.51","+1.1","+1.06",3,14,"21.4",9,2,"77.8","51.4",11,"63.6","49.8",9,0,"0.0",0,"0.00","12.5","Matches"
"Predrag RajkoviÄ‡","rs SRB","GK","Reims",23,1995,"27.0",18,1,1,2,0,"26.7","0.27","+8.7","+0.32",142,391,"36.3",796,119,"35.6","36.4",202,"53.5","45.0",255,26,"10.2",16,"0.59","14.0","Matches"
"Baptiste Reynet","fr FRA","GK","Toulouse",28,1990,"22.6",49,3,1,3,1,"41.1","0.33","-6.9","-0.30",197,516,"38.2",618,80,"57.3","43.7",227,"71.4","52.2",248,16,"6.5",24,"1.06","16.1","Matches"
"Sergio Rico","es ESP","GK","Paris S-G",25,1993,"2.0",4,0,0,1,0,"3.1","0.28","-0.9","-0.45",1,10,"10.0",35,6,"17.1","25.4",14,"28.6","29.4",18,2,"11.1",2,"1.00","18.7","Matches"
"StÃ©phane Ruffier","fr FRA","GK","Saint-Ã‰tienne",32,1986,"22.0",40,3,0,2,0,"34.3","0.34","-5.7","-0.26",120,324,"37.0",457,71,"48.8","39.5",160,"63.1","46.6",152,6,"3.9",7,"0.32","12.6","Matches"
"GerÃ³nimo Rulli","ar ARG","GK","Montpellier",27,1992,"25.0",27,3,1,2,1,"27.4","0.21","+1.4","+0.05",221,419,"52.7",680,148,"42.4","37.5",203,"64.5","49.0",228,20,"8.8",26,"1.04","16.1","Matches"
"Romain Salin","fr FRA","GK","Rennes",35,1984,"4.0",5,0,0,0,0,"5.6","0.26","+0.6","+0.15",34,67,"50.7",93,22,"41.9","37.8",37,"75.7","51.5",63,5,"7.9",2,"0.50","13.5","Matches"
"Matz Sels","be BEL","GK","Strasbourg",27,1992,"27.0",32,6,0,3,0,"32.5","0.30","+0.5","+0.02",216,484,"44.6",646,127,"53.9","43.9",203,"67.0","53.9",229,21,"9.2",10,"0.37","12.7","Matches"
"Ciprian TÄƒtÄƒruÈ™anu","ro ROU","GK","Lyon",33,1986,"2.0",2,0,0,0,0,"1.9","0.18","-0.1","-0.06",14,18,"77.8",53,15,"26.4","30.0",6,"66.7","44.5",7,2,"28.6",2,"1.00","15.0","Matches"
