"Player","Nation","Pos","Squad","Age","Born","90s","GA","PKA","FK","CK","OG","PSxG","PSxG/SoT","PSxG+/-","/90","Cmp","Att","Cmp%","Att","Thr","Launch%","AvgLen","Att","Launch%","AvgLen","Opp","Stp","Stp%","#OPA","#OPA/90","AvgDist","Matches"
"Enrico Alfonso","it ITA","GK","Brescia",31,1988,"3.1",4,0,0,0,0,"2.0","0.18","-2.0","-0.66",11,32,"34.4",51,8,"45.1","37.0",24,"37.5","32.8",38,2,"5.3",4,"1.29","16.3","Matches"
"Lorenzo Andrenacci","it ITA","GK","Brescia",24,1995,"5.9",16,0,1,1,0,"13.0","0.29","-3.0","-0.50",33,66,"50.0",97,45,"33.0","35.4",66,"51.5","43.5",56,1,"1.8",2,"0.34","12.5","Matches"
"Emil Audero","it ITA","GK","Sampdoria",22,1997,"36.0",60,7,0,11,4,"52.8","0.29","-3.2","-0.09",203,558,"36.4",748,130,"50.1","41.5",289,"63.3","46.8",399,32,"8.0",19,"0.53","14.2","Matches"
"Asmir BegoviÄ‡","ba BIH","GK","Milan",32,1987,"1.4",3,1,0,0,0,"3.2","0.41","+0.2","+0.13",4,11,"36.4",24,5,"33.3","32.8",12,"25.0","32.3",8,0,"0.0",0,"0.00","15.5","Matches"
"Etrit Berisha","al ALB","GK","SPAL",30,1989,"26.0",41,6,1,2,2,"44.1","0.28","+2.1","+0.08",196,440,"44.5",650,136,"46.0","37.4",234,"60.3","45.9",275,21,"7.6",14,"0.54","13.6","Matches"
"Federico Brancolini","it ITA","GK","Fiorentina",18,2001,"0.1",0,0,0,0,0,"0.0",,"0.0","0.00",1,1,"100.0",2,0,"0.0","27.5",1,"100.0","67.0",0,0,,0,"0.00","21.0","Matches"
"Gianluigi Buffon","it ITA","GK","Juventus",41,1978,"9.0",10,1,0,2,0,"7.6","0.21","-2.4","-0.26",22,38,"57.9",157,40,"17.8","27.4",55,"18.2","22.9",76,1,"1.3",7,"0.78","16.4","Matches"
"Simone Colombi","it ITA","GK","Parma",28,1991,"4.0",4,1,0,0,0,"4.0","0.19","0.0","0.00",11,24,"45.8",59,16,"27.1","31.1",39,"20.5","24.6",33,2,"6.1",0,"0.00","11.7","Matches"
"Andrea Consigli","it ITA","GK","Sassuolo",32,1987,"31.0",55,7,1,9,3,"49.6","0.32","-2.4","-0.08",141,339,"41.6",789,136,"34.2","32.7",206,"33.5","29.9",291,25,"8.6",20,"0.65","14.9","Matches"
"Angelo da Costa JÃºnior","br BRA","GK","Bologna",35,1983,"1.0",1,0,0,0,0,"0.9","0.46","-0.1","-0.08",2,4,"50.0",24,4,"16.7","28.1",4,"0.0","17.5",3,0,"0.0",1,"1.00","18.8","Matches"
"Alessio Cragno","it ITA","GK","Cagliari",25,1994,"16.0",21,1,0,2,1,"23.6","0.26","+3.6","+0.23",87,251,"34.7",318,67,"51.6","40.7",157,"55.4","43.0",176,14,"8.0",5,"0.31","11.5","Matches"
"Gianluigi Donnarumma","it ITA","GK","Milan",20,1999,"35.6",42,4,0,7,1,"45.6","0.29","+4.6","+0.13",222,469,"47.3",882,172,"38.4","34.4",260,"50.0","39.0",304,29,"9.5",20,"0.56","14.6","Matches"
"BartÅ‚omiej DrÄ…gowski","pl POL","GK","Fiorentina",21,1997,"31.0",43,6,2,6,0,"43.1","0.29","+0.1","0.00",138,380,"36.3",682,195,"39.9","37.0",222,"48.6","42.1",287,19,"6.6",14,"0.45","12.6","Matches"
"Wladimiro Falcone","it ITA","GK","Sampdoria",24,1995,"2.0",5,1,0,0,0,"5.5","0.36","+0.5","+0.23",8,29,"27.6",43,11,"39.5","32.6",18,"66.7","47.9",15,0,"0.0",1,"0.50","13.8","Matches"
"Daniel Fuzato","br BRA","GK","Roma",22,1997,"1.0",1,0,0,1,0,"0.9","0.43","-0.1","-0.14",4,16,"25.0",34,4,"35.3","35.0",10,"40.0","36.2",8,1,"12.5",0,"0.00","10.2","Matches"
"Gabriel","br BRA","GK","Lecce",26,1992,"33.3",76,10,1,12,3,"80.9","0.34","+7.9","+0.24",147,354,"41.5",653,194,"36.1","34.9",326,"36.2","31.8",382,21,"5.5",12,"0.36","13.6","Matches"
"Pierluigi Gollini","it ITA","GK","Atalanta",24,1995,"32.0",42,6,2,4,3,"34.6","0.27","-4.4","-0.14",188,422,"44.5",758,171,"37.1","37.0",210,"67.1","52.5",207,15,"7.2",37,"1.15","15.7","Matches"
"Samir HandanoviÄ‡","si SVN","GK","Inter",35,1984,"35.0",32,2,0,4,1,"32.5","0.28","+1.5","+0.04",148,284,"52.1",850,187,"24.2","29.4",264,"29.5","30.3",334,21,"6.3",12,"0.34","12.0","Matches"
"Jesse Joronen","fi FIN","GK","Brescia",26,1993,"29.0",59,9,0,9,3,"61.0","0.31","+5.0","+0.17",161,422,"38.2",573,160,"49.7","41.6",276,"49.6","42.0",356,27,"7.6",10,"0.34","13.0","Matches"
"Karlo Letica","hr CRO","GK","SPAL",22,1997,"10.0",29,0,2,1,1,"22.5","0.33","-5.5","-0.55",64,174,"36.8",226,53,"50.0","40.6",93,"65.6","48.6",103,7,"6.8",1,"0.10","11.7","Matches"
"Pau LÃ³pez","es ESP","GK","Roma",24,1994,"32.0",45,8,1,4,0,"42.5","0.28","-2.5","-0.08",175,373,"46.9",848,179,"34.8","33.6",208,"37.5","35.4",238,15,"6.3",24,"0.75","14.9","Matches"
"Alex Meret","it ITA","GK","Napoli",22,1997,"21.7",33,5,0,3,1,"27.7","0.29","-4.3","-0.20",49,133,"36.8",464,85,"23.7","28.1",137,"16.8","24.4",153,8,"5.2",6,"0.28","12.1","Matches"
"Antonio Mirante","it ITA","GK","Roma",36,1983,"5.0",5,1,0,0,0,"5.7","0.25","+0.7","+0.14",26,56,"46.4",143,31,"35.0","32.8",29,"20.7","30.3",50,4,"8.0",4,"0.80","13.3","Matches"
"Juan Musso","ar ARG","GK","Udinese",25,1994,"38.0",51,8,2,6,0,"53.9","0.25","+2.9","+0.08",218,491,"44.4",819,171,"40.9","36.3",359,"43.5","36.6",363,38,"10.5",15,"0.39","12.2","Matches"
