"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches"
"Alisson","br BRA","GK","Liverpool",25,1992,38,38,"3,42","38.0",22,"0.58",96,74,"77.1",30,7,1,21,"55.3",1,0,0,1,,"Matches"
"Kepa Arrizabalaga","es ESP","GK","Chelsea",23,1994,36,36,"3,24","36.0",39,"1.08",117,78,"67.5",20,8,8,14,"38.9",2,1,1,0,"50.0","Matches"
"Asmir BegoviÄ‡","ba BIH","GK","Bournemouth",31,1987,24,24,"2,16","24.0",47,"1.96",101,58,"55.4",8,3,13,5,"20.8",2,2,0,0,"0.0","Matches"
"Marcus Bettinelli","eng ENG","GK","Fulham",26,1992,7,7,630,"7.0",20,"2.86",38,19,"50.0",1,2,4,0,"0.0",3,1,1,1,"50.0","Matches"
"Artur Boruc","pl POL","GK","Bournemouth",38,1980,12,12,"1,08","12.0",18,"1.50",52,36,"71.2",4,3,5,4,"33.3",3,3,0,0,"0.0","Matches"
"David Button","eng ENG","GK","Brighton",29,1989,4,4,360,"4.0",5,"1.25",15,12,"80.0",1,1,2,1,"25.0",2,2,0,0,"0.0","Matches"
"Willy Caballero","ar ARG","GK","Chelsea",36,1981,2,2,180,"2.0",0,"0.00",3,3,"100.0",1,1,0,2,"100.0",0,0,0,0,,"Matches"
"Petr ÄŒech","cz CZE","GK","Arsenal",36,1982,7,7,585,"6.5",9,"1.38",36,27,"75.0",5,0,2,2,"28.6",0,0,0,0,,"Matches"
"Joel Coleman","eng ENG","GK","Huddersfield",22,1995,1,1,90,"1.0",1,"1.00",3,1,"66.7",0,1,0,0,"0.0",0,0,0,0,,"Matches"
"Martin DÃºbravka","sk SVK","GK","Newcastle Utd",29,1989,38,38,"3,42","38.0",48,"1.26",135,94,"68.9",12,9,17,11,"28.9",6,6,0,0,"0.0","Matches"
"Ederson","br BRA","GK","Manchester City",24,1993,38,38,"3,42","38.0",23,"0.61",76,57,"75.0",32,2,4,20,"52.6",4,4,0,0,"0.0","Matches"
"Neil Etheridge","ph PHI","GK","Cardiff City",28,1990,38,38,"3,42","38.0",69,"1.82",201,135,"67.7",10,4,24,10,"26.3",7,4,3,0,"42.9","Matches"
"Åukasz FabiaÅ„ski","pl POL","GK","West Ham",33,1985,38,38,"3,42","38.0",55,"1.45",191,139,"73.3",15,7,16,7,"18.4",5,4,1,0,"20.0","Matches"
"Fabricio","es ESP","GK","Fulham",30,1987,2,2,180,"2.0",5,"2.50",23,18,"78.3",0,0,2,0,"0.0",0,0,0,0,,"Matches"
"Fraser Forster","eng ENG","GK","Southampton",30,1988,1,1,90,"1.0",3,"3.00",6,3,"50.0",0,0,1,0,"0.0",0,0,0,0,,"Matches"
