"Player","Cmp%"
"Emiliano Viviano","68.7"
"Pietro Terracciano","80.0"
"Wojciech SzczÄ™sny","80.0"
"Thomas Strakosha","69.8"
"Marco Sportiello","66.6"
"Stefano Sorrentino","65.8"
"Åukasz Skorupski","67.9"
"Salvatore Sirigu","62.8"
"Luigi Sepe","62.3"
"Adrian Å emper","59.0"
"Andrea Seculin","55.0"
"Simone Scuffet","67.3"
"Francesco Rossi","100.0"
"Pepe Reina","73.9"
"IonuÈ› Radu","47.3"
"Ivan Provedel","72.6"
"Silvio Proto","69.2"
"Giacomo Poluzzi","100.0"
"Carlo Pinsoglio","77.8"
"Mattia Perin","77.3"
"Gianluca Pegolo","63.0"
"David Ospina","76.3"
"Robin Olsen","75.3"
"Juan Musso","58.0"
"Antonio Mirante","67.9"
"Vanja MilinkoviÄ‡-SaviÄ‡","63.5"
"Alex Meret","74.6"
"Federico Marchetti","69.6"
"Alban Lafont","66.8"
"Orestis Karnezis","69.4"
"Jandrei","67.7"
"Salvador Ichazo","59.8"
"Samir HandanoviÄ‡","81.7"
"Guido Guerrieri","73.5"
"Alfred Gomis","70.5"
"Pierluigi Gollini","68.9"
"Pierluigi Frattali","71.1"
"BartÅ‚omiej DrÄ…gowski","66.3"
"Gianluigi Donnarumma","82.5"
"Alessio Cragno","64.9"
"Andrea Consigli","72.4"
"Rafael Cabral","71.9"
"Etrit Berisha","72.1"
"Francesco Bardi","56.8"
"Emil Audero","73.3"
