"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches"
"Adrian Å emper","hr CRO","GK","Chievo",20,1998,6,6,540,"6.0",8,"1.33",31,23,"74.2",1,3,2,2,"33.3",0,0,0,0,,"Matches"
"Luigi Sepe","it ITA","GK","Parma",27,1991,37,37,"3,33","37.0",60,"1.62",191,144,"72.8",10,11,16,10,"27.0",8,8,0,0,"0.0","Matches"
"Salvatore Sirigu","it ITA","GK","Torino",31,1987,36,36,"3,17","35.2",36,"1.02",136,103,"75.0",15,14,7,14,"38.9",4,2,2,0,"50.0","Matches"
"Åukasz Skorupski","pl POL","GK","Bologna",27,1991,38,38,"3,42","38.0",56,"1.47",173,121,"69.9",11,11,16,10,"26.3",4,4,0,0,"0.0","Matches"
"Stefano Sorrentino","it ITA","GK","Chievo",39,1979,31,31,"2,79","31.0",62,"2.00",167,111,"64.1",1,11,19,5,"16.1",4,2,2,0,"50.0","Matches"
"Marco Sportiello","it ITA","GK","Frosinone",26,1992,35,35,"3,15","35.0",64,"1.83",198,140,"70.2",5,9,21,8,"22.9",5,5,0,0,"0.0","Matches"
"Thomas Strakosha","al ALB","GK","Lazio",23,1995,35,35,"3,15","35.0",39,"1.11",129,96,"73.6",16,7,12,10,"28.6",7,5,2,0,"28.6","Matches"
"Wojciech SzczÄ™sny","pl POL","GK","Juventus",28,1990,28,28,"2,52","28.0",20,"0.71",78,59,"75.6",22,5,1,11,"39.3",3,1,1,1,"50.0","Matches"
"Pietro Terracciano","it ITA","GK","Empoli",28,1990,8,8,720,"8.0",10,"1.25",34,25,"70.6",1,2,5,2,"25.0",0,0,0,0,,"Matches"
"Emiliano Viviano","it ITA","GK","SPAL",32,1985,17,17,"1,525","16.9",25,"1.48",82,60,"74.4",7,3,7,4,"23.5",4,4,0,0,"0.0","Matches"
