Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Rǧnar Alex Rǧnarsson,is ISL,GK,Dijon,23,1995,25.0,44,2,2,5,0,34.9,0.35,-8.1,-0.33,185,415,44.6,628,105,41.7,37.8,203,75.4,56.3,201,17,8.5,19,0.76,15.4,Matches
Bobby Allain,fr FRA,GK,Dijon,26,1991,13.0,17,1,0,2,1,19.1,0.26,+3.1,+0.24,140,302,46.4,340,70,58.2,44.9,126,82.5,57.7,143,24,16.8,11,0.85,15.8,Matches
Alphonse Areola,fr FRA,GK,Paris S-G,25,1993,21.0,17,4,0,1,1,19.8,0.26,+3.8,+0.18,70,127,55.1,374,95,22.7,28.3,134,31.3,35.2,172,6,3.5,14,0.67,13.2,Matches
Diego Benaglio,ch SUI,GK,Monaco,34,1983,22.9,38,3,0,3,1,31.9,0.30,-5.1,-0.22,91,237,38.4,459,105,31.6,33.3,159,57.9,46.4,226,18,8.0,6,0.26,12.3,Matches
Walter Ben��tez,ar ARG,GK,Nice,25,1993,35.0,29,2,0,5,1,40.3,0.27,+12.3,+0.35,170,402,42.3,837,199,27.2,31.0,306,56.9,45.5,371,17,4.6,13,0.37,12.9,Matches
Paul Bernardoni,fr FRA,GK,Nǩmes,21,1997,38.0,58,4,0,4,0,60.5,0.32,+2.5,+0.07,248,716,34.6,823,162,57.2,44.9,290,84.5,60.5,289,21,7.3,20,0.53,14.7,Matches
Dimitry Bertaud,fr FRA,GK,Montpellier,20,1998,1.0,0,0,0,0,0,0.5,0.47,+0.5,+0.47,8,25,32.0,23,3,56.5,44.9,13,92.3,57.9,5,0,0.0,0,0.00,9.3,Matches
Zacharie Boucher,fr FRA,GK,Angers,26,1992,2.0,1,0,0,0,0,1.3,0.33,+0.3,+0.15,9,32,28.1,37,9,45.9,41.3,17,88.2,64.9,26,0,0.0,1,0.50,15.8,Matches
Gianluigi Buffon,it ITA,GK,Paris S-G,40,1978,17.0,18,1,1,2,3,17.1,0.25,+2.1,+0.12,43,74,58.1,299,75,13.0,23.8,103,34.0,35.1,103,4,3.9,12,0.71,15.4,Matches
Ludovic Butelle,fr FRA,GK,Angers,35,1983,36.0,48,3,0,4,1,46.9,0.28,-0.1,0.00,259,599,43.2,694,170,54.2,43.4,277,80.5,55.6,372,33,8.9,34,0.94,14.9,Matches
Marc-Aurele Caillard,fr FRA,GK,Guingamp,24,1994,21.0,34,1,1,3,0,29.5,0.32,-4.5,-0.21,150,395,38.0,375,66,64.8,48.9,173,87.9,62.9,168,15,8.9,7,0.33,12.5,Matches
Yoan Cardinale,fr FRA,GK,Nice,24,1994,3.0,6,1,0,0,0,3.3,0.21,-2.7,-0.89,1,1,100.0,56,17,1.8,22.5,7,0.0,23.7,24,3,12.5,3,1.00,16.6,Matches
Benoǩt Costil,fr FRA,GK,Bordeaux,31,1987,37.0,42,6,1,11,0,45.2,0.27,+3.2,+0.09,277,612,45.3,844,123,47.0,40.9,306,70.3,53.3,360,16,4.4,24,0.65,14.0,Matches
Abdoulaye Diallo,sn SEN,GK,Rennes,26,1992,5.5,4,1,0,1,0,4.8,0.22,+0.8,+0.15,32,70,45.7,112,23,42.9,36.3,35,62.9,46.7,37,3,8.1,3,0.55,13.7,Matches
Maxime DupǸ,fr FRA,GK,Nantes,25,1993,10.4,17,2,2,2,0,12.8,0.35,-4.2,-0.40,71,196,36.2,210,38,55.2,44.5,91,87.9,64.4,92,4,4.3,6,0.58,16.0,Matches
Mauro Goicoechea,uy URU,GK,Toulouse,30,1988,7.9,12,1,1,1,0,10.0,0.26,-2.0,-0.25,52,138,37.7,182,37,49.5,40.9,72,66.7,52.2,84,5,6.0,3,0.38,12.3,Matches
Mathieu Gorgelin,fr FRA,GK,Lyon,27,1990,4.0,5,0,1,1,0,3.5,0.23,-1.5,-0.37,12,21,57.1,77,21,14.3,25.9,23,43.5,41.3,34,5,14.7,4,1.00,18.3,Matches
RǸgis Gurtner,fr FRA,GK,Amiens,31,1986,38.0,54,6,3,8,2,49.0,0.28,-1.0,-0.03,303,813,37.3,827,85,63.2,48.1,322,90.1,62.1,362,24,6.6,21,0.55,14.6,Matches
Karl-Johan Johnsson,se SWE,GK,Guingamp,28,1990,17.0,34,2,1,1,0,21.8,0.28,-12.2,-0.72,141,345,40.9,352,57,64.8,48.5,128,91.4,66.2,131,9,6.9,11,0.65,15.4,Matches
Eiji Kawashima,jp JPN,GK,Strasbourg,35,1983,1.0,0,0,0,0,0,0.1,0.09,+0.1,+0.09,13,28,46.4,25,7,52.0,43.4,15,100.0,76.1,10,1,10.0,0,0.00,12.9,Matches
Tomǭas Koubek,cz CZE,GK,Rennes,25,1992,32.5,48,3,0,9,1,39.0,0.28,-8.0,-0.25,206,477,43.2,638,129,46.9,40.8,242,73.6,56.0,328,13,4.0,27,0.83,16.4,Matches
Benjamin Lecomte,fr FRA,GK,Montpellier,27,1991,37.0,42,3,1,7,3,40.7,0.28,+1.7,+0.05,336,744,45.2,997,167,56.6,44.3,265,67.9,52.2,307,22,7.2,26,0.70,15.6,Matches
Anthony Lopes,pt POR,GK,Lyon,27,1990,34.0,42,5,1,2,3,35.8,0.25,-3.2,-0.10,160,362,44.2,826,163,32.4,33.4,239,39.3,40.3,248,12,4.8,15,0.44,14.6,Matches
Mike Maignan,fr FRA,GK,Lille,22,1995,38.0,34,6,1,4,0,35.3,0.25,+2.3,+0.06,199,593,33.6,825,199,46.3,40.3,270,78.1,59.4,319,37,11.6,24,0.63,14.8,Matches
Steve Mandanda,fr FRA,GK,Marseille,33,1985,30.4,41,6,0,2,0,35.4,0.28,-4.6,-0.15,169,456,37.1,794,128,44.1,39.0,191,55.5,46.6,196,16,8.2,20,0.66,14.4,Matches
Edouard Mendy,sn SEN,GK,Reims,26,1992,38.0,42,7,1,3,2,44.3,0.27,+4.3,+0.11,300,714,42.0,843,123,57.2,46.1,287,80.8,58.5,420,33,7.9,15,0.39,13.3,Matches
Jessy Moulin,fr FRA,GK,Saint-�?tienne,32,1986,1.0,1,0,0,0,1,1.5,0.33,+1.5,+1.46,2,4,50.0,28,10,10.7,28.2,4,25.0,35.8,6,1,16.7,0,0.00,13.3,Matches
Alexandre Olliero,fr FRA,GK,Nantes,22,1996,1.0,1,1,0,0,0,0.7,,-0.3,-0.29,4,10,40.0,20,5,35.0,40.4,3,100.0,79.3,7,0,0.0,1,1.00,14.6,Matches
Yohann PelǸ,fr FRA,GK,Marseille,35,1982,7.6,12,4,1,0,0,10.3,0.29,-1.7,-0.22,38,79,48.1,173,39,32.9,33.6,50,44.0,43.4,57,3,5.3,7,0.93,13.5,Matches
Gaetan Poussin,fr FRA,GK,Bordeaux,19,1999,1.0,0,0,0,0,0,0.2,0.15,+0.2,+0.15,6,22,27.3,22,2,45.5,42.0,13,92.3,59.7,12,1,8.3,1,1.00,15.7,Matches
Baptiste Reynet,fr FRA,GK,Toulouse,27,1990,30.0,46,4,2,5,0,40.8,0.27,-4.2,-0.14,233,583,40.0,770,134,50.0,42.0,291,68.0,53.1,321,26,8.1,24,0.80,14.6,Matches
StǸphane Ruffier,fr FRA,GK,Saint-�?tienne,31,1986,37.0,40,7,0,7,0,45.4,0.26,+5.4,+0.15,200,631,31.7,867,151,49.9,40.3,310,63.9,48.3,298,20,6.7,15,0.41,13.5,Matches
Brice Samba,cg CGO,GK,Caen,24,1994,38.0,54,6,4,5,2,59.2,0.30,+7.2,+0.19,369,825,44.7,907,167,63.1,46.2,315,80.3,58.5,346,36,10.4,21,0.55,14.0,Matches
Matz Sels,be BEL,GK,Strasbourg,26,1992,37.0,48,7,3,4,1,44.0,0.25,-3.0,-0.08,263,677,38.8,795,179,51.9,43.7,324,81.5,61.1,346,27,7.8,21,0.57,14.1,Matches
Danijel Suba��i�?,hr CRO,GK,Monaco,33,1984,12.6,12,2,0,3,0,12.3,0.27,+0.3,+0.03,69,171,40.4,233,49,50.6,43.1,82,64.6,51.0,84,4,4.8,3,0.24,15.0,Matches
Seydou Sy,sn SEN,GK,Monaco,22,1995,2.5,7,0,0,1,1,4.2,0.35,-1.8,-0.72,8,22,36.4,49,12,28.6,31.5,14,57.1,47.1,17,2,11.8,2,0.80,18.5,Matches
Ciprian T��t��ru�?anu,ro ROU,GK,Nantes,32,1986,26.6,30,1,0,8,1,30.5,0.29,+1.5,+0.06,178,408,43.6,615,116,42.1,37.7,213,70.0,52.5,203,16,7.9,23,0.87,16.9,Matches
