Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Anthony Lopes,pt POR,GK,Lyon,27,1990,34,34,"3,06",34.0,42,1.24,131,97,71.8,18,9,7,9,26.5,5,5,0,0,0.0,Matches
Mike Maignan,fr FRA,GK,Lille,22,1995,38,38,"3,42",38.0,34,0.89,118,91,76.3,22,9,7,15,39.5,10,6,2,2,25.0,Matches
Steve Mandanda,fr FRA,GK,Marseille,33,1985,31,31,"2,736",30.4,41,1.35,108,74,67.6,14,5,12,9,29.0,7,6,1,0,14.3,Matches
Edouard Mendy,sn SEN,GK,Reims,26,1992,38,38,"3,42",38.0,42,1.11,147,114,76.2,13,16,9,14,36.8,7,7,0,0,0.0,Matches
Jessy Moulin,fr FRA,GK,Saint-�?tienne,32,1986,1,1,90,1.0,1,1.00,5,5,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
Alexandre Olliero,fr FRA,GK,Nantes,22,1996,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Yohann PelǸ,fr FRA,GK,Marseille,35,1982,9,7,680,7.6,12,1.59,22,14,63.6,4,2,1,3,42.9,5,4,1,0,20.0,Matches
GaǮtan Poussin,fr FRA,GK,Bordeaux,19,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Baptiste Reynet,fr FRA,GK,Toulouse,27,1990,31,31,"2,704",30.0,46,1.53,140,99,70.0,6,11,14,6,19.4,5,4,1,0,20.0,Matches
StǸphane Ruffier,fr FRA,GK,Saint-�?tienne,31,1986,37,37,"3,33",37.0,40,1.08,147,114,77.6,19,8,10,13,35.1,9,7,1,1,12.5,Matches
Brice Samba,cg CGO,GK,Caen,24,1994,38,38,"3,42",38.0,54,1.42,182,134,73.6,7,12,19,9,23.7,8,6,2,0,25.0,Matches
Matz Sels,be BEL,GK,Strasbourg,26,1992,37,37,"3,33",37.0,48,1.30,151,111,72.8,10,16,11,8,21.6,9,7,2,0,22.2,Matches
Danijel Suba��i�?,hr CRO,GK,Monaco,33,1984,14,14,"1,138",12.6,12,0.95,36,26,72.2,4,5,5,4,28.6,3,2,1,0,33.3,Matches
Seydou Sy,sn SEN,GK,Monaco,22,1995,3,2,225,2.5,7,2.80,12,6,41.7,0,1,1,0,0.0,0,0,0,0,,Matches
Ciprian T��t��ru�?anu,ro ROU,GK,Nantes,32,1986,27,27,"2,391",26.6,30,1.13,95,67,69.5,8,6,13,7,25.9,4,1,3,0,75.0,Matches
