Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Rǧnar Alex Rǧnarsson,is ISL,GK,Dijon,23,1995,25,25,"2,25",25.0,44,1.76,96,55,56.3,7,5,13,5,20.0,2,2,0,0,0.0,Matches
Bobby Allain,fr FRA,GK,Dijon,26,1991,13,13,"1,17",13.0,17,1.31,74,58,78.4,2,2,9,1,7.7,1,1,0,0,0.0,Matches
Alphonse Areola,fr FRA,GK,Paris S-G,25,1993,21,21,"1,89",21.0,17,0.81,63,51,79.4,16,3,2,11,52.4,4,4,0,0,0.0,Matches
Diego Benaglio,ch SUI,GK,Monaco,34,1983,23,22,"2,057",22.9,38,1.66,94,60,62.8,4,6,12,4,18.2,5,3,2,0,40.0,Matches
Walter Ben��tez,ar ARG,GK,Nice,25,1993,35,35,"3,15",35.0,29,0.83,141,115,80.9,15,10,10,16,45.7,5,2,3,0,60.0,Matches
Paul Bernardoni,fr FRA,GK,Nǩmes,21,1997,38,38,"3,42",38.0,58,1.53,177,122,69.5,15,8,15,10,26.3,5,4,1,0,20.0,Matches
Dimitry Bertaud,fr FRA,GK,Montpellier,20,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
Zacharie Boucher,fr FRA,GK,Angers,26,1992,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,,Matches
Gianluigi Buffon,it ITA,GK,Paris S-G,40,1978,17,17,"1,53",17.0,18,1.06,61,47,72.1,13,1,3,6,35.3,2,1,1,0,50.0,Matches
Ludovic Butelle,fr FRA,GK,Angers,35,1983,36,36,"3,239",36.0,48,1.33,156,112,71.2,9,15,12,12,33.3,5,3,2,0,40.0,Matches
Marc-Aur��le Caillard,fr FRA,GK,Guingamp,24,1994,21,21,"1,89",21.0,34,1.62,90,56,63.3,4,7,10,6,28.6,2,1,1,0,50.0,Matches
Yoan Cardinale,fr FRA,GK,Nice,24,1994,3,3,270,3.0,6,2.00,12,7,58.3,0,1,2,0,0.0,1,1,0,0,0.0,Matches
Benoǩt Costil,fr FRA,GK,Bordeaux,31,1987,37,37,"3,33",37.0,42,1.14,146,110,75.3,9,11,17,10,27.0,7,6,1,0,14.3,Matches
Abdoulaye Diallo,sn SEN,GK,Rennes,26,1992,6,6,495,5.5,4,0.73,18,15,83.3,3,2,1,2,33.3,1,1,0,0,0.0,Matches
Maxime DupǸ,fr FRA,GK,Nantes,25,1993,11,10,939,10.4,17,1.63,31,16,51.6,5,3,2,1,10.0,3,2,1,0,33.3,Matches
Mauro Goicoechea,uy URU,GK,Toulouse,30,1988,8,7,712,7.9,12,1.52,35,24,68.6,2,3,2,3,42.9,1,1,0,0,0.0,Matches
Mathieu Gorgelin,fr FRA,GK,Lyon,27,1990,4,4,360,4.0,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,,Matches
RǸgis Gurtner,fr FRA,GK,Amiens,31,1986,38,38,"3,42",38.0,54,1.42,155,109,69.0,9,11,18,11,28.9,9,6,2,1,25.0,Matches
Karl-Johan Johnsson,se SWE,GK,Guingamp,28,1990,17,17,"1,53",17.0,34,2.00,73,41,56.2,1,5,11,4,23.5,4,2,1,1,33.3,Matches
Eiji Kawashima,jp JPN,GK,Strasbourg,35,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Tomǭ�� Koubek,cz CZE,GK,Rennes,25,1992,33,32,"2,925",32.5,48,1.48,134,90,66.4,10,11,11,9,28.1,4,3,1,0,25.0,Matches
Benjamin Lecomte,fr FRA,GK,Montpellier,27,1991,37,37,"3,33",37.0,42,1.14,136,100,71.3,15,13,9,11,29.7,5,3,1,1,25.0,Matches
