"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches"
"Antonio AdÃ¡n","es ESP","GK","AtlÃ©tico Madrid",31,1987,2,1,90,"1.0",2,"2.00",7,5,"71.4",0,1,0,0,"0.0",0,0,0,0,,"Matches"
"Sergio Ãlvarez","es ESP","GK","Celta Vigo",31,1986,13,13,"1,17","13.0",22,"1.69",57,38,"64.9",3,5,5,2,"15.4",2,2,0,0,"0.0","Matches"
"Miguel Ãngel MoyÃ¡","es ESP","GK","Real Sociedad",34,1984,11,11,990,"11.0",11,"1.00",33,22,"66.7",3,2,6,2,"18.2",0,0,0,0,,"Matches"
"Sergio Asenjo","es ESP","GK","Villarreal",29,1989,32,32,"2,88","32.0",45,"1.41",164,124,"73.8",7,12,13,9,"28.1",4,2,1,1,"33.3","Matches"
"RubÃ©n Blanco","es ESP","GK","Celta Vigo",23,1995,25,25,"2,25","25.0",40,"1.60",106,70,"66.0",7,6,12,6,"24.0",5,4,0,1,"0.0","Matches"
"Yassine Bounou","ma MAR","GK","Girona",27,1991,32,32,"2,862","31.8",43,"1.35",162,126,"77.2",8,10,14,8,"25.0",6,6,0,0,"0.0","Matches"
"Leandro Chichizola","ar ARG","GK","Getafe",28,1990,1,1,90,"1.0",1,"1.00",1,0,"0.0",1,0,0,0,"0.0",0,0,0,0,,"Matches"
"Jasper Cillessen","nl NED","GK","Barcelona",29,1989,3,3,270,"3.0",4,"1.33",13,10,"76.9",1,1,1,1,"33.3",1,1,0,0,"0.0","Matches"
"Thibaut Courtois","be BEL","GK","Real Madrid",26,1992,27,27,"2,43","27.0",36,"1.33",100,70,"70.0",14,3,10,8,"29.6",8,6,1,1,"14.3","Matches"
"IvÃ¡n CuÃ©llar","es ESP","GK","LeganÃ©s",34,1984,34,34,"3,056","33.9",38,"1.12",111,76,"67.6",10,12,12,10,"29.4",2,2,0,0,"0.0","Matches"
"Javier DÃ­az","es ESP","GK","Sevilla",21,1997,1,1,90,"1.0",1,"1.00",0,0,,0,0,1,0,"0.0",1,1,0,0,"0.0","Matches"
"Stole Dimitrievski","mk MKD","GK","Rayo Vallecano",24,1993,21,21,"1,89","21.0",35,"1.67",91,62,"68.1",5,4,12,3,"14.3",7,6,1,0,"14.3","Matches"
"Marko DmitroviÄ‡","rs SRB","GK","Eibar",26,1992,24,24,"2,16","24.0",30,"1.25",81,54,"66.7",9,6,9,5,"20.8",4,3,1,0,"25.0","Matches"
"Jaume DomÃ©nech","es ESP","GK","Valencia",27,1990,4,4,360,"4.0",1,"0.25",12,10,"91.7",2,2,0,3,"75.0",0,0,0,0,,"Matches"
"Aitor FernÃ¡ndez","es ESP","GK","Levante",27,1991,16,16,"1,44","16.0",24,"1.50",74,56,"73.0",4,5,7,2,"12.5",4,4,0,0,"0.0","Matches"
"AndrÃ©s FernÃ¡ndez","es ESP","GK","Villarreal",31,1986,6,6,540,"6.0",7,"1.17",22,16,"72.7",3,2,1,2,"33.3",1,1,0,0,"0.0","Matches"
