"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches"
"Alberto GarcÃ­a","es ESP","GK","Rayo Vallecano",33,1985,17,17,"1,53","17.0",35,"2.06",83,51,"59.0",3,4,10,4,"23.5",4,1,3,0,"75.0","Matches"
"Iago HerrerÃ­n","es ESP","GK","Athletic Club",30,1988,31,31,"2,79","31.0",32,"1.03",85,56,"65.9",12,10,9,10,"32.3",3,3,0,0,"0.0","Matches"
"Gorka Iraizoz","es ESP","GK","Girona",37,1981,7,6,558,"6.2",10,"1.61",36,29,"77.8",1,0,5,1,"16.7",2,2,0,0,"0.0","Matches"
"Aleksandar JovanoviÄ‡","rs SRB","GK","Huesca",25,1992,12,12,"1,08","12.0",19,"1.58",43,27,"60.5",1,4,7,0,"0.0",2,2,0,0,"0.0","Matches"
"Diego LÃ³pez","es ESP","GK","Espanyol",36,1981,38,38,"3,42","38.0",50,"1.32",156,114,"71.8",14,11,13,10,"26.3",8,6,2,0,"25.0","Matches"
"Pau LÃ³pez","es ESP","GK","Betis",23,1994,33,33,"2,97","33.0",47,"1.42",135,91,"67.4",12,7,14,10,"30.3",4,3,1,0,"25.0","Matches"
"Andriy Lunin","ua UKR","GK","LeganÃ©s",19,1999,5,4,364,"4.1",5,"1.24",18,13,"77.8",1,0,3,2,"50.0",2,1,1,0,"50.0","Matches"
"Jordi Masip","es ESP","GK","Valladolid",29,1989,35,35,"3,15","35.0",45,"1.29",140,102,"71.4",10,9,16,9,"25.7",8,5,3,0,"37.5","Matches"
"Keylor Navas","cr CRC","GK","Real Madrid",31,1986,10,10,900,"10.0",8,"0.80",30,22,"73.3",6,2,2,4,"40.0",0,0,0,0,,"Matches"
"Neto","br BRA","GK","Valencia",29,1989,34,34,"3,06","34.0",34,"1.00",134,109,"79.9",13,14,7,10,"29.4",8,7,1,0,"12.5","Matches"
"Jan Oblak","si SVN","GK","AtlÃ©tico Madrid",25,1993,37,37,"3,33","37.0",27,"0.73",123,103,"82.1",22,9,6,20,"54.1",5,5,0,0,"0.0","Matches"
"Oier OlazÃ¡bal","es ESP","GK","Levante",28,1989,21,21,"1,89","21.0",40,"1.90",134,99,"73.1",7,5,9,5,"23.8",5,4,1,0,"20.0","Matches"
"Fernando Pacheco","es ESP","GK","AlavÃ©s",26,1992,35,35,"3,15","35.0",46,"1.31",145,105,"72.4",11,11,13,8,"22.9",6,6,0,0,"0.0","Matches"
"Asier Riesgo","es ESP","GK","Eibar",34,1983,15,14,"1,26","14.0",20,"1.43",45,26,"55.6",2,8,4,4,"28.6",0,0,0,0,,"Matches"
"Joel Robles","es ESP","GK","Betis",28,1990,5,5,450,"5.0",5,"1.00",21,17,"81.0",2,1,2,1,"20.0",1,1,0,0,"0.0","Matches"
"GerÃ³nimo Rulli","ar ARG","GK","Real Sociedad",26,1992,27,27,"2,43","27.0",35,"1.30",108,77,"69.4",10,9,8,7,"25.9",3,2,1,0,"33.3","Matches"
"Roberto SantamarÃ­a","es ESP","GK","Huesca",33,1985,20,20,"1,8","20.0",30,"1.50",89,64,"73.0",5,7,8,6,"30.0",6,6,0,0,"0.0","Matches"
"Unai SimÃ³n","es ESP","GK","Athletic Club",21,1997,7,7,630,"7.0",13,"1.86",31,20,"64.5",1,4,2,0,"0.0",2,2,0,0,"0.0","Matches"
"Antonio Sivera","es ESP","GK","AlavÃ©s",21,1996,3,3,270,"3.0",4,"1.33",14,10,"71.4",2,0,1,0,"0.0",0,0,0,0,,"Matches"
"David Soria","es ESP","GK","Getafe",25,1993,37,37,"3,33","37.0",34,"0.92",127,100,"76.4",14,14,9,13,"35.1",7,4,2,1,"33.3","Matches"
"Juan Soriano","es ESP","GK","Sevilla",20,1997,4,4,359,"4.0",2,"0.50",11,10,"90.9",4,0,0,3,"75.0",1,1,0,0,"0.0","Matches"
"Marc-AndrÃ© ter Stegen","de GER","GK","Barcelona",26,1992,35,35,"3,15","35.0",32,"0.91",116,86,"73.3",25,8,2,16,"45.7",1,1,0,0,"0.0","Matches"
"TomÃ¡Å¡ VaclÃ­k","cz CZE","GK","Sevilla",29,1989,33,33,"2,97","33.0",44,"1.33",134,95,"70.1",13,8,12,8,"24.2",5,4,1,0,"20.0","Matches"
"Koke Vegas","es ESP","GK","Levante",22,1995,1,1,90,"1.0",2,"2.00",8,6,"75.0",0,1,0,0,"0.0",0,0,0,0,,"Matches"
"Axel Werner","ar ARG","GK","Huesca",22,1996,6,6,540,"6.0",16,"2.67",35,21,"57.1",1,1,4,0,"0.0",1,1,0,0,"0.0","Matches"
"Yoel","es ESP","GK","Valladolid",29,1988,3,3,270,"3.0",6,"2.00",11,6,"54.5",0,2,1,0,"0.0",1,1,0,0,"0.0","Matches"
"Luca Zidane","fr FRA","GK","Real Madrid",20,1998,1,1,90,"1.0",2,"2.00",3,1,"33.3",1,0,0,0,"0.0",0,0,0,0,,"Matches"
