Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%_GK,AvgLen_GK,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Jessy Moulin,fr FRA,GK,Saint-Ã‰tienne,34,1986,29.0,42,4,3,6,2,38.1,0.34,-1.9,-0.06,140,370,37.8,679,146,35.3,36.6,202,64.4,49.5,220,13,5.9,9,0.31,13.5
Paul Nardi,fr FRA,GK,Lorient,26,1994,23.0,44,4,0,3,0,31.5,0.27,-11.5,-0.50,116,355,32.7,442,108,48.9,40.3,197,70.6,54.3,180,9,5.0,14,0.61,14.9
Keylor Navas,cr CRC,GK,Paris S-G,33,1986,28.0,18,1,0,3,0,22.0,0.23,+4.0,+0.14,105,190,55.3,573,113,26.4,30.3,172,22.7,28.4,202,7,3.5,12,0.43,13.1
Jonas Omlin,ch SUI,GK,Montpellier,26,1994,29.7,51,11,0,5,2,51.2,0.29,+2.2,+0.08,234,505,46.3,739,173,46.1,39.0,243,67.5,51.9,266,24,9.0,14,0.47,13.8
Alexandre Oukidja,dz ALG,GK,Metz,32,1988,34.0,39,9,0,5,1,40.4,0.27,+3.4,+0.10,265,601,44.1,748,189,52.9,42.9,287,71.4,53.2,322,38,11.8,37,1.09,16.7
Yohann PelÃ©,fr FRA,GK,Marseille,37,1982,1.0,2,0,0,0,0,2.4,0.47,+0.4,+0.35,0,0,,22,7,0.0,20.5,3,0.0,14.7,8,1,12.5,1,1.00,13.0
Anthony Racioppi,ch SUI,GK,Dijon,21,1998,21.0,33,3,0,5,1,35.0,0.35,+3.0,+0.14,113,324,34.9,478,99,42.5,37.1,178,68.0,49.7,199,13,6.5,10,0.48,14.4
Predrag RajkoviÄ‡,rs SRB,GK,Reims,24,1995,36.5,49,4,0,8,1,48.8,0.29,+0.8,+0.02,244,723,33.7,1111,157,45.7,40.7,343,62.7,49.7,354,21,5.9,22,0.60,14.0
Baptiste Reynet,fr FRA,GK,NÃ®mes,29,1990,38.0,71,6,1,7,0,63.6,0.29,-7.4,-0.20,298,800,37.3,1287,144,46.3,40.5,300,68.0,50.4,362,19,5.2,27,0.71,14.5
Sergio Rico,es ESP,GK,Paris S-G,26,1993,9.0,9,0,0,0,1,9.9,0.28,+1.9,+0.21,10,27,37.0,162,41,13.0,25.1,54,11.1,24.6,58,3,5.2,5,0.56,14.1
Romain Salin,fr FRA,GK,Rennes,36,1984,15.0,14,0,0,4,0,15.2,0.28,+1.2,+0.08,99,227,43.6,421,76,35.9,34.0,123,61.8,47.5,113,9,8.0,29,1.93,18.0
Matz Sels,be BEL,GK,Strasbourg,28,1992,6.0,13,2,1,3,0,10.0,0.34,-3.0,-0.50,47,111,42.3,125,23,57.6,43.9,50,78.0,57.2,54,6,11.1,1,0.17,11.4
