Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_PK
Marco Silvestri,it ITA,GK,Hellas Verona,29,1991,34,34,"3,06",34.0,42,1.24,125,89,71.2,11,9,14,7,20.6,7,6,0,1,0.0
Salvatore Sirigu,it ITA,GK,Torino,33,1987,32,32,"2,88",32.0,62,1.94,129,75,58.1,5,13,14,7,21.9,9,8,0,1,0.0
Åukasz Skorupski,pl POL,GK,Bologna,29,1991,28,28,"2,52",28.0,46,1.64,143,102,71.3,10,5,13,4,14.3,7,5,2,0,28.6
Marco Sportiello,it ITA,GK,Atalanta,28,1992,15,13,"1,261",14.0,21,1.50,48,28,58.3,9,1,3,2,15.4,2,1,1,0,50.0
Thomas Strakosha,al ALB,GK,Lazio,25,1995,9,9,810,9.0,14,1.56,37,24,67.6,3,2,4,3,33.3,2,2,0,0,0.0
Wojciech SzczÄ™sny,pl POL,GK,Juventus,30,1990,30,30,"2,677",29.7,32,1.08,95,67,70.5,16,8,6,5,16.7,6,4,2,0,33.3
Ciprian TÄƒtÄƒruÈ™anu,ro ROU,GK,Milan,34,1986,1,1,90,1.0,3,3.00,6,4,66.7,0,1,0,0,0.0,1,1,0,0,0.0
Pietro Terracciano,it ITA,GK,Fiorentina,30,1990,4,2,272,3.0,4,1.32,10,7,60.0,0,1,1,2,100.0,1,0,1,0,100.0
Samir Ujkani,xk KVX,GK,Torino,32,1988,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Guglielmo Vicario,it ITA,GK,Cagliari,23,1996,4,4,360,4.0,6,1.50,21,15,71.4,3,0,1,1,25.0,0,0,0,0,
Jeroen Zoet,nl NED,GK,Spezia,29,1991,7,7,603,6.7,12,1.79,26,17,65.4,3,1,3,1,14.3,3,3,0,0,0.0
