Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_PK
AarÃ³n Escandell,es ESP,GK,Granada,24,1995,5,5,450,5.0,8,1.60,24,16,66.7,1,1,3,1,20.0,0,0,0,0,
Jokin Ezkieta,es ESP,GK,Athletic Club,23,1996,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
Aitor FernÃ¡ndez,es ESP,GK,Levante,29,1991,29,29,"2,61",29.0,44,1.52,118,78,65.3,8,11,10,3,10.3,3,3,0,0,0.0
Ãlvaro FernÃ¡ndez,es ESP,GK,Huesca,22,1998,22,22,"1,98",22.0,32,1.45,92,62,67.4,5,5,12,5,22.7,2,2,0,0,0.0
AndrÃ©s FernÃ¡ndez,es ESP,GK,Huesca,33,1986,16,16,"1,44",16.0,21,1.31,50,32,64.0,2,8,6,4,25.0,3,3,0,0,0.0
Paulo Gazzaniga,ar ARG,GK,Elche,28,1992,8,8,720,8.0,9,1.13,21,14,61.9,3,1,4,2,25.0,1,1,0,0,0.0
David Gil,es ESP,GK,CÃ¡diz,26,1994,4,4,360,4.0,10,2.50,15,6,40.0,0,1,3,0,0.0,1,1,0,0,0.0
Sergio Herrera,es ESP,GK,Osasuna,27,1993,33,32,"2,958",32.9,40,1.22,122,88,70.5,10,8,14,10,31.3,8,4,3,1,42.9
JeremÃ­as Ledesma,ar ARG,GK,CÃ¡diz,27,1993,32,32,"2,88",32.0,45,1.41,118,79,68.6,10,10,12,9,28.1,9,8,1,0,11.1
Jordi Masip,es ESP,GK,Valladolid,31,1989,25,25,"2,25",25.0,40,1.60,112,74,67.9,4,9,12,2,8.0,4,4,0,0,0.0
Neto,br BRA,GK,Barcelona,31,1989,7,7,630,7.0,6,0.86,21,16,81.0,3,2,2,3,42.9,2,2,0,0,0.0
Jan Oblak,si SVN,GK,AtlÃ©tico Madrid,27,1993,38,38,"3,42",38.0,25,0.66,120,97,80.0,26,8,4,18,47.4,4,1,2,1,66.7
Fernando Pacheco,es ESP,GK,AlavÃ©s,28,1992,38,37,"3,349",37.2,57,1.53,142,86,62.0,9,11,17,9,24.3,3,3,0,0,0.0
Juan PÃ©rez,es ESP,GK,Osasuna,24,1996,3,3,270,3.0,3,1.00,7,4,71.4,1,1,1,1,33.3,1,1,0,0,0.0
Ãlex Remiro,es ESP,GK,Real Sociedad,25,1995,38,38,"3,42",38.0,38,1.00,100,66,65.0,17,11,10,14,36.8,5,3,1,1,25.0
Roberto,es ESP,GK,Valladolid,34,1986,13,13,"1,17",13.0,17,1.31,43,28,65.1,1,7,5,1,7.7,3,2,0,1,0.0
Joel Robles,es ESP,GK,Betis,30,1990,18,18,"1,62",18.0,25,1.39,56,37,62.5,9,2,7,6,33.3,5,4,1,0,20.0
RubÃ©n,es ESP,"GK,MF",Osasuna,36,1984,3,3,187,2.1,5,2.41,9,3,44.4,0,2,1,0,0.0,0,0,0,0,
GerÃ³nimo Rulli,ar ARG,GK,Villarreal,28,1992,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,
Rui Silva,pt POR,GK,Granada,26,1994,32,32,"2,88",32.0,55,1.72,129,78,61.2,12,6,14,8,25.0,10,5,4,1,44.4
Unai SimÃ³n,es ESP,GK,Athletic Club,23,1997,37,37,"3,33",37.0,40,1.08,104,70,66.3,11,13,13,9,24.3,6,5,1,0,16.7
Antonio Sivera,es ESP,GK,AlavÃ©s,23,1996,1,1,71,0.8,0,0.00,1,1,100.0,0,0,1,0,0.0,0,0,0,0,
David Soria,es ESP,GK,Getafe,27,1993,28,28,"2,52",28.0,31,1.11,75,52,66.7,6,8,14,10,35.7,7,6,1,0,14.3
Marc-AndrÃ© ter Stegen,de GER,GK,Barcelona,28,1992,31,31,"2,79",31.0,32,1.03,102,75,71.6,21,5,5,11,35.5,3,3,0,0,0.0
TomÃ¡Å¡ VaclÃ­k,cz CZE,GK,Sevilla,31,1989,5,5,450,5.0,5,1.00,14,9,64.3,3,0,2,2,40.0,0,0,0,0,
Koke Vegas,es ESP,GK,Levante,24,1995,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
IvÃ¡n Villar,es ESP,GK,Celta Vigo,23,1997,21,19,"1,781",19.8,30,1.52,72,47,66.7,7,5,7,5,26.3,7,6,1,0,14.3
RubÃ©n YÃ¡Ã±ez,es ESP,GK,Getafe,26,1993,10,10,900,10.0,12,1.20,30,19,63.3,3,3,4,4,40.0,1,1,0,0,0.0
Yoel,es ESP,GK,Eibar,31,1988,4,3,300,3.3,3,0.90,5,2,40.0,0,1,2,0,0.0,0,0,0,0,
