Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%_GK,AvgLen_GK,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25.0,43,3,1,4,2,37.0,0.28,-4.0,-0.16,184,532,34.6,506,88,68.4,50.5,220,84.5,60.2,239,22,9.2,6,0.24,12.2
Martin DÃºbravka,sk SVK,GK,Newcastle Utd,31,1989,13.0,19,1,0,1,1,19.5,0.31,+1.5,+0.11,79,186,42.5,306,64,38.2,36.9,121,57.0,47.3,161,13,8.1,6,0.46,12.3
Ederson,br BRA,GK,Manchester City,26,2,36.0,28,7,0,2,1,29.1,0.27,+2.1,+0.06,139,305,45.6,932,148,24.9,31.5,158,46.2,43.0,179,14,7.8,23,0.64,15.7
Åukasz FabiaÅ„ski,pl POL,GK,West Ham,35,1985,35.0,44,3,0,4,4,44.9,0.32,+4.9,+0.14,281,662,42.4,731,141,60.9,46.2,271,80.1,57.0,357,27,7.6,11,0.31,12.4
Fraser Forster,eng ENG,GK,Southampton,32,1988,8.0,11,2,0,1,0,8.8,0.25,-2.2,-0.27,43,153,28.1,210,29,51.4,41.0,64,70.3,49.6,88,7,8.0,7,0.88,15.2
David de Gea,es ESP,GK,Manchester Utd,29,1990,25.5,32,4,1,5,2,29.8,0.31,-0.2,-0.01,94,217,43.3,422,80,35.5,33.7,172,39.0,34.6,195,9,4.6,9,0.35,14.1
Vicente Guaita,es ESP,GK,Crystal Palace,33,1987,37.0,64,3,1,9,0,61.8,0.36,-2.2,-0.06,253,721,35.1,766,147,58.9,43.9,314,86.0,60.9,367,26,7.1,15,0.41,13.1
Dean Henderson,eng ENG,GK,Manchester Utd,23,1997,12.5,12,0,0,4,0,12.3,0.26,+0.3,+0.02,41,110,37.3,220,61,35.9,35.4,94,33.0,33.5,105,9,8.6,14,1.12,15.3
Sam Johnstone,eng ENG,GK,West Brom,27,1993,37.0,74,7,2,13,3,75.3,0.30,+4.3,+0.12,336,961,35.0,987,169,71.2,51.2,295,87.5,60.9,348,25,7.2,26,0.70,14.5
CaoimhÃ­n Kelleher,ie IRL,GK,Liverpool,21,1998,2.0,1,0,0,0,0,2.2,0.32,+1.2,+0.62,8,19,42.1,48,10,31.3,34.1,14,28.6,33.7,19,2,10.5,1,0.50,18.3
