Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Yohann PelǸ,fr FRA,GK,Marseille,34,1982,8.2,10,0,0,0,1,7.7,0.27,-1.3,-0.16,36,83,43.4,149,26,37.6,34.8,35,77.1,56.2,69,4,5.8,7,0.88,16.2,Matches
JǸr��me Prior,fr FRA,GK,Bordeaux,21,1995,2.0,3,0,0,0,0,2.0,0.24,-1.0,-0.52,4,15,26.7,20,2,55.0,39.8,5,80.0,55.8,21,1,4.8,1,0.50,14.1,Matches
Baptiste Reynet,fr FRA,GK,Dijon,26,1990,38.0,73,11,2,7,3,74.7,0.32,+4.7,+0.12,285,650,43.8,1153,171,45.8,40.2,182,67.0,52.6,446,47,10.5,48,1.26,16.9,Matches
StǸphane Ruffier,fr FRA,GK,Saint-�?tienne,30,1986,34.6,44,5,2,3,1,45.9,0.28,+2.9,+0.08,164,465,35.3,737,90,46.8,38.6,151,79.5,53.1,359,32,8.9,15,0.43,14.6,Matches
Mamadou Samassa,ml MLI,GK,Troyes,27,1990,21.0,31,2,0,4,1,29.1,0.25,+0.1,+0.01,92,318,28.9,380,75,53.2,43.9,119,97.5,65.5,269,23,8.6,11,0.52,15.6,Matches
Brice Samba,cg CGO,GK,Caen,23,1994,3.5,4,1,0,0,0,5.6,0.27,+1.6,+0.45,23,56,41.1,63,10,57.1,45.3,24,83.3,62.3,21,0,0.0,1,0.29,11.4,Matches
Danijel Suba��i�?,hr CRO,GK,Monaco,32,1984,32.7,41,4,1,3,1,38.4,0.27,-1.6,-0.05,117,348,33.6,503,86,50.7,42.8,140,66.4,53.7,356,30,8.4,21,0.64,15.8,Matches
Seydou Sy,sn SEN,GK,Monaco,21,1995,2.8,4,1,0,1,0,5.3,0.29,+1.3,+0.47,18,47,38.3,48,9,45.8,38.0,27,92.6,59.6,40,5,12.5,0,0.00,10.9,Matches
Ciprian T��t��ru�?anu,ro ROU,GK,Nantes,31,1986,37.0,38,2,0,7,0,31.3,0.23,-6.7,-0.18,157,494,31.8,657,122,46.9,40.7,207,89.9,64.6,425,50,11.8,13,0.35,13.7,Matches
Kevin Trapp,de GER,GK,Paris S-G,27,1990,4.0,4,2,0,0,0,6.7,0.33,+2.7,+0.68,4,6,66.7,55,11,10.9,21.5,5,0.0,21.4,48,3,6.3,0,0.00,12.3,Matches
RǸmy Vercoutre,fr FRA,GK,Caen,37,1980,34.5,48,4,0,6,4,39.1,0.27,-4.9,-0.14,303,657,46.1,712,74,68.7,50.5,176,95.5,64.6,360,33,9.2,17,0.49,14.5,Matches
Erwin Zelazny,fr FRA,GK,Troyes,25,1991,17.0,28,2,0,4,0,25.1,0.26,-2.9,-0.17,118,341,34.6,396,49,55.6,44.8,126,96.0,65.4,224,24,10.7,9,0.53,15.2,Matches
