"Player","Nation","Pos","Squad","Age","Born","90s","GA","PKA","FK","CK","OG","PSxG","PSxG/SoT","PSxG+/-","/90","Cmp","Att","Cmp%","Att","Thr","Launch%","AvgLen","Att","Launch%","AvgLen","Opp","Stp","Stp%","#OPA","#OPA/90","AvgDist","Matches"
"Antonio AdÃ¡n","es ESP","GK","Betis",30,1987,"30.0",53,3,0,6,4,"38.5","0.28","-10.5","-0.35",177,459,"38.6",905,95,"41.1","36.3",130,"66.9","48.8",289,30,"10.4",18,"0.60","14.7","Matches"
"Sergio Ãlvarez","es ESP","GK","Celta Vigo",30,1986,"16.4",29,1,0,4,1,"26.5","0.34","-1.5","-0.09",96,255,"37.6",435,32,"43.2","37.6",83,"80.7","58.0",143,15,"10.5",12,"0.73","14.5","Matches"
"Jon Ander Serantes","es ESP","GK","LeganÃ©s",27,1989,"1.0",2,0,0,0,0,"2.5","0.28","+0.5","+0.53",5,24,"20.8",21,1,"85.7","61.5",6,"100.0","77.5",9,2,"22.2",0,"0.00","15.5","Matches"
"Miguel Ãngel MoyÃ¡","es ESP","GK","Real Sociedad",33,1984,"8.5",8,2,0,2,0,"9.8","0.25","+1.8","+0.21",69,131,"52.7",241,10,"46.5","38.9",31,"61.3","44.8",88,12,"13.6",7,"0.82","16.4","Matches"
"Kepa Arrizabalaga","es ESP","GK","Athletic Club",22,1994,"30.0",43,1,3,5,3,"42.9","0.30","+2.9","+0.10",280,587,"47.7",728,67,"64.0","46.9",134,"90.3","64.1",271,24,"8.9",14,"0.47","15.3","Matches"
"Sergio Asenjo","es ESP","GK","Villarreal",28,1989,"23.0",30,3,1,3,0,"32.5","0.32","+2.5","+0.11",102,282,"36.2",360,86,"52.2","41.5",109,"86.2","61.3",284,24,"8.5",16,"0.70","14.3","Matches"
"Mariano Barbosa","ar ARG","GK","Villarreal",33,1984,"12.5",14,1,0,2,0,"13.6","0.27","-0.4","-0.03",35,123,"28.5",190,40,"34.7","34.7",63,"90.5","62.4",150,15,"10.0",3,"0.24","13.7","Matches"
"RubÃ©n Blanco","es ESP","GK","Celta Vigo",22,1995,"21.6",31,3,0,4,0,"25.5","0.26","-5.5","-0.26",112,357,"31.4",602,57,"48.0","41.2",82,"82.9","62.4",231,28,"12.1",7,"0.32","14.9","Matches"
"Yassine Bounou","ma MAR","GK","Girona",26,1991,"29.5",46,4,2,1,1,"40.4","0.28","-4.6","-0.16",177,485,"36.5",507,62,"67.9","48.9",153,"92.2","66.3",259,20,"7.7",10,"0.34","13.0","Matches"
"Kiko Casilla","es ESP","GK","Real Madrid",30,1986,"10.0",11,0,0,1,1,"10.4","0.36","+0.4","+0.04",27,69,"39.1",159,33,"30.8","33.8",34,"58.8","45.6",80,6,"7.5",5,"0.50","14.9","Matches"
"Nereo Champagne","ar ARG","GK","LeganÃ©s",32,1985,"2.0",6,1,1,0,0,"4.1","0.36","-1.9","-0.97",19,43,"44.2",37,4,"75.7","48.1",15,"100.0","63.8",15,0,"0.0",1,"0.50","14.9","Matches"
"Leandro Chichizola","ar ARG","GK","Las Palmas",27,1990,"27.0",47,3,1,5,1,"46.2","0.29","+0.2","+0.01",154,416,"37.0",798,128,"41.5","37.0",131,"64.9","53.0",225,31,"13.8",35,"1.30","16.1","Matches"
"Jasper Cillessen","nl NED","GK","Barcelona",28,1989,"1.0",1,0,0,0,0,"1.3","0.18","+0.3","+0.26",2,9,"22.2",18,4,"33.3","30.1",9,"33.3","40.8",7,1,"14.3",0,"0.00","15.0","Matches"
"IvÃ¡n CuÃ©llar","es ESP","GK","LeganÃ©s",33,1984,"35.0",43,5,3,5,0,"40.1","0.25","-2.9","-0.08",270,779,"34.7",729,64,"80.1","55.4",198,"98.5","69.8",309,30,"9.7",28,"0.80","15.6","Matches"
"Marko DmitroviÄ‡","rs SRB","GK","Eibar",25,1992,"36.0",49,4,2,3,4,"41.3","0.33","-3.7","-0.10",265,719,"36.9",789,73,"74.3","56.1",137,"97.1","78.0",248,35,"14.1",59,"1.64","18.0","Matches"
"Jaume DomÃ©nech","es ESP","GK","Valencia",26,1990,"5.0",5,0,0,1,0,"6.3","0.31","+1.3","+0.27",16,43,"37.2",89,24,"33.7","31.1",18,"72.2","55.8",70,7,"10.0",3,"0.60","14.7","Matches"
"AndrÃ©s FernÃ¡ndez","es ESP","GK","Villarreal",30,1986,"2.5",6,1,0,1,0,"5.3","0.33","-0.7","-0.28",9,26,"34.6",35,4,"45.7","38.3",15,"66.7","50.1",25,3,"12.0",1,"0.40","14.5","Matches"
"RaÃºl FernÃ¡ndez","es ESP","GK","Levante",29,1988,"11.0",15,0,1,3,0,"16.7","0.33","+1.7","+0.15",92,206,"44.7",176,22,"73.3","52.8",78,"98.7","69.7",121,17,"14.0",12,"1.09","16.1","Matches"
"Dani GimÃ©nez","es ESP","GK","Betis",34,1983,"3.4",0,0,0,0,0,"2.2","0.31","+2.2","+0.64",10,38,"26.3",82,8,"41.5","39.1",9,"44.4","40.0",39,1,"2.6",0,"0.00","10.6","Matches"
"Vicente Guaita","es ESP","GK","Getafe",30,1987,"33.0",26,1,0,3,0,"28.8","0.25","+2.8","+0.09",211,685,"30.8",604,60,"76.0","55.2",227,"99.6","69.6",314,45,"14.3",19,"0.58","14.7","Matches"
"Iago HerrerÃ­n","es ESP","GK","Athletic Club",29,1988,"8.0",6,2,0,0,0,"8.2","0.22","+2.2","+0.28",82,173,"47.4",199,21,"69.8","48.8",36,"94.4","65.9",86,6,"7.0",5,"0.63","14.6","Matches"
"Gorka Iraizoz","es ESP","GK","Girona",36,1981,"8.5",13,0,1,0,2,"9.6","0.27","-1.4","-0.17",56,135,"41.5",156,35,"66.0","46.5",33,"97.0","65.1",61,9,"14.8",10,"1.18","17.0","Matches"
"Maksym Koval","ua UKR","GK,MF","La CoruÃ±a",24,1992,"1.3",3,0,0,0,0,"1.5","0.29","-1.5","-1.14",6,17,"35.3",27,9,"40.7","37.2",7,"85.7","67.9",16,1,"6.3",3,"2.23","22.0","Matches"
"RaÃºl Lizoain","es ESP","GK","Las Palmas",26,1991,"11.0",27,2,0,3,0,"21.5","0.33","-5.5","-0.50",35,83,"42.2",236,42,"26.3","30.0",31,"67.7","48.4",103,8,"7.8",4,"0.36","14.1","Matches"
"Diego LÃ³pez","es ESP","GK","Espanyol",35,1981,"10.5",11,1,0,0,2,"10.3","0.24","+1.3","+0.14",47,132,"35.6",139,28,"50.4","41.7",65,"95.4","61.7",92,7,"7.6",2,"0.21","12.4","Matches"
"Pau LÃ³pez","es ESP","GK","Espanyol",22,1994,"27.5",31,3,0,5,0,"40.4","0.30","+9.4","+0.33",147,416,"35.3",480,104,"57.7","44.5",148,"93.9","65.6",281,33,"11.7",16,"0.56","15.0","Matches"
"Pedro LÃ³pez","es ESP","GK","Betis",22,1995,"4.6",8,0,0,2,0,"6.9","0.39","-1.1","-0.23",19,47,"40.4",122,16,"27.9","30.6",21,"61.9","43.9",39,3,"7.7",3,"0.66","14.5","Matches"
"Emiliano MartÃ­nez","ar ARG","GK","Getafe",24,1992,"5.0",7,1,0,2,0,"6.4","0.29","-0.6","-0.11",47,115,"40.9",90,8,"82.2","59.6",41,"100.0","73.0",51,7,"13.7",3,"0.60","13.9","Matches"
"Keylor Navas","cr CRC","GK","Real Madrid",30,1986,"27.0",31,2,0,8,1,"33.8","0.28","+3.8","+0.14",59,153,"38.6",434,90,"24.7","31.7",63,"73.0","57.6",215,22,"10.2",19,"0.70","15.1","Matches"
"Neto","br BRA","GK","Valencia",28,1989,"33.0",33,3,1,5,0,"44.2","0.27","+11.2","+0.34",143,383,"37.3",420,92,"55.7","44.0",171,"87.1","63.5",353,27,"7.6",6,"0.18","13.1","Matches"
