Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Alisson,br BRA,GK,Roma,24,1992,37.0,28,3,0,2,0,38.8,0.26,+10.8,+0.29,245,443,55.3,994,198,35.7,35.2,181,48.6,45.3,306,25,8.2,49,1.32,17.5,Matches
NÃ­colas Andrade,br BRA,GK,Hellas Verona,29,1988,36.0,71,6,4,9,2,75.2,0.30,+6.2,+0.17,371,904,41.0,995,222,59.2,44.5,362,87.0,59.9,466,48,10.3,22,0.61,13.9,Matches
Vid Belec,si SVN,GK,Benevento,27,1990,12.4,32,3,1,1,2,24.3,0.31,-0.7,-0.06,63,183,34.4,259,68,48.6,40.4,102,55.9,46.5,133,10,7.5,5,0.40,12.2,Matches
Etrit Berisha,al ALB,GK,Atalanta,28,1989,31.0,34,1,2,2,0,27.3,0.26,-6.7,-0.22,196,438,44.7,587,156,42.9,37.8,214,86.9,58.9,249,14,5.6,15,0.48,14.3,Matches
Albano Bizzarri,ar ARG,GK,Udinese,39,1977,32.0,52,2,1,9,4,42.0,0.29,-6.0,-0.19,262,612,42.8,774,135,52.5,41.1,271,76.0,53.2,306,26,8.5,13,0.41,13.0,Matches
Alberto Brignoli,it ITA,GK,Benevento,25,1991,12.5,31,2,0,6,0,29.0,0.40,-2.0,-0.16,92,266,34.6,374,61,51.3,43.2,103,71.8,56.1,144,25,17.4,16,1.28,17.0,Matches
Gianluigi Buffon,it ITA,GK,Juventus,39,1978,20.7,14,3,0,2,2,15.7,0.22,+3.7,+0.18,87,187,46.5,431,71,32.5,34.2,101,46.5,40.2,167,12,7.2,14,0.68,14.5,Matches
Andrea Consigli,it ITA,GK,Sassuolo,30,1987,36.8,58,2,3,10,1,52.1,0.29,-4.9,-0.13,283,620,45.6,782,160,53.2,43.2,262,77.9,52.5,411,36,8.8,19,0.52,13.3,Matches
Alex Cordaz,it ITA,GK,Crotone,34,1983,38.0,66,6,3,11,0,64.5,0.30,-1.5,-0.04,304,884,34.4,781,95,72.3,51.6,338,94.4,62.3,428,21,4.9,26,0.68,14.4,Matches
Angelo da Costa JÃºnior,br BRA,GK,Bologna,33,1983,4.0,5,1,0,1,0,4.7,0.24,-0.3,-0.08,30,78,38.5,121,25,38.8,36.8,40,77.5,56.6,37,3,8.1,5,1.25,15.9,Matches
Alessio Cragno,it ITA,GK,Cagliari,23,1994,28.2,47,6,4,1,1,43.3,0.31,-2.7,-0.10,213,476,44.7,526,123,51.1,41.1,237,87.3,60.2,285,24,8.4,13,0.46,13.5,Matches
Luca Crosta,it ITA,GK,Cagliari,19,1998,1.0,3,1,0,0,0,2.1,0.66,-0.9,-0.85,2,11,18.2,14,4,28.6,36.4,10,70.0,49.6,14,2,14.3,0,0.00,13.0,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,18,1999,38.0,42,2,0,4,1,40.8,0.30,-0.2,-0.01,192,402,47.8,892,136,33.0,31.5,194,55.7,42.2,305,23,7.5,14,0.37,14.4,Matches
BartÅ‚omiej DrÄ…gowski,pl POL,GK,Fiorentina,19,1997,2.4,8,0,1,1,0,5.9,0.36,-2.1,-0.87,9,26,34.6,35,5,57.1,46.8,8,75.0,55.6,20,1,5.0,1,0.42,14.5,Matches
Pierluigi Gollini,it ITA,GK,Atalanta,22,1995,6.9,4,0,0,1,0,5.3,0.31,+1.3,+0.19,33,58,56.9,145,26,26.9,32.5,40,47.5,45.5,51,2,3.9,5,0.72,17.4,Matches
Alfred Gomis,sn SEN,GK,SPAL,23,1993,25.1,43,6,1,5,2,43.3,0.28,+2.3,+0.09,173,489,35.4,557,101,61.9,47.8,206,69.9,53.4,257,14,5.4,12,0.48,12.9,Matches
Samir HandanoviÄ‡,si SVN,GK,Inter,33,1984,38.0,30,2,1,2,4,33.2,0.26,+7.2,+0.19,167,321,52.0,781,234,24.7,28.5,268,47.8,39.1,369,21,5.7,10,0.26,12.9,Matches
Eugenio Lamanna,it ITA,GK,Genoa,27,1989,1.0,1,0,0,0,0,1.6,0.54,+0.6,+0.62,7,16,43.8,16,1,56.3,47.3,9,77.8,55.3,11,0,0.0,0,0.00,13.5,Matches
Alex Meret,it ITA,GK,SPAL,20,1997,12.9,16,3,0,2,2,19.4,0.28,+5.4,+0.42,88,229,38.4,250,25,56.0,42.5,107,83.2,55.6,132,13,9.8,3,0.23,13.0,Matches
Vanja MilinkoviÄ‡-SaviÄ‡,rs SRB,GK,Torino,20,1997,1.0,1,0,0,0,0,1.1,0.27,+0.1,+0.09,8,23,34.8,41,6,39.0,41.5,8,87.5,66.8,11,1,9.1,0,0.00,14.0,Matches
Antonio Mirante,it ITA,GK,Bologna,34,1983,33.0,46,2,1,5,3,41.6,0.28,-1.4,-0.04,372,715,52.0,922,139,53.5,42.7,289,76.8,54.0,403,28,6.9,31,0.94,15.1,Matches
Gianluca Pegolo,it ITA,GK,Sassuolo,36,1981,1.2,1,0,0,0,1,0.7,0.15,+0.7,+0.65,5,26,19.2,27,7,66.7,42.7,11,72.7,48.9,14,0,0.0,0,0.00,11.0,Matches
Mattia Perin,it ITA,GK,Genoa,24,1992,37.0,42,4,1,2,2,43.5,0.24,+3.5,+0.09,323,791,40.8,874,114,58.0,43.9,319,89.0,60.2,365,21,5.8,20,0.54,13.9,Matches
Carlo Pinsoglio,it ITA,GK,Juventus,27,1990,0.3,1,0,0,0,0,0.8,0.42,-0.2,-0.55,1,2,50.0,6,3,33.3,28.5,0,,,4,2,50.0,0,0.00,,Matches
Christian Puggioni,it ITA,GK,Benevento,36,1981,13.1,26,5,0,3,0,23.9,0.34,-2.1,-0.16,81,187,43.3,326,71,36.5,34.9,107,63.6,46.9,147,16,10.9,9,0.69,14.3,Matches
Rafael,br BRA,GK,Cagliari,35,1982,8.8,11,1,0,3,0,14.5,0.35,+3.5,+0.40,72,173,41.6,156,25,64.7,43.9,91,79.1,53.2,113,10,8.8,2,0.23,13.1,Matches
Pepe Reina,es ESP,GK,Napoli,34,1982,37.0,29,2,2,4,0,26.1,0.25,-2.9,-0.08,173,361,47.9,885,150,30.5,33.3,191,47.6,41.7,223,10,4.5,31,0.84,16.7,Matches
Francesco Rossi,it ITA,GK,Atalanta,26,1991,0.1,1,0,0,1,0,0.9,0.46,-0.1,-1.15,1,1,100.0,3,2,33.3,29.7,0,,,0,0,,0,0.00,9.0,Matches
Antonio Santurro,it ITA,GK,Bologna,25,1992,1.0,1,0,0,0,0,2.1,0.42,+1.1,+1.08,10,33,30.3,29,3,69.0,54.2,13,100.0,62.0,14,0,0.0,1,1.00,10.9,Matches
Simone Scuffet,it ITA,GK,Udinese,21,1996,6.0,11,0,0,2,1,8.1,0.27,-1.9,-0.32,36,99,36.4,113,20,60.2,43.1,36,86.1,55.9,52,6,11.5,1,0.17,12.4,Matches
Luigi Sepe,it ITA,GK,Napoli,26,1991,1.0,0,0,0,0,0,0.3,0.28,+0.3,+0.28,3,4,75.0,14,2,14.3,27.7,5,40.0,42.0,5,1,20.0,0,0.00,14.5,Matches
Marco Silvestri,it ITA,GK,Hellas Verona,26,1991,2.0,7,0,0,1,0,7.5,0.30,+0.5,+0.25,13,24,54.2,29,10,31.0,31.9,20,75.0,54.0,21,2,9.5,0,0.00,12.3,Matches
Salvatore Sirigu,it ITA,GK,Torino,30,1987,37.0,45,5,3,5,0,48.3,0.26,+3.3,+0.09,255,571,44.7,943,185,42.0,37.4,270,64.8,47.9,399,31,7.8,34,0.92,14.6,Matches
Åukasz Skorupski,pl POL,GK,Roma,26,1991,1.0,0,0,0,0,0,0.5,0.15,+0.5,+0.46,6,12,50.0,30,11,33.3,34.7,6,33.3,36.3,10,0,0.0,1,1.00,13.4,Matches
Stefano Sorrentino,it ITA,GK,Chievo,38,1979,38.0,59,4,2,13,4,55.9,0.28,+0.9,+0.02,257,653,39.4,774,170,51.0,39.7,361,71.5,46.2,434,16,3.7,14,0.37,12.6,Matches
Marco Sportiello,it ITA,GK,Fiorentina,25,1992,35.6,38,2,2,5,0,40.8,0.29,+2.8,+0.08,153,394,38.8,750,185,36.8,34.8,235,50.2,42.2,318,40,12.6,11,0.31,13.7,Matches
Thomas Strakosha,al ALB,GK,Lazio,22,1995,38.0,49,9,2,5,2,51.2,0.29,+4.2,+0.11,248,509,48.7,854,163,45.8,37.9,250,47.2,43.2,290,12,4.1,23,0.61,15.2,Matches
Wojciech SzczÄ™sny,pl POL,GK,Juventus,27,1990,17.0,9,0,1,2,0,11.5,0.34,+2.5,+0.15,107,194,55.2,354,74,38.4,36.2,85,68.2,49.4,126,6,4.8,2,0.12,12.5,Matches
Emiliano Viviano,it ITA,GK,Sampdoria,31,1985,27.0,43,2,1,5,1,42.2,0.30,+0.2,+0.01,182,445,40.9,606,82,52.1,41.6,183,70.5,53.4,275,12,4.4,16,0.59,15.1,Matches
